Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;12.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;13.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;14.0;10.0;5;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;15.0;10.0;5;20.0;
6;2;9.27600002289;11.4650716782;4;24.086605072;1;16.0;10.0;5;20.3999996185;
7;2;10.4194869995;11.543302536;4;24.5683431625;1;17.0;10.1999998093;5;20.7264003754;
8;2;10.5278768539;11.7641716003;4;25.2014663219;2;18.0358409882;10.3632001877;4;22.8194274902;
9;2;10.6703300476;12.0549411774;4;25.7107514143;2;18.6916561127;10.9097137451;4;23.7616035938;
10;2;10.7849187851;12.2827939987;4;26.1187183857;2;20.6916561127;11.3658018112;4;24.5351526737;
11;2;10.8767118454;12.4589796066;5;26.2583864927;2;22.6916561127;11.7372808456;4;25.1591641903;
12;2;13.7974281311;12.5;5;26.3180543184;2;23.7467155457;12.0336990356;5;25.6560432911;
13;2;15.7974281311;12.5;5;26.3797649145;2;24.7657661438;12.2662630081;5;26.0483692884;
14;2;16.8377037048;12.5;5;26.4435132742;2;25.78515625;12.446267128;5;26.1887089014;
15;2;17.8520469666;12.5;5;26.5092867613;2;26.8048820496;12.5;5;26.2221269608;
16;2;18.8668460846;12.5;5;26.5770645142;2;27.8249320984;12.5;5;26.2560760975;
17;2;19.8820953369;12.5;5;26.6468170881;2;28.8453006744;12.5;5;26.2905418873;
18;2;19.9955329895;12.5;6;26.7185060978;2;29.7743244171;12.5;5;26.3255085945;
19;2;20.0116634369;12.5;6;26.7920838594;2;29.7953052521;12.5;6;26.3609591722;
20;2;20.028219223;12.5;6;26.8674932718;2;29.816576004;12.5;6;26.3968753815;
21;2;20.0451850891;12.5;6;26.9446675777;2;29.8381252289;12.5;6;26.4332377911;
22;2;20.0625495911;12.5;6;27.0235302448;2;29.8599433899;12.5;6;26.4700255394;
23;3;20.0802936554;12.5;5;27.1039953232;2;29.8820152283;12.5;6;26.5072168112;
24;3;20.0983982086;12.5;6;27.1859669685;2;29.9043292999;12.5;6;26.5447884798;
25;3;19.625;13.155790329;6;27.2693405151;2;29.9268722534;12.5;6;26.5827163458;
26;3;19.625;13.1808023453;6;27.3540019989;2;29.9496307373;12.5;6;26.6209751368;
27;3;18.1546497345;13.5;6;27.4398288727;2;29.9725856781;12.5;6;26.6595385075;
28;3;17.1739616394;14.5;6;27.5266909599;2;29.9957237244;12.5;6;26.6983793974;
29;3;16.1935062408;15.5;6;27.6144506931;2;30.01902771;12.5;5;26.7374696732;
30;3;16.625;14.5;6;28.7029643059;2;30.0424823761;12.5;5;26.7767804861;
31;3;18.625;14.3514823914;6;28.9220820665;2;30.0660686493;12.5;5;26.8162822723;
32;3;18.2532176971;13.5;6;29.1570807695;2;30.0897693634;12.5;6;26.8559447527;
33;3;17.5603427887;14.5;6;29.4092338085;3;30.1135673523;14.5;6;26.8957372904;
34;3;16.9920768738;15.5;6;29.6798365116;3;30.1374416351;16.5;7;26.9356285334;
35;3;17.0;15.3091678619;6;29.9701756239;3;30.1613769531;18.5;7;26.9755871296;
36;3;17.1182899475;14.5;6;30.281488657;3;30.1853523254;20.5;8;27.015581131;
37;3;17.1883354187;15.5;6;30.6149160862;3;30.2093486786;22.5;9;27.0555787086;
38;3;17.2633571625;16.5;6;30.9714412689;3;30.2333469391;22.5;9;27.0955479145;
39;3;17.3435745239;17.5;7;31.3518233299;3;30.2573280334;22.5;11;27.135456562;
40;3;17.0;17.5;7;31.7565233707;3;30.2812728882;22.5;11;27.17527318;
41;3;17.5202178955;16.5;7;32.185624361;4;30.3051643372;22.5;9;32.2149660587;
42;3;17.0;16.5;7;32.6387536526;4;31.3289794922;23.5;9;32.4045040607;
43;3;17.7187194824;15.5;7;33.1150093079;4;32.3527030945;24.5;10;32.5906310081;
44;3;17.0;15.5;7;33.6129002571;4;32.3763122559;25.5;10;32.7729511261;
45;3;18.0;16.4669513702;7;34.1303081512;4;32.3997955322;26.5;10;32.9511072636;
46;3;17.9034156799;13.5;7;34.6644749641;4;32.4231300354;27.5;11;33.124784708;
47;3;18.2531604767;16.5;8;35.2120270729;6;32.4463005066;28.5;9;33.2937119007;
48;3;20.297706604;19.5;8;35.7690377235;6;32.4692878723;29.5;10;33.4576611519;
49;3;21.423034668;22.5;8;36.3311295509;6;32.4920806885;29.888343811;10;33.6164486408;
50;3;22.5495033264;25.5;9;36.8936114311;6;32.5146598816;29.9368057251;9;33.7699332237;
51;3;23.6760635376;27.5;9;37.4516468048;6;32.5370101929;29.9833011627;9;33.9180145264;
52;3;23.4216537476;28.5;10;38.0004358292;6;32.5591163635;30.0277957916;9;35.0866172314;
53;3;23.5297203064;29.5;11;38.5353989601;6;33.1965560913;30.570274353;9;36.0300195217;
54;3;24.635137558;27.5;11;39.0523509979;6;33.7019042969;31.0007381439;9;37.7826886177;
55;3;24.7867794037;27.5;13;39.5476465225;6;35.0958137512;32.3364601135;9;38.4205415249;
56;3;23.8344078064;28.5;13;40.0182843208;6;36.3998031616;33.5954208374;9;39.7898690701;
57;3;24.9267692566;27.5;13;40.4619727135;6;37.5448913574;35.7202110291;9;40.0346429348;
58;4;25.1039428711;27.5;13;40.8771510124;6;38.5813941956;37.7528381348;9;40.2783962488;
59;4;25.1973590851;27.5;13;41.2629618645;6;38.6175727844;39.7836151123;10;40.4897918701;
60;4;25.2841663361;27.5;14;41.6115064621;6;38.6533927917;41.405921936;12;40.6638202667;
61;4;25.3625888824;27.5;14;41.8888463974;6;38.6888122559;42.4288711548;12;40.8414257765;
62;4;25.4249916077;27.5;14;42.1398382187;6;38.7237930298;43.3836097717;12;41.022575736;
63;4;25.481464386;27.5;14;42.3656587601;7;38.7582969666;43.4605102539;9;56.2072256804;
64;4;25.5322723389;27.5;14;42.5677556992;7;39.7922973633;43.8390464783;9;57.4453165531;
65;4;25.5777454376;27.5;15;42.747756958;7;40.8257598877;45.6227684021;9;58.5917525291;
66;4;25.6182441711;27.5;15;43.9073896408;7;41.8586502075;46.7081108093;9;59.635897994;
67;4;26.6541633606;28.5;15;44.0499999523;7;42.8909492493;47.7962341309;9;60.573990941;
68;4;27.6749992371;29.5;15;44.1019749641;7;43.9226303101;48.8870925903;9;61.4081894159;
69;4;28.6749992371;30.5;16;44.1559499502;7;44.953666687;48.9806442261;10;62.1451053619;
70;4;29.6749992371;31.5;16;44.2119446993;7;43.399848938;50.0768089294;11;62.7942144871;
71;4;30.6749992371;32.5;16;44.269973278;7;43.345741272;51.0203056335;12;63.3664034605;
72;4;30.6749992371;33.1349868774;16;45.9581427574;7;43.4274139404;51.145614624;12;63.8728240728;
73;4;31.0327510834;33.6840705872;17;47.389636755;7;43.4937591553;51.2726593018;13;64.225374341;
74;4;30.4482097626;34.3899993896;18;48.6000267267;7;43.5249977112;51.4012947083;15;64.4409732819;
75;4;31.6767978668;33.6872596741;18;49.6269710064;7;43.5249977112;51.5313568115;16;64.6582069397;
76;4;28.4206485748;36.7601623535;19;50.3577487469;7;43.5249977112;51.6626853943;16;64.8767931461;
77;4;30.8718852997;34.0;19;50.8787482977;7;43.5249977112;51.7950935364;16;65.093506813;
78;4;31.8449230194;34.9779624939;20;51.3730478287;7;43.5249977112;51.9269256592;17;65.2739725113;
79;5;32.5589370728;34.0;19;51.7323851585;7;43.5249977112;52.0409393311;17;65.4560620785;
80;5;30.1361675262;35.0;19;52.0464687347;7;43.5249977112;52.1560249329;17;65.6394276619;
81;5;29.1727828979;37.0;19;52.360414505;7;43.5249977112;55.2498321533;18;65.8237090111;
82;5;27.2482128143;38.0;20;52.6738061905;7;43.5249977112;55.403213501;19;66.0085370541;
83;5;26.6749992371;37.0;20;52.9862313271;8;43.5249977112;55.5570678711;18;66.1935367584;
84;5;27.2733325958;37.4412612915;21;53.2972760201;8;43.5249977112;55.711063385;19;66.3783302307;
85;6;28.6168861389;37.0;20;53.6065182686;8;43.5249977112;55.8648910522;20;66.5625398159;
86;6;28.9573326111;39.0;20;53.9135220051;8;43.5249977112;56.0182151794;21;66.7457923889;
87;6;29.7555408478;39.0;21;54.2178344727;8;43.5249977112;56.1707115173;21;66.9277215004;
88;6;29.824010849;40.0;21;54.5189836025;8;43.5249977112;56.3220787048;22;67.1079714298;
89;6;28.157913208;42.0;21;54.8164763451;9;43.5249977112;56.4719924927;22;67.8551592827;
90;6;28.202413559;44.0;21;55.1098027229;10;43.5249977112;57.0692405701;21;68.6248123646;
91;6;28.2474365234;46.0;22;55.3984370232;10;44.5249977112;55.5441818237;21;69.4133653641;
92;6;28.2928123474;48.0;22;55.6149234772;10;43.5249977112;57.0344238281;21;70.2167577744;
93;6;28.3383560181;50.0;22;55.8172912598;10;43.5249977112;58.5371589661;21;72.0305066109;
94;6;28.383890152;52.0;22;56.018784523;10;45.5249977112;58.04920578;21;73.9298020601;
95;6;28.4292259216;54.0;23;56.2185931206;10;46.5249977112;61.5671081543;22;75.8701655865;
96;6;28.4741821289;56.0;23;56.4159293175;10;49.5249977112;63.1472129822;22;77.0326151848;
97;6;28.5185832977;58.0;23;56.6100401878;10;51.5249977112;66.6657562256;23;78.2380753756;
98;6;27.2999992371;61.0;23;56.8002181053;10;50.4164276123;71.1790466309;24;79.49015522;
99;6;28.2999992371;62.0;24;56.985812664;11;49.5249977112;75.6834869385;23;80.7936422825;
100;6;28.6468067169;64.0;25;57.1662364006;11;50.2351417542;78.2731323242;23;82.1544009447;
101;6;28.6874027252;66.0;25;57.3409729004;11;49.2586936951;80.8318328857;25;83.5790734291;
102;6;27.2999992371;69.0;25;57.509581089;11;49.5249977112;80.2615280151;25;85.0745310783;
103;6;28.2999992371;69.0;26;57.6716971397;11;50.5249977112;80.8207168579;25;86.6470366716;
104;6;28.2999992371;68.5999984741;28;57.8270344734;11;48.5249977112;81.3637619019;27;88.3011075258;
105;6;28.8360824585;69.5999984741;29;57.9753837585;13;46.5249977112;84.8894958496;25;90.0381227732;
106;6;29.8694610596;67.5999984741;29;58.1166086197;14;45.5250015259;86.7393341064;24;92.8548203707;
107;6;27.2999992371;69.5999984741;27;58.2506422997;14;45.5250015259;91.0860443115;24;94.7619094849;
108;6;28.2999992371;69.5999984741;24;58.3774819374;14;45.5250015259;97.2931442261;23;96.7233346701;
109;6;29.9599323273;67.5999984741;25;58.4971828461;14;46.4639549255;97.7136688232;22;98.7157794237;
110;6;27.2999992371;69.5999984741;26;58.6098518372;14;46.4915122986;100.11579895;21;100.709889889;
111;7;28.2999992371;69.5999984741;26;58.7156400681;14;44.5250015259;102.500076294;21;102.672510743;
112;7;30.0360183716;67.5999984741;27;58.8147368431;14;44.5250015259;102.858886719;20;105.569865942;
