Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;12.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;13.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;14.0;10.0;5;20.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;15.0;10.0;5;20.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;16.0;10.0;5;20.3999996185;
7;1;10.194486618;11.543302536;4;23.5283432007;1;17.0;10.1999998093;3;20.7264003754;
8;1;10.2938766479;11.7641716003;4;24.1098823547;2;18.0358409882;10.3632001877;2;22.8194274902;
9;1;10.4247236252;12.0549411774;4;24.5655879974;2;18.6916561127;10.9097137451;2;23.8616036177;
10;1;10.5272569656;12.2827939987;4;24.9179592133;2;20.6916561127;11.3658018112;2;24.7499927282;
11;1;10.6065406799;12.4589796066;5;25.0;2;22.6916561127;11.7372808456;2;25.5051221848;
12;1;12.5272569656;12.5;5;25.0;2;23.95429039;12.0336990356;3;26.1508610249;
13;1;13.5272569656;12.5;5;25.0;2;25.0626564026;12.2662630081;3;26.7112461329;
14;1;14.5272569656;12.5;5;25.0;2;26.182882309;12.446267128;3;27.0402543545;
15;1;15.5272569656;12.5;4;25.0;2;27.3158073425;12.5;3;27.2842636108;
16;1;16.527256012;12.5;4;25.0;2;28.4622135162;12.5;3;27.5518820286;
17;1;17.527256012;12.5;5;25.0;2;29.6227855682;12.5;3;27.8440244198;
18;1;17.625;12.5;5;25.0;2;30.7064151764;12.5;3;28.1613030434;
19;1;17.625;12.5;5;25.0;2;30.8967819214;12.5;4;28.5039470196;
20;1;17.625;12.5;4;25.0;2;31.1023674011;12.5;4;28.871723175;
21;1;17.625;12.5;5;25.0;2;31.3230342865;12.5;4;29.263862133;
22;1;17.625;12.5;5;25.0;2;31.5583171844;12.5;4;29.6789975166;
23;1;17.625;12.5;5;25.0;2;31.8073997498;12.5;4;30.1151270866;
24;1;17.625;12.5;5;25.0;3;32.0690765381;12.5;3;30.5695996284;
25;1;17.625;12.5;5;25.0;3;32.341758728;12.5;3;31.0391392708;
26;1;17.625;12.5;5;25.0;3;32.6234817505;12.5;3;31.5199065208;
27;1;17.625;12.5;5;25.0;3;32.911945343;12.5;3;32.007601738;
28;1;17.625;12.5;5;25.0;3;33.2045593262;12.5;3;32.4976010323;
29;1;17.625;12.5;5;25.0;3;33.4985618591;12.5;4;32.9851250648;
30;1;17.625;12.5;5;25.0;3;33.7910766602;12.5;4;33.465420723;
31;1;17.625;12.5;5;25.0;3;34.0792541504;14.5;4;33.9339466095;
32;1;17.625;12.5;5;25.0;3;34.3603668213;16.5;4;34.3865451813;
33;1;17.625;12.5;5;25.0;3;34.6319274902;18.5;4;34.8195896149;
34;1;17.625;12.5;5;25.0;3;34.8917541504;20.5;4;35.2300891876;
35;1;17.625;12.5;5;25.0;3;35.138053894;22.5;5;36.6157541275;
36;1;17.625;12.5;5;25.0;3;36.3694534302;23.5;5;37.0600175858;
37;1;17.625;12.5;5;25.0;3;37.5850105286;24.5;6;37.4833124876;
38;1;17.625;12.5;7;25.0;3;38.4899902344;25.5;6;37.8857210875;
39;1;17.625;12.5;7;25.0;3;38.7314300537;26.5;7;38.2678751945;
40;1;17.625;12.5;7;25.0;3;38.960723877;27.5;7;38.6308575869;
41;1;17.625;12.5;8;25.0;3;39.1785125732;27.5;8;38.9760935307;
42;1;17.625;12.5;8;25.0;3;39.3856582642;27.5;8;39.30524683;
43;1;17.625;12.5;9;25.0;3;39.5831489563;27.5;9;39.6201210022;
44;1;17.625;12.5;9;25.0;4;39.7720718384;27.5;9;39.9225707054;
45;1;17.625;12.5;9;25.0;4;38.7444343567;28.5;9;40.1660137177;
46;1;17.625;12.5;10;25.0;4;38.7999992371;28.5830078125;11;40.3248689175;
47;1;17.625;12.5;10;25.0;4;38.7999992371;28.6624336243;11;40.4916813374;
48;1;17.625;13.5;11;25.0;4;38.7999992371;28.7458400726;11;42.1061403751;
49;1;17.625;14.5;11;25.0;4;40.6339988708;28.0;11;43.4742016792;
50;1;17.625;15.5;12;25.0;4;42.0845222473;28.3899993896;11;44.6317915916;
51;1;17.625;16.5;12;25.0;4;42.7790756226;28.6872596741;12;46.6166937351;
52;1;17.625;17.5;12;25.0;4;44.3700141907;29.9097423553;12;47.3560612202;
53;1;17.625;17.5;12;25.0;4;43.6223678589;32.0;13;47.8970751762;
54;1;17.625;17.5;14;25.0;4;43.6639328003;34.0;12;48.4221541882;
55;1;17.625;17.5;14;25.0;4;43.7726745605;35.1720733643;12;48.8221105337;
56;1;17.625;17.5;16;25.0;4;43.7999992371;36.3274993896;12;49.1854795218;
57;1;17.625;17.5;13;25.0;5;43.7999992371;37.0927391052;13;49.5559837818;
58;1;17.625;17.5;12;25.0;5;44.7999992371;34.4868202209;13;49.931636095;
59;1;17.625;17.5;11;25.0;5;45.7999992371;34.6524085999;13;50.3103249073;
60;1;17.625;17.5;12;25.0;5;46.7999992371;34.6765136719;13;50.6898649931;
61;2;17.625;17.5;10;40.0;5;47.5724945068;34.7011871338;14;51.0680531263;
62;2;18.625;18.5;10;40.75;5;47.7691345215;34.7264137268;14;51.4427261353;
63;2;19.625;19.5;10;41.4193744659;5;47.96301651;34.7521820068;14;52.8118162155;
64;2;19.625;20.5;11;42.0072898865;5;49.1529197693;35.7784729004;14;53.2134013176;
65;2;19.625;21.5;11;42.5162696838;5;50.3377075195;36.8052787781;15;53.6069351435;
66;2;19.625;22.5;12;42.9513263702;5;50.5163650513;37.832572937;15;53.9909133911;
67;2;19.625;23.5;12;43.3190898895;5;50.6880111694;38.8603363037;15;54.3640776873;
68;2;19.625;24.5;13;43.6270179749;5;50.8519210815;39.8885498047;15;54.7254290581;
69;2;19.625;25.5;13;43.8827629089;5;51.0075263977;40.523109436;17;55.0742274523;
70;2;19.625;26.5;13;44.0;7;45.0075263977;43.5750961304;12;71.4099847078;
71;2;19.625;27.5;14;44.0;7;47.0075263977;42.6524085999;12;72.5324470997;
72;2;19.625;28.5;15;44.0;8;49.0075263977;45.6765136719;9;83.5471762419;
73;2;19.625;29.5;15;44.0;8;47.0075263977;49.7366104126;11;84.9548288584;
74;2;19.625;30.5;15;44.0;8;48.0075263977;53.7422714233;11;86.2326407433;
75;2;19.625;31.5;14;44.0;8;48.0075263977;57.7728424072;11;87.3851122856;
76;2;19.625;32.5;14;44.0;8;47.8479919434;61.8036193848;12;88.4194378853;
77;2;19.625;33.5;14;44.0;8;46.9338760376;65.334564209;13;89.3444782495;
78;2;19.625;34.5;15;44.0;9;44.9338760376;71.3413009644;13;90.1699340343;
79;2;19.625;35.5;15;45.5699996948;9;43.9338760376;76.3849487305;13;90.6294910908;
80;2;20.8500003815;34.0;15;46.8255519867;9;43.9338760376;78.4286727905;15;91.0256143808;
81;2;20.0255012512;35.3899993896;13;47.8118495941;9;41.9338760376;83.4724197388;15;93.3531571627;
82;2;20.1592674255;36.6872596741;13;48.5761852264;9;40.9338760376;88.5879821777;17;95.5392129421;
83;2;20.2593841553;37.9097442627;11;49.0;9;41.9338760376;90.5041656494;18;97.5662982464;
84;2;21.2999992371;36.0;11;49.0;9;42.9338760376;92.7296066284;18;99.425775528;
85;2;20.2999992371;37.0;11;49.0;10;42.9338760376;92.9635009766;16;101.021335363;
86;2;20.2999992371;38.0;10;49.0;10;42.9338760376;94.2054214478;14;102.422684669;
87;2;21.2999992371;36.0;10;49.0;10;40.9338760376;98.4548187256;17;103.689073324;
88;2;20.2999992371;37.0;11;49.0;10;40.7999992371;102.7110672;18;104.831834555;
89;2;20.2999992371;38.0;10;49.0;10;40.7999992371;106.973442078;17;105.863786459;
90;2;21.2999992371;36.0;10;49.0;10;40.7999992371;111.241142273;17;106.699336052;
91;2;20.2999992371;37.0;11;49.0;10;40.7999992371;115.513282776;18;108.358401775;
92;2;20.2999992371;38.0;11;49.0;10;43.7999992371;114.788902283;23;109.022768974;
93;2;21.2999992371;36.0;10;49.0;10;42.7999992371;120.067001343;21;109.647650242;
94;2;20.2999992371;37.0;10;49.0;10;42.7999992371;125.3465271;21;110.08983922;
95;2;20.2999992371;38.0;10;49.0;11;43.7999992371;127.626403809;19;133.532153964;
96;2;21.2999992371;36.0;10;49.0;12;44.7999992371;130.905532837;21;136.273042083;
97;2;20.2999992371;37.0;11;49.0;12;47.7999992371;131.182846069;21;138.659080744;
98;2;20.2999992371;38.0;11;49.0;12;48.7999992371;131.457260132;22;140.659876585;
99;2;21.2999992371;36.0;11;49.0;12;48.7999992371;134.727783203;23;142.293373346;
100;3;20.2999992371;37.0;10;59.0;12;50.7999992371;135.993408203;24;143.60818994;
