Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;11.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;11.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;11.0;10.0;5;20.0;
5;2;9.27600002289;11.1199998856;4;23.5301437378;2;12.4499998093;10.0;4;21.0;
6;2;11.2760000229;11.2650718689;4;24.1166050434;2;13.4499998093;10.0;4;21.1200000048;
7;2;13.194486618;11.543302536;3;24.5889341831;2;14.5039997101;10.0;4;21.664255619;
8;2;13.5325098038;11.7641716003;3;25.212254405;2;14.7489156723;10.1999998093;4;22.151668787;
9;2;13.6727571487;12.0549411774;3;25.7109264135;2;14.9682502747;10.3632001877;4;23.4809303284;
10;2;13.7849578857;12.2827939987;3;26.1074465513;2;15.5664186478;10.9097137451;4;24.6645710468;
11;2;15.7849578857;12.4589796066;4;26.2348128557;2;17.5664196014;11.3658018112;4;25.7180995941;
12;2;17.7849578857;12.5;4;26.2813059092;2;19.5664196014;11.7372808456;4;26.6644382477;
13;2;18.8155517578;12.5;4;26.328953743;2;20.987411499;12.0336990356;5;27.5295872688;
14;2;19.8262710571;12.5;4;26.3777402639;2;22.1674194336;12.2662630081;5;28.3392426968;
15;2;20.8372497559;12.5;4;26.4276455641;2;23.3697624207;12.446267128;5;28.9483180046;
16;2;21.8484764099;12.5;4;26.4786461592;2;24.5954856873;12.5;5;29.5031232834;
17;2;22.8599510193;12.5;4;26.5307145119;2;25.8451480865;12.5;5;30.1109042168;
18;2;22.9694099426;12.5;4;26.5838193893;2;27.1186485291;12.5;5;30.7696533203;
19;2;22.9813594818;12.5;4;26.6379255056;2;27.8463439941;12.5;6;31.4753017426;
20;2;22.625;12.9913778305;6;26.6929937601;2;28.1638870239;12.5;6;32.221560955;
21;2;23.0059242249;12.5;6;26.7489811182;2;28.4997024536;12.5;6;32.9999322891;
22;2;23.0185203552;12.5;7;26.8058408499;2;28.8499698639;12.5;6;33.7999305725;
