Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;12.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;11.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;10.0;5;21.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;7.55000019073;10.3000001907;5;17.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;7.55000019073;9.69999980927;4;18.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;8.7750005722;8.5;4;18.0674999952;
7;2;10.194486618;11.7433023453;4;24.5283432007;2;9.06518745422;8.5;4;18.1388356686;
8;2;10.5188770294;11.7641716003;4;25.1398823261;2;9.08123779297;8.5;4;18.2141259909;
9;2;10.6564731598;12.0549411774;4;25.6261789799;2;9.09817790985;8.5;4;18.6456211805;
10;2;10.7658901215;12.2827939987;4;26.0097253323;2;9.19526576996;8.67000007629;4;19.0306602716;
11;2;10.8521881104;12.4589796066;5;26.1235172749;2;9.28189849854;8.81392192841;4;19.3756101131;
12;2;13.7729043961;12.5;4;26.1558350325;2;9.35951328278;8.93486309052;4;20.4466397762;
13;2;15.7729043961;12.5;4;26.1887089014;2;9.60049343109;9.39324569702;5;21.4057168961;
14;2;16.7947158813;12.5;4;26.2221269608;2;11.4319114685;9.78903102875;5;22.257011652;
15;2;17.8022346497;12.5;4;26.2560760975;2;13.4319114685;10.1240053177;5;23.0099308491;
16;2;18.8098735809;12.5;4;26.2905418873;2;15.4319114685;10.4026165009;5;23.6770029068;
17;2;19.8176269531;12.5;4;26.3255085945;2;16.5640964508;10.6309299469;5;24.2720131874;
18;2;19.9232387543;12.5;5;26.3609591722;2;17.6148223877;10.8157100677;5;24.8085989952;
19;2;19.9312152863;12.5;5;26.3968753815;2;18.6689453125;10.9637317657;5;25.1366593838;
20;2;19.9392967224;12.5;4;26.4332377911;2;19.6557483673;11.0;5;25.4068305492;
21;2;19.947479248;12.5;4;26.4700255394;2;19.7165374756;11.0;5;25.6910681725;
22;2;19.9557552338;12.5;4;26.5072168112;2;19.7804908752;11.0;5;25.9885287285;
