Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;12.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;2;7.0;11.1999998093;4;21.0;1;7.0;12.3000001907;5;17.0;
3;2;8.14999961853;10.0;4;22.1200000048;1;7.55000019073;11.3000001907;5;17.0;
4;2;8.31799983978;10.5;4;23.0930562019;1;7.55000019073;10.3000001907;5;17.0;
5;2;8.46395874023;10.9200000763;4;23.9303956032;1;7.55000019073;9.30000019073;5;17.0;
6;2;9.59105682373;11.2650718689;4;24.6492825747;1;8.55000019073;8.5;5;17.0;
7;2;10.5460891724;11.543302536;4;25.2697491646;2;8.82499980927;8.89999961853;4;18.0;
8;2;10.6856927872;11.7641716003;4;26.0647602081;2;9.05000019073;8.5;4;18.0900000334;
9;2;10.8645715714;12.0549411774;4;26.7559332848;2;9.0702495575;8.5;4;18.5380191803;
10;2;11.0200843811;12.2827939987;4;27.366976738;2;9.17105484009;8.67000007629;4;18.9432924986;
11;2;11.1575698853;12.4589796066;5;27.7319030762;2;9.26224040985;8.81392192841;4;19.3125700951;
12;2;14.078286171;12.5;5;28.0397365093;2;9.34532928467;8.93486309052;4;20.424943924;
13;2;16.0782852173;12.5;5;28.3728995323;2;9.59561157227;9.39324569702;5;21.4354372025;
14;2;17.2861595154;12.5;5;28.7313408852;2;11.4385986328;9.78903102875;5;22.349493742;
15;2;18.3668079376;12.5;5;29.1144995689;2;13.4385986328;10.1240053177;5;23.1777763367;
16;2;19.4530181885;12.5;5;29.521238327;2;15.4385986328;10.4026165009;5;23.9339950085;
17;2;20.5445346832;12.5;5;29.949795723;2;16.0206890106;11.6309299469;5;24.6329724789;
18;2;20.7387046814;12.5;5;30.3977622986;2;17.0206890106;12.016330719;5;25.2891554832;
19;2;20.8394966125;12.5;5;30.8620905876;2;18.0206890106;12.3084087372;5;25.7529361248;
20;2;20.9439697266;12.5;7;31.3391423225;2;18.9500007629;12.5011749268;6;26.1750311852;
21;2;21.0513076782;12.5;7;31.824775219;2;18.9500007629;12.6700124741;5;26.6269769669;
22;2;21.1605739594;12.5;7;32.3144683838;2;18.9500007629;12.8507909775;5;27.1069345474;
23;2;21.2707557678;12.5;6;32.8034796715;2;18.9500007629;13.5534667969;5;27.6121668816;
24;2;21.3807830811;12.5;7;33.2870235443;2;19.9500007629;11.5534667969;6;28.1390275955;
25;3;19.4895801544;13.5;7;33.7604589462;2;18.9500007629;12.5534667969;6;28.6830053329;
26;3;18.5961036682;14.5;7;34.2194671631;2;18.9500007629;13.5534667969;6;29.2388305664;
27;3;17.6993789673;15.5;7;34.6602067947;2;18.9500007629;14.5534667969;7;29.8006486893;
28;3;16.7985458374;16.5;8;35.0794401169;2;18.9500007629;14.9003238678;7;30.362244606;
29;3;16.267873764;17.5;8;35.4746103287;2;18.9500007629;15.1811218262;7;30.917309761;
30;4;16.3567867279;18.5;5;50.8438816071;2;18.9500007629;15.4586544037;7;31.4597225189;
31;4;15.3567867279;20.5;5;51.9361276627;2;16.9500007629;17.4586544037;7;31.9838171005;
32;4;16.0;22.5;6;52.9202651978;2;15.9500007629;19.4586544037;7;32.484623909;
33;4;17.0;24.5;6;53.7956008911;2;16.9500007629;18.4586544037;7;32.9580440521;
34;4;18.0;26.5;5;55.5653018951;2;17.9500007629;19.4586544037;6;33.4009637833;
35;4;20.0;29.0;5;56.2654316425;2;18.9500007629;20.4586544037;6;33.8112888336;
36;4;22.0;31.0149993896;6;56.874568224;2;17.9500007629;19.4586544037;6;34.1879167557;
37;5;24.0;29.2777385712;6;57.40173316;2;17.9500007629;19.4586544037;6;34.5306510925;
38;5;23.588104248;30.3873577118;7;57.8562700748;2;18.9500007629;20.4586544037;7;34.8400764465;
39;5;23.6648292542;31.4867534637;8;58.1536015272;2;18.9500007629;21.4586544037;7;35.1174125671;
40;5;24.7000007629;29.5768013;7;58.1887089014;2;18.9500007629;22.4586544037;6;35.364358902;
41;5;23.7000007629;30.5943546295;8;58.2221269608;2;19.9500007629;20.4586544037;7;35.5829515457;
