Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;12.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;11.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;10.0;5;21.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;7.55000019073;10.3000001907;5;17.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;7.55000019073;9.69999980927;4;18.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;8.7750005722;8.5;3;18.0900000334;
7;2;10.194486618;11.7433023453;4;24.5283432007;2;9.0702495575;8.5;3;18.1871190071;
8;2;10.5188770294;11.7641716003;4;25.23988235;2;9.09210205078;8.5;3;18.2917383909;
9;2;10.6789731979;12.0549411774;4;25.8410190344;2;9.11564064026;8.5;3;18.7571438551;
10;2;10.8142290115;12.2827939987;4;26.3556833267;2;9.2203578949;8.67000007629;3;19.1807904243;
11;2;10.9300289154;12.4589796066;5;26.6183350086;2;9.31567764282;8.81392192841;3;19.5693804026;
12;2;13.8507452011;12.5;5;26.8187118769;2;9.40311145782;8.93486309052;3;20.7122055292;
13;2;15.8507452011;12.5;5;27.0402543545;2;9.66024589539;9.39324569702;4;21.7555496693;
14;2;16.9863147736;12.5;5;27.2842636108;2;11.5106239319;9.78903102875;4;22.7047069073;
15;2;18.0412158966;12.5;5;27.5518820286;2;13.5106239319;10.1240053177;4;23.5700800419;
16;2;19.1014289856;12.5;5;27.8440244198;2;15.5106239319;10.4026165009;4;24.3649902344;
17;2;20.1671619415;12.5;5;28.1613030434;2;16.7188930511;10.6309299469;4;25.1037259102;
18;2;20.3362922668;12.5;6;28.5039470196;2;17.8019580841;10.8157100677;4;25.8000462055;
19;2;20.4133872986;12.5;6;28.871723175;2;18.8920211792;10.9637317657;4;26.3035011292;
20;2;20.496137619;12.5;6;29.263862133;2;19.9182891846;11.0;4;26.7638249397;
21;2;20.5843696594;12.5;6;29.6789975166;2;20.02186203;11.0;5;27.251458168;
22;2;20.6777744293;12.5;6;30.1151270866;2;20.1315784454;11.0;5;27.7633986473;
