Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;12.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;11.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;10.0;5;21.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;7.55000019073;10.3000001907;5;17.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;2;7.55000019073;9.9000005722;4;18.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;2;8.55000019073;9.10000038147;4;18.0249999762;
7;1;10.194486618;11.543302536;4;23.5283432007;2;8.82499980927;9.11499977112;4;18.0503686666;
8;2;10.2938766479;11.9641714096;3;25.1098823547;2;8.82499980927;9.13022136688;4;18.0760987997;
9;2;10.6497240067;12.0549411774;3;25.5955879688;2;8.82499980927;9.14565944672;4;18.4529435635;
10;2;10.7590065002;12.2827939987;3;25.9785501957;2;8.9015007019;9.33776569366;4;18.7784832716;
11;2;10.8451738358;12.4589796066;3;26.091766119;2;8.96626472473;9.50430583954;4;19.0589046478;
12;2;13.7658901215;12.5;3;26.1235172749;2;9.02068901062;9.64836978912;3;20.0388250351;
13;2;15.7658901215;12.5;3;26.1558350325;2;9.22696018219;10.1446456909;4;20.8961139917;
14;2;16.7873191833;12.5;3;26.1887089014;2;11.0206890106;10.5798625946;4;21.6343632936;
15;2;17.7947158813;12.5;3;26.2221269608;2;13.0206890106;10.9558172226;4;22.2624788284;
16;2;18.8022346497;12.5;2;26.2560760975;2;15.0206890106;11.2769641876;4;22.792591095;
17;2;19.8098735809;12.5;2;26.2905418873;2;16.0206890106;11.5493688583;4;23.238217473;
18;2;19.9153709412;12.5;2;26.3255085945;2;17.0206890106;11.7797880173;4;23.6128847599;
19;2;19.9232387543;12.5;2;26.3609591722;2;18.0206890106;11.974984169;4;23.766567111;
20;2;19.9312152863;12.5;4;26.3968753815;2;18.9500007629;12.0599403381;5;23.850186348;
21;2;19.9392967224;12.5;4;26.4332377911;2;18.9500007629;12.1101121902;5;23.9362165928;
22;2;19.947479248;12.5;5;26.4700255394;2;18.9500007629;12.1617298126;5;24.0245814323;
