Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;12.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;11.0;5;20.0;1;7.0;12.3000001907;4;17.0;
3;1;8.0;10.0;6;21.0;1;7.55000019073;11.3000001907;4;17.0;
4;1;8.14999961853;10.5;6;21.8400001526;1;7.55000019073;10.3000001907;3;17.0;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;7.55000019073;9.30000019073;2;17.0;
6;1;9.27600002289;11.2650718689;6;23.086605072;1;8.55000019073;8.5;2;17.0;
7;1;10.194486618;11.543302536;6;23.5283432007;1;8.82499980927;8.5;2;17.0;
8;2;10.2938766479;11.9641714096;5;25.1098823547;1;8.82499980927;8.5;2;17.0;
9;2;10.6497240067;12.0549411774;5;25.6055879593;1;8.82499980927;8.5;2;17.3400001526;
10;2;10.7612571716;12.2827939987;5;25.9991431236;1;8.9015007019;8.67000007629;2;17.6278438568;
11;2;10.8498067856;12.4589796066;5;26.1235535145;1;8.96626472473;8.81392192841;2;17.869726181;
12;2;12.8498067856;12.5;5;26.1671074629;1;9.02068901062;8.93486309052;2;18.786491394;
13;2;14.8498067856;12.5;5;26.211841464;1;9.22696018219;9.39324569702;2;19.5780620575;
14;2;15.8792047501;12.5;5;26.2577478886;1;11.0206890106;9.78903102875;2;20.2480106354;
15;2;16.8895339966;12.5;5;26.3048160076;1;12.0206890106;10.1240053177;2;20.8052330017;
16;2;17.9001235962;12.5;5;26.3530313969;1;13.0206890106;10.4026165009;2;21.2618598938;
17;2;18.9109725952;12.5;5;26.4023760557;1;14.0206890106;10.6309299469;3;21.6314201355;
18;2;19.9220752716;12.5;6;26.4528282881;2;15.0206890106;10.8157100677;3;21.9274635315;
19;2;19.9518871307;12.5;6;26.5043625832;2;16.0206890106;10.9637317657;3;22.0;
20;2;19.9634819031;12.5;6;26.5569496155;2;16.9500007629;11.0;3;22.0;
21;2;19.9753131866;12.5;6;26.6105561256;2;16.9500007629;11.0;3;22.0;
22;2;19.9873752594;12.5;6;26.6651450396;2;16.9500007629;11.0;3;22.0;
23;3;19.9996566772;12.5;5;26.72067523;2;16.9500007629;11.0;3;22.0;
24;3;20.0121517181;12.5;6;26.7771017551;2;16.9500007629;11.0;3;22.0;
25;3;20.024848938;12.5;6;26.8343759775;2;16.9500007629;11.0;4;22.0;
26;3;20.0377349854;12.5;6;26.8924454451;2;16.9500007629;11.0;5;22.0;
27;3;20.0508003235;12.5;6;26.9512542486;2;16.9500007629;11.0;5;22.0;
28;3;19.625;13.4756269455;6;27.0107431412;2;16.9500007629;11.0;6;22.0;
29;3;19.625;13.5053710938;6;27.0708494186;2;16.9500007629;11.0;6;22.0;
