Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;2;7.0;11.1999998093;4;21.0;1;9.0;10.0;5;20.0;
3;2;8.14999961853;10.0;4;22.0399999619;1;9.0;10.0;5;20.0;
4;2;8.30599975586;10.5;4;22.921184063;1;9.0;10.0;5;20.0;
5;2;8.43817806244;10.9200000763;3;23.6536972523;1;10.0;10.0;5;20.0;
6;2;9.52880001068;11.2650718689;3;24.2537125349;1;11.0;10.0;5;20.0;
7;2;10.4570856094;11.543302536;3;24.7401846647;1;11.0;10.0;5;20.3999996185;
8;2;10.5665407181;11.7641716003;3;25.379748702;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;10.7104434967;12.0549411774;3;25.8955206871;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;10.8264923096;12.2827939987;3;26.310000658;2;11.597111702;10.4951858521;4;23.0819120407;
11;2;10.9197502136;12.4589796066;4;26.4561861753;2;11.9245738983;11.0209560394;4;23.99553442;
12;2;13.8404664993;12.5;4;26.5223525763;2;13.9245738983;11.4571752548;3;24.7449600697;
13;2;15.8404664993;12.5;3;26.590518117;2;15.9245738983;11.8107032776;4;25.3503712416;
14;2;16.8851242065;12.5;3;26.6606516838;2;16.9627056122;12.0916318893;4;25.8344515562;
15;2;17.9009037018;12.5;3;26.7327131033;2;17.9761257172;12.3113050461;4;26.2195074558;
16;2;18.9171161652;12.5;3;26.8066529036;2;18.9898986816;12.4808797836;4;26.3048160076;
17;2;19.9337539673;12.5;3;26.882412076;2;20.0040187836;12.5;4;26.3530313969;
18;2;20.0485420227;12.5;4;26.9599220753;2;21.0184822083;12.5;4;26.4023760557;
19;2;20.0659828186;12.5;4;27.0391044617;2;21.9207134247;12.5;4;26.4528282881;
20;2;20.0837974548;12.5;4;27.1198713779;2;21.9358482361;12.5;4;26.5043625832;
21;2;20.1019706726;12.5;4;27.2021250725;2;21.9513092041;12.5;6;26.5569496155;
22;2;20.1204776764;12.5;4;27.2857589722;2;21.9670848846;12.5;6;26.6105561256;
23;2;20.139295578;12.5;4;27.3706576824;2;21.9831676483;12.5;6;26.6651450396;
24;3;19.625;13.2111968994;4;27.4566969872;2;21.9995441437;12.5;6;26.72067523;
25;3;17.625;14.2370090485;5;27.5437452793;2;22.0162029266;12.5;6;26.7771017551;
26;3;16.625;15.2631235123;6;27.6316635609;3;22.0331306458;12.5;5;26.8343759775;
27;3;16.217124939;15.5;6;27.7203068733;3;21.5;13.2337503433;6;26.8924454451;
28;4;15.2370691299;16.5;5;27.8095245361;3;22.0677337646;12.5;6;26.9512542486;
29;4;14.6321430206;17.5;5;27.8991618156;3;22.0853767395;12.5;6;27.0107431412;
