Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;6;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;6;21.8400001526;1;9.0;10.0;5;20.0;
5;2;8.27600002289;11.1199998856;5;23.5301437378;1;10.0;10.0;5;20.0;
6;2;9.50100040436;11.2650718689;5;24.2866051197;1;11.0;10.0;5;20.0;
7;2;10.4644870758;11.543302536;4;24.9659432173;1;11.0;10.0;5;20.3999996185;
8;2;10.6173362732;11.7641716003;4;25.8430874348;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;10.8146944046;12.0549411774;4;26.6500582695;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;10.9962625504;12.2827939987;4;27.4175627232;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;11.1689510345;12.4589796066;4;27.9870359898;1;11.6125736237;11.0209560394;5;22.9143505096;
12;2;13.1689510345;12.5;4;28.5549600124;1;11.8743057251;11.4571752548;5;23.6214065552;
13;2;15.1689510345;12.5;4;29.2106738091;1;13.6125736237;11.8107032776;6;24.1832637787;
14;2;16.5539417267;12.5;4;29.9597244263;1;14.6125736237;12.0916318893;6;24.6226100922;
15;2;17.7224788666;12.5;4;30.8048753738;1;15.6125736237;12.3113050461;6;24.9617595673;
16;2;18.9126377106;12.5;4;31.7449822426;1;16.6125736237;12.4808797836;6;25.0;
17;2;20.1241607666;12.5;4;32.7739305496;1;17.6125736237;12.5;6;25.0;
18;2;21.3556747437;12.5;5;33.8798551559;2;19.6125736237;12.5;4;26.0;
19;2;21.6229667664;12.5;5;35.0449047089;2;21.5;12.5;5;26.0900000334;
20;2;21.8851032257;12.5;5;36.2457828522;2;21.8269996643;12.5;5;26.1871190071;
21;2;22.1553001404;12.5;5;37.4551792145;2;21.856136322;12.5;5;26.2917383909;
22;2;22.4274158478;12.5;5;38.6440038681;2;21.8875217438;12.5;5;26.4042263031;
23;2;22.6949005127;12.5;6;39.7840967178;2;21.9212684631;12.5;5;26.5249304771;
24;4;22.9514217377;12.5;4;40.8509025574;2;21.9574794769;12.5;5;26.6541694403;
25;4;23.1914520264;12.5;4;41.8255901337;2;21.9962501526;12.5;6;26.7922235727;
26;4;23.4107589722;12.5;4;42.6962146759;2;22.0376663208;12.5;5;26.9393253326;
27;4;23.6066474915;12.5;4;43.4578208923;2;22.0817985535;12.5;5;27.0956480503;
28;4;23.7780094147;12.5;4;44.1116294861;2;22.1286945343;12.5;5;27.261295557;
29;4;23.9251174927;12.5;4;44.6636447906;2;22.1783885956;12.5;4;27.4362905025;
30;4;22.0493202209;13.5;4;45.1230583191;2;22.2308864594;12.5;4;27.6205644608;
31;4;21.0493202209;13.5;4;45.5007572174;2;21.5;13.5;4;27.8139474392;
32;4;20.0493202209;13.5;4;45.8081130981;2;21.5;13.6255788803;4;28.016159296;
33;4;20.0493202209;14.5;4;46.0;2;22.4048480988;12.5;4;28.2268030643;
34;4;19.0493202209;13.5;4;46.0;2;22.4680404663;12.5;4;28.445360899;
35;4;19.0493202209;14.5;4;46.0;2;22.5336074829;12.5;4;28.6711919308;
36;4;19.0493202209;15.5;5;46.0;2;21.5;13.5;5;28.9035346508;
37;4;19.625;16.5;5;46.0;2;22.5;12.5;6;29.141512394;
38;4;19.625;17.5;5;46.0;2;21.5;13.5;7;29.3841423988;
39;4;19.625;18.5;5;46.0;2;22.5;12.5;7;29.6303496361;
