Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;6;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;10.0;10.0;6;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;11.0;10.0;6;20.0;
7;1;10.194486618;11.543302536;5;23.5283432007;1;11.0;10.0;6;20.3999996185;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;11.1199998856;10.1999998093;6;20.7264003754;
9;2;10.4247236252;12.2549409866;4;25.5655879974;1;11.2179203033;10.3632001877;6;20.9903717041;
10;2;10.7522573471;12.2827939987;4;26.0079592466;2;11.597111702;10.4951858521;5;23.0419120789;
11;2;10.8517904282;12.4589796066;5;26.1871190071;2;11.9125738144;11.0209560394;5;23.9343504906;
12;2;13.7725067139;12.5;5;26.2917383909;2;12.180305481;11.4571752548;5;24.6616024971;
13;2;15.7725067139;12.5;5;26.4042263031;2;14.180305481;11.8107032776;5;25.243845582;
14;2;16.843208313;12.5;4;26.5249304771;2;16.180305481;12.0916318893;5;25.7037609816;
15;2;17.527256012;12.5;4;26.6541694403;2;16.7111282349;12.3113050461;5;26.0636560917;
16;2;18.527256012;12.5;4;26.7922235727;2;16.8190956116;12.4808797836;5;26.1228116751;
17;2;19.527256012;12.5;4;26.9393253326;2;18.7236270905;12.5;5;26.1438889503;
18;2;19.625;12.5;4;27.0956480503;2;19.7299499512;12.5;5;26.1651208401;
19;2;19.625;12.5;4;27.261295557;2;20.7363204956;12.5;6;26.1864993572;
20;2;19.625;12.5;6;27.4362905025;2;21.7427330017;12.5;6;26.2080165148;
21;2;19.625;12.5;6;27.6205644608;2;21.8624038696;12.5;6;26.2296639681;
22;2;19.625;12.5;7;27.8139474392;2;21.8688983917;12.5;6;26.2514331341;
23;2;19.625;12.5;7;28.016159296;2;21.8754291534;12.5;6;26.2733153105;
24;2;19.625;12.5;7;28.2268030643;2;21.8819942474;12.5;7;26.2953014374;
25;2;17.625;13.5;7;28.445360899;3;21.888589859;12.5;6;26.3173824549;
26;2;16.625;14.5;7;28.6711919308;4;21.8952140808;12.5;5;26.3395489454;
27;2;15.625;15.5;7;28.9035346508;4;19.9018650055;13.5;5;26.3617914915;
28;2;14.625;16.5;7;29.141512394;4;20.5;13.044716835;5;26.3841004372;
29;2;14.0;17.5;7;29.3841423988;4;21.5;13.0536403656;5;26.4064661264;
30;2;14.0;18.5;8;29.6303496361;4;19.9219398499;13.5;5;26.428878665;
31;2;14.0;19.5;8;29.8789830208;4;20.5;13.0715513229;5;26.4513280392;
32;2;14.0;20.5;8;30.1288366318;4;21.5;13.0805311203;5;26.4738043547;
33;2;14.0;21.5;8;30.3786706924;4;21.5;13.0895214081;4;26.4962974787;
34;2;14.0;22.5;8;30.6272368431;4;19.9488887787;13.5;4;26.5187973976;
35;3;14.0;23.5;7;38.8733024597;4;20.5;13.1075191498;4;26.5412938595;
36;3;16.0;22.5;8;39.3556756973;4;21.5;13.1165180206;4;26.5637768507;
37;3;18.0;22.5;8;39.8206520081;4;19.9691333771;13.5;4;26.5862361193;
38;3;19.0;22.5;8;40.2667837143;4;18.9758701324;14.5;5;26.6086617708;
39;4;20.0;22.5;8;40.6929206848;4;17.9825992584;15.5;4;26.6310436726;
40;5;21.0;23.5;7;41.0982117653;4;16.9893131256;16.5;4;26.6533719301;
