Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;2;8.0;10.1999998093;4;22.0;1;9.0;10.0;5;20.0;
4;2;8.29999923706;10.5;4;22.8800001144;1;9.0;10.0;4;20.0;
5;2;8.43200016022;10.9200000763;4;23.6113276482;1;10.0;10.0;3;20.0;
6;2;9.51926612854;11.2650718689;4;24.2101585865;1;11.0;10.0;3;20.0;
7;2;10.4472866058;11.543302536;4;24.6954506636;2;11.3000001907;10.0;2;21.3999996185;
8;2;10.5564756393;11.7641716003;4;25.3333948851;2;11.4200000763;10.1999998093;2;21.7264003754;
9;2;10.7000141144;12.0549411774;4;25.8475414515;2;11.5179204941;10.3632001877;2;21.9903717041;
10;2;10.8156967163;12.2827939987;4;26.2603958845;2;11.597111702;10.4951858521;2;23.0919120312;
11;2;10.9085893631;12.4589796066;4;26.4049614668;2;11.927573204;11.0209560394;2;24.0163254738;
12;2;12.9085884094;12.5;4;26.4695199728;2;13.9275741577;11.4571752548;2;24.7773565054;
13;2;14.9085884094;12.5;3;26.5360963345;2;15.9275741577;11.8107032776;3;25.395208478;
14;2;15.9521617889;12.5;3;26.6046662331;2;16.9761562347;12.0916318893;3;25.8925833702;
15;2;16.967590332;12.5;3;26.6751966476;2;17.9935646057;12.3113050461;3;26.2918028831;
16;2;17.9834594727;12.5;3;26.7476456165;2;19.0115871429;12.4808797836;3;26.3921557665;
17;2;18.9997615814;12.5;3;26.8219617605;2;20.0302200317;12.5;3;26.4563041925;
18;2;20.0164813995;12.5;4;26.8980840445;2;21.0494651794;12.5;3;26.5224741697;
19;2;20.0520687103;12.5;4;26.9759418964;2;21.956741333;12.5;4;26.5906432867;
20;2;20.0695877075;12.5;4;27.0554549694;2;21.977191925;12.5;4;26.6607804298;
21;2;20.0874767303;12.5;4;27.1365332603;2;21.9982337952;12.5;4;26.7328453064;
22;2;20.10572052;12.5;4;27.2190775871;2;22.0198535919;12.5;4;26.8067884445;
23;2;20.1242923737;12.5;5;27.3029792309;2;22.0420360565;12.5;4;26.8825509548;
24;3;20.1431694031;12.5;4;27.3881208897;2;22.0647659302;12.5;4;26.9600640535;
25;3;20.1623268127;12.5;4;27.4743769169;2;22.0880184174;12.5;5;27.0392494202;
26;3;20.1817340851;12.5;4;27.5616140366;2;22.1117744446;12.5;5;27.120018959;
27;3;19.625;13.5;4;27.649692297;2;22.1360054016;12.5;6;27.2022752762;
28;3;20.2211799622;12.5;4;27.7384650707;3;22.1606826782;12.5;5;27.2859115601;
29;3;20.241153717;12.5;4;27.827780962;3;22.1857738495;12.5;5;27.3708124161;
30;3;18.2612514496;13.5;4;27.9174842834;3;21.5;13.4483251572;5;27.4568536282;
31;3;17.2814331055;14.5;4;28.0074162483;3;21.5;13.4827413559;5;27.5439035892;
32;3;17.625;13.5;5;28.0974156857;3;22.2631721497;12.5;5;27.6318233013;
33;3;18.625;14.048707962;6;28.1873207092;3;21.5;13.5;5;27.7204678059;
34;3;19.625;14.0936603546;6;28.2769699097;3;22.3161411285;12.5;5;27.8096864223;
35;3;18.3623180389;13.5;6;28.3662028313;3;22.3429069519;12.5;5;27.8993241787;
36;3;17.382396698;14.5;6;28.4548618793;3;21.5;13.5;5;27.989222765;
37;4;16.40234375;15.5;5;28.5427927971;3;22.3967666626;12.5;5;28.079221487;
38;4;15.4221286774;16.5;5;28.6298465729;3;20.4237670898;13.5;5;28.1691586971;
