Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;2;7.0;11.1999998093;4;21.0;1;9.0;10.0;5;20.0;
3;2;8.14999961853;10.0;4;22.0199999809;1;9.0;10.0;5;20.0;
4;2;8.30299949646;10.5;4;22.8801960945;1;9.0;10.0;5;20.0;
5;2;8.43202972412;10.9200000763;4;23.5907255411;1;10.0;10.0;5;20.0;
6;2;9.51463127136;11.2650718689;4;24.1677559614;2;11.3000001907;10.0;4;21.0;
7;2;10.437746048;11.543302536;4;24.6302397251;2;11.3000001907;10.0;4;21.3999996185;
8;2;10.54180336;11.7641716003;4;25.2437130213;2;11.4200000763;10.1999998093;4;21.7264003754;
9;2;10.6798353195;12.0549411774;4;25.7319161892;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;10.789680481;12.2827939987;4;26.1173373461;2;11.597111702;10.4951858521;4;23.0819120407;
11;2;10.8764009476;12.4589796066;5;26.2329682112;2;11.9245738983;11.0209560394;4;23.99553442;
12;2;13.7971172333;12.5;5;26.267084837;2;13.9245738983;11.4571752548;4;24.7449600697;
13;2;15.7971172333;12.5;5;26.3017132282;2;15.9245738983;11.8107032776;5;25.3503712416;
14;2;16.820142746;12.5;5;26.3368371725;2;16.9627056122;12.0916318893;5;25.8344515562;
15;2;17.8280448914;12.5;5;26.3724392653;2;17.9761257172;12.3113050461;5;26.2195074558;
16;2;18.8360557556;12.5;5;26.4085009098;2;18.9898986816;12.4808797836;5;26.3048160076;
17;2;19.8441696167;12.5;5;26.4450021982;2;20.0040187836;12.5;5;26.3530313969;
18;2;19.9501247406;12.5;6;26.4819220304;2;21.0184822083;12.5;5;26.4023760557;
19;2;19.9584331512;12.5;6;26.5192379951;2;21.9207134247;12.5;6;26.4528282881;
20;2;19.9668292999;12.5;6;26.5569267273;2;21.9358482361;12.5;6;26.5043625832;
21;3;19.9753074646;12.5;5;26.5949635506;2;21.9513092041;12.5;6;26.5569496155;
22;3;19.625;12.5;5;26.6333229542;2;21.9670848846;12.5;6;26.6105561256;
23;3;19.9924983978;12.5;6;26.6719784737;2;21.9831676483;12.5;6;26.6651450396;
24;4;20.0011959076;12.5;4;26.7109024525;2;21.9995441437;12.5;7;26.72067523;
25;4;19.625;13.0132703781;4;26.750066638;3;22.0162029266;12.5;6;26.7771017551;
26;4;19.625;13.0250196457;4;26.7894419432;4;22.0331306458;12.5;5;26.8343759775;
27;4;19.625;13.3947210312;4;26.8289985657;4;21.5;13.2337503433;5;26.8924454451;
28;4;18.0365257263;13.5;3;27.8687061071;4;22.0677337646;12.5;5;26.9512542486;
29;4;18.0454597473;14.5;3;27.9985337257;4;22.0853767395;12.5;5;27.0107431412;
