Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;6;21.0;1;8.0;10.0;5;20.0;
4;1;8.14999961853;10.5;6;21.8400001526;1;8.0;10.0;5;20.0;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;8.0;10.0;5;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;9.0;10.0;4;20.0;
7;1;10.194486618;11.543302536;5;23.5283432007;1;9.5;10.0;4;20.0;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;9.5;10.0;4;20.3999996185;
9;2;10.4247236252;12.2549409866;4;25.5655879974;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;10.7522573471;12.2827939987;4;25.9579591751;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;10.8405408859;12.4589796066;4;26.0811839104;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;12.8405408859;12.5;4;26.1235535145;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;14.8405408859;12.5;4;26.1671074629;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;15.8691396713;12.5;4;26.211841464;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;16.8792057037;12.5;4;26.2577478886;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;17.8895339966;12.5;4;26.3048160076;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;18.9001235962;12.5;4;26.3530313969;1;15.7228336334;12.4808797836;5;25.0;
18;2;19.9109725952;12.5;4;26.4023760557;1;16.7228336334;12.5;5;25.0;
19;2;19.625;12.920712471;4;26.4528282881;1;17.625;12.5;6;25.0;
20;2;19.9518871307;12.5;6;26.5043625832;1;17.625;12.5;6;25.0;
21;2;19.9634819031;12.5;6;26.5569496155;1;17.625;12.5;5;25.0;
22;2;19.625;12.9670848846;6;26.6105561256;1;17.625;12.5;4;25.0;
23;2;19.9873752594;12.5;6;26.6651450396;1;17.625;12.5;5;25.0;
24;2;19.625;12.99954319;6;26.72067523;1;17.625;12.5;5;25.0;
25;2;20.0121517181;12.5;7;26.7771017551;1;17.625;12.5;6;25.0;
26;2;20.024848938;12.5;7;26.8343759775;1;17.625;12.5;7;25.0;
27;2;19.625;13.4171876907;7;26.8924454451;2;17.625;12.5;7;25.0;
28;2;20.0508003235;12.5;8;26.9512542486;2;17.625;12.5;7;25.0;
29;2;19.625;13.4756269455;8;27.0107431412;2;17.625;12.5;7;25.0;
30;2;18.0774173737;13.5;9;27.0708494186;2;17.625;12.5;7;25.0;
31;2;17.0909404755;14.5;8;27.1315076351;2;17.625;12.5;7;25.0;
32;3;16.1045894623;15.5;5;55.9426498413;2;17.625;12.5;5;25.0;
33;3;15.625;17.5;5;58.0167059898;2;17.625;12.5;4;25.0;
34;3;16.0;18.6271018982;5;59.6128807068;2;17.625;12.5;4;25.0;
35;3;17.0;19.6580505371;5;60.7903227806;2;17.625;12.5;4;25.0;
36;3;18.0;20.6891307831;5;61.6338291168;2;17.625;12.5;4;25.0;
37;3;19.0;21.7203063965;6;62.2286081314;2;17.625;12.5;5;25.0;
38;3;20.0;22.7515392303;6;62.3155794144;2;17.625;12.5;5;25.0;
39;3;21.0;23.7827892303;6;62.378036499;2;17.625;12.5;6;25.0;
40;3;22.0;24.8140182495;6;62.440372467;2;17.625;12.5;7;25.0;
41;3;23.0;25.8451862335;5;62.5025100708;2;17.625;12.5;7;25.0;
42;3;25.0;23.8762550354;5;62.5643725395;2;17.625;12.5;7;25.0;
43;3;25.0;24.9071865082;6;62.6258842945;2;17.625;12.5;7;25.0;
44;3;26.6470737457;27.9071865082;6;62.686971426;2;17.625;12.5;7;25.0;
45;3;27.4249992371;27.9071865082;4;62.7475619316;2;17.625;12.5;6;25.0;
46;3;28.4249992371;28.9071865082;4;62.8075861931;2;17.625;12.5;8;25.0;
47;3;26.4249992371;31.9071865082;3;62.8669772148;2;17.625;12.5;7;25.0;
48;3;26.4249992371;34.9071884155;3;62.9256706238;2;15.625;13.5;8;25.0;
49;3;26.4249992371;36.0878372192;3;62.9836053848;2;14.625;14.5;10;25.0;
50;3;26.4249992371;37.1168022156;3;63.0407235622;2;13.625;15.5;10;25.0;
51;3;26.4249992371;38.145362854;4;63.096971035;2;14.625;16.5;9;25.0;
52;3;26.4249992371;39.1734848022;4;63.1522974968;2;15.625;17.5;8;25.0;
53;3;27.4249992371;37.2011489868;4;63.2066559792;2;16.625;17.5;8;25.0;
54;3;27.202747345;36.5;5;63.2600040436;2;17.625;17.5;9;25.0;
55;3;27.4249992371;35.5;5;63.3123030663;2;17.625;17.5;8;25.0;
56;3;28.4249992371;35.2811508179;5;63.3635182381;2;17.625;17.5;9;25.0;
57;3;27.2380409241;34.5;6;63.4136190414;2;17.625;17.5;8;25.0;
58;3;27.4249992371;33.5;6;63.4625790119;3;17.625;17.5;8;25.0;
59;3;27.2603302002;33.5;6;63.5103754997;3;17.625;17.5;8;25.0;
60;3;26.4249992371;34.5;6;63.5569901466;3;17.625;17.5;8;25.0;
61;3;26.4249992371;35.5;7;63.6024079323;3;17.625;17.5;9;25.0;
62;3;26.4249992371;36.5;8;63.6466178894;3;17.625;17.5;7;25.0;
63;3;26.4249992371;37.5;9;63.6896123886;3;17.625;17.5;7;25.0;
64;3;26.4249992371;38.5;10;63.7313876152;3;17.625;17.5;7;25.0;
65;4;26.4249992371;39.5;9;63.75;2;17.625;17.5;7;25.0;
66;4;27.4249992371;37.5;10;63.75;2;17.625;17.5;7;25.0;
