Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;7.0;11.0;5;20.0;
3;2;8.0;10.1999998093;3;22.0;1;8.0;10.0;5;20.0;
4;2;8.29999923706;10.5;3;22.9600001574;1;8.0;10.0;5;20.0;
5;2;8.44400024414;10.9200000763;3;23.7831997871;1;8.0;10.0;5;20.0;
6;2;9.55793762207;11.2650718689;3;24.4868569374;1;9.0;10.0;5;20.0;
7;2;10.5095434189;11.543302536;3;25.0910207033;1;9.5;10.0;5;20.0;
8;2;10.6454792023;11.7641716003;3;25.8669151068;1;9.5;10.0;5;20.3999996185;
9;2;10.8200559616;12.0549411774;3;26.537733674;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;10.970990181;12.2827939987;3;27.1273117065;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.1036453247;12.4589796066;3;27.4698493481;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;14.0243616104;12.5;3;27.7546267509;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;16.0243606567;12.5;3;28.0643947124;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;17.2167453766;12.5;3;28.3995049;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;18.2921447754;12.5;2;28.7598693371;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;19.3732261658;12.5;2;29.1448850632;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;20.459854126;12.5;2;29.5533680916;1;15.7228336334;12.4808797836;4;25.0;
18;2;20.6495075226;12.5;3;29.98350811;1;16.7228336334;12.5;4;25.0;
19;2;20.7462882996;12.5;3;30.4328455925;1;17.625;12.5;5;25.0;
20;2;20.8473892212;12.5;3;30.8982858658;1;17.625;12.5;5;25.0;
21;3;20.9521141052;12.5;2;31.3761482239;1;17.625;12.5;5;25.0;
22;3;21.059633255;12.5;2;31.8622565269;1;17.625;12.5;6;25.0;
23;3;21.169008255;12.5;2;32.3520669937;1;17.625;12.5;6;25.0;
24;3;21.279214859;12.5;2;32.8408274651;1;17.625;12.5;7;25.0;
25;3;21.3891868591;12.5;4;33.3237571716;1;17.625;12.5;8;25.0;
26;4;19.625;13.5;3;33.7962341309;1;17.625;12.5;8;25.0;
27;4;20.625;12.5;3;34.2539691925;1;17.625;12.5;8;25.0;
28;4;19.625;13.5;3;34.6931657791;1;17.625;12.5;9;25.0;
29;4;20.625;12.5;3;35.1106348038;1;17.625;12.5;9;25.0;
30;4;19.625;13.5;3;35.5038747787;1;17.625;12.5;9;25.0;
31;4;20.625;12.5;3;36.8711032867;1;17.625;12.5;9;25.0;
32;4;20.625;14.0;4;37.2412493229;1;17.625;12.5;9;25.0;
33;4;20.625;13.5;4;37.5844938755;1;17.625;12.5;8;25.0;
34;4;21.625;14.5;4;37.9010121822;1;17.625;12.5;8;25.0;
35;4;22.282081604;15.5;4;38.191475153;1;17.625;12.5;8;25.0;
36;4;22.3402900696;16.5;4;38.4569510221;2;18.625;13.0;6;26.0;
37;4;22.0278148651;17.5;4;39.6988064051;2;19.625;13.0;6;26.1299999952;
38;4;21.7677516937;17.5943546295;4;39.9386124611;2;19.8792495728;12.5;6;26.2754310369;
39;4;23.0427303314;16.5;4;40.1582581997;2;19.9119720459;12.5;6;26.4377241135;
40;4;22.0;16.6481361389;5;40.3511236906;2;19.9484882355;12.5;6;26.6183350086;
