Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;8.0;11.0;6;20.0;
5;2;8.27600002289;11.1199998856;2;23.5301437378;1;8.0;10.0;6;20.0;
6;2;9.50100040436;11.2650718689;2;24.1666051149;1;9.0;10.0;6;20.0;
7;2;10.4374866486;11.543302536;2;24.6938792467;1;9.5;10.0;6;20.0;
8;2;10.5561218262;11.7641716003;2;25.3783872128;1;9.5;10.0;6;20.3999996185;
9;2;10.7101373672;12.0549411774;2;25.9448523521;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;10.8375911713;12.2827939987;2;26.4161262512;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;10.9436283112;12.4589796066;3;26.6255387068;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;13.8643445969;12.5;3;26.7616688013;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;15.8643445969;12.5;3;26.9068008661;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;16.956287384;12.5;3;27.0611219406;2;13.7228336334;12.1107034683;5;25.1832637787;
15;2;17.9910087585;12.5;3;27.2247519493;2;15.7228336334;12.0916318893;5;25.6726100445;
16;2;19.0278244019;12.5;3;27.3977320194;2;16.9590835571;12.3113050461;5;26.0637345314;
17;2;20.0667457581;12.5;3;27.5800139904;2;17.9707775116;12.4808797836;5;26.1559499502;
18;2;20.2055034637;12.5;4;27.771450758;2;18.9829216003;12.5;5;26.2119446993;
19;2;20.2485771179;12.5;5;27.971786499;2;19.897687912;12.5;5;26.269973278;
