Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;6;21.8400001526;1;8.0;11.0;5;20.0;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;8.0;10.0;5;20.0;
6;1;9.27600002289;11.2650718689;6;23.086605072;1;9.0;10.0;3;20.0;
7;2;10.194486618;11.7433023453;5;24.5283432007;1;9.5;10.0;3;20.0;
8;2;10.5188770294;11.7641716003;5;25.1498823166;1;9.5;10.0;3;20.3999996185;
9;2;10.6587238312;12.0549411774;5;25.6467719078;1;9.59000015259;10.1999998093;3;20.7264003754;
10;2;10.7705230713;12.2827939987;5;26.0415127277;1;9.66343975067;10.3632001877;3;20.9903717041;
11;2;10.8593406677;12.4589796066;5;26.1671074629;1;9.72283363342;10.4951858521;3;22.0419120789;
12;2;12.8593406677;12.5;5;26.211841464;1;9.95943069458;11.0209560394;3;22.9143505096;
13;2;14.8593406677;12.5;5;26.2577478886;1;11.7228336334;11.4571752548;3;23.6214065552;
14;2;15.8895339966;12.5;4;26.3048160076;1;12.7228336334;11.8107032776;3;24.1832637787;
15;2;16.9001235962;12.5;4;26.3530313969;1;13.7228336334;12.0916318893;3;24.6226100922;
16;2;17.9109725952;12.5;4;26.4023760557;1;14.7228336334;12.3113050461;3;24.9617595673;
17;2;18.9220752716;12.5;4;26.4528282881;1;15.7228336334;12.4808797836;3;25.0;
18;2;19.9334278107;12.5;4;26.5043625832;2;17.7228336334;12.8000001907;3;26.0;
19;2;19.625;12.5;4;26.5569496155;2;19.625;12.8000001907;3;26.0900000334;
20;2;19.625;12.5;6;26.6105561256;2;19.625;12.5;3;26.1871190071;
21;2;19.625;12.5;6;26.6651450396;2;19.625;12.8561353683;2;26.2917383909;
22;2;19.625;12.5;6;26.72067523;2;19.625;12.5;3;26.4042263031;
23;2;19.625;12.5;5;26.7771017551;2;19.625;12.5;3;26.5249304771;
24;2;19.625;12.5;6;26.8343759775;2;19.625;12.5;3;26.6541694403;
25;2;19.625;12.5;7;26.8924454451;2;19.625;12.5;3;26.7922235727;
26;3;19.625;12.5;6;26.9512542486;2;19.625;12.5;3;26.9393253326;
27;3;19.625;12.5;6;27.0107431412;3;19.625;12.5;3;27.0956480503;
28;3;19.625;12.5;7;27.0708494186;4;19.625;12.5;2;27.261295557;
29;3;19.625;12.5;7;27.1315076351;4;19.625;12.5;2;27.4362905025;
30;3;17.625;13.5;7;27.1926498413;4;18.1731643677;13.5;2;27.6205644608;
31;3;16.625;14.5;7;27.2542052269;4;17.2146263123;14.5;1;27.8139474392;
32;3;15.625;15.5;7;27.3161010742;0;0;0;0;0;
