Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;1;8.0;11.0;6;20.0;
5;2;8.42599964142;10.9200000763;4;23.5501437187;2;8.0;10.3000001907;5;21.0;
6;2;9.50549983978;11.2650718689;4;24.1268010139;2;9.22500038147;10.0;5;21.0599999428;
7;2;10.4285306931;11.543302536;4;24.588925004;2;9.73849964142;10.0;5;21.1229639053;
8;2;10.5325078964;11.7641716003;4;25.2016390562;2;9.75266647339;10.0;5;21.6001901627;
9;2;10.6703691483;12.0549411774;4;25.6890956163;2;9.86004257202;10.1999998093;5;22.0082015991;
10;2;10.780046463;12.2827939987;4;26.0737844706;2;9.95184516907;10.3632001877;5;22.3582868576;
11;2;10.8666009903;12.4589796066;5;26.1886988878;2;10.0306148529;10.4951858521;5;23.5279067755;
12;2;13.787317276;12.5;5;26.222116828;2;10.2937793732;11.0209560394;5;24.5268628597;
13;2;15.787317276;12.5;5;26.2560658455;2;12.0856485367;11.4571752548;4;25.3691681623;
14;2;16.8098716736;12.5;5;26.2905315161;2;14.0856485367;11.8107032776;4;26.0752547979;
15;2;17.8176269531;12.5;4;26.3254981041;2;16.0856494904;12.0916318893;4;26.6680037975;
16;2;18.8254928589;12.5;4;26.3609485626;2;17.1830482483;12.3113050461;4;27.1698563099;
17;2;19.8334693909;12.5;4;26.3968646526;2;18.2196559906;12.4808797836;4;27.3801496029;
18;2;19.9392948151;12.5;5;26.433226943;2;18.7228336334;13.2140445709;4;27.5615134239;
19;2;19.9474754333;12.5;5;26.4700145721;2;19.625;13.268453598;3;27.7520513535;
