Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;2;7.0;13.3000001907;5;21.0;
3;1;8.0;10.0;5;21.0;2;8.14999961853;12.0;5;21.0599999428;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.15900039673;11.0;5;21.1229639053;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;8.16844463348;10.0;5;21.1889609098;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;9.26751613617;10.0;4;21.2580518723;
7;1;10.194486618;11.543302536;5;23.5283432007;2;9.7830619812;10.0;4;21.3302885294;
8;1;10.2938766479;11.7641716003;5;24.1098823547;2;9.7993144989;10.0;3;21.8190145493;
9;1;10.4247236252;12.0549411774;5;24.5655879974;2;9.90927886963;10.1999998093;3;22.2388005257;
10;2;10.5272569656;12.482793808;4;25.9179592133;2;10.0037298203;10.3632001877;3;22.6008902788;
11;2;10.8315410614;12.4589796066;5;26.1699999571;2;10.0852003098;10.4951858521;3;23.7875448465;
12;2;13.7522573471;12.5;5;26.3669109344;2;10.3521976471;11.0209560394;3;24.8040741682;
13;2;15.7522563934;12.5;4;26.5942704678;2;12.148021698;11.4571752548;3;25.6643919945;
14;2;16.8859672546;12.5;4;26.8558222055;2;14.148021698;11.8107032776;3;26.3888099194;
15;2;17.9448165894;12.5;4;27.1554293633;2;15.7228336334;12.7532958984;3;27.0000665188;
16;2;19.0122280121;12.5;4;27.4969480038;2;17.2577610016;12.3113050461;3;27.5204386711;
17;2;20.0890693665;12.5;4;27.8840510845;2;17.7228336334;13.2484836578;3;27.7490785122;
18;2;19.625;13.3652153015;4;28.3200027943;2;18.7228336334;13.3247232437;4;27.9484119415;
19;2;20.3720016479;12.5;4;28.8073790073;2;19.625;13.3845233917;4;28.156321764;
20;2;20.4816608429;12.5;6;29.3477458954;2;20.3351726532;12.5;4;28.3723301888;
21;2;20.6032428741;12.5;6;29.9413113594;2;20.3837738037;12.5;4;28.5958371162;
22;2;19.625;13.5;7;30.586581707;2;20.4340629578;12.5;4;28.8261203766;
23;2;20.625;12.5;7;31.2800674438;2;19.625;13.5;5;29.0623402596;
24;2;19.625;13.5;7;32.0160870552;4;19.625;14.1249361038;3;29.303548336;
25;2;18.625;13.5;7;32.7867279053;4;20.5932979584;12.5;4;29.5486979485;
26;2;16.625;15.5;7;33.5820074081;4;19.625;13.5;4;29.796661377;
27;2;16.625;15.5;7;34.3902606964;4;20.625;12.5;4;30.0462479591;
28;2;16.625;16.5;7;35.1987380981;4;20.7604064941;12.5;4;30.2962265015;
29;3;16.2947158813;17.5;5;50.9943685532;4;18.8166503906;13.5;4;30.5453491211;
30;3;15.2947158813;19.5;5;52.5145931244;4;17.8727035522;14.5;4;30.7923750877;
31;3;16.0;21.5;5;53.9175376892;4;16.9282836914;15.5;4;31.0360965729;
32;3;17.0;23.5;6;55.1930818558;4;15.9831218719;16.5;4;31.2753615379;
33;4;18.0;25.5;5;56.3368530273;4;15.4119567871;17.5;4;31.5090961456;
34;4;19.0;27.5;6;57.3495292664;4;15.4645462036;18.5;4;31.736322403;
35;4;20.0;29.5;6;58.2358865738;4;15.5156726837;19.5;5;31.9561743736;
36;4;21.0;31.5;7;59.0037298203;4;15.5651397705;20.5;5;32.1679081917;
37;5;23.588104248;27.5;6;59.6628503799;4;14.0;22.5;5;32.3709101677;
38;5;21.6648292542;29.5;6;60.1303920746;4;14.0;24.5;4;32.5646982193;
39;5;21.7000007629;31.5;7;60.4319667816;4;14.0;26.5;4;32.7489213943;
40;5;22.7000007629;30.5;7;60.6896247864;4;14.0;28.5;6;32.9233555794;
41;5;22.7000007629;29.5;7;61.9083213806;4;14.0;30.5;6;34.0878953934;
42;5;22.7000007629;31.8999996185;7;62.0499999523;4;15.0;32.1615257263;7;34.4125441313;
43;5;24.7000007629;30.5;8;63.1019749641;4;16.0;33.2697792053;7;34.7543144226;
44;5;27.0305938721;33.5;8;63.2859499454;4;16.307554245;34.371181488;8;35.1169288158;
45;6;29.0467834473;36.5;8;63.4873757362;4;16.3587112427;35.4658622742;8;35.5043894053;
46;6;30.4462127686;39.5;8;63.7076973915;4;17.4175605774;33.5539970398;8;35.9208760262;
47;6;31.5123100281;42.5;8;63.9483783245;4;16.4849720001;34.6358108521;8;36.370609045;
48;6;32.2095146179;45.5;9;64.2108676434;4;16.5618133545;35.7115631104;9;36.8576600552;
49;7;33.2882614136;43.5;8;67.3806096315;4;15.0;33.7815246582;8;34.0;
50;7;33.373966217;45.5;9;68.1267405748;4;14.0;34.7999992371;9;34.0;
51;7;34.4670219421;47.5;11;69.9499043226;4;16.0;31.5;9;34.0;
