Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;4;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;4;21.8400001526;1;9.0;10.0;5;20.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;10.0;10.0;3;20.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;11.0;10.0;3;20.0;
7;1;10.194486618;11.543302536;4;23.5283432007;1;11.0;10.0;2;20.3999996185;
8;2;10.2938766479;11.9641714096;3;25.1098823547;1;11.1199998856;10.1999998093;2;20.7264003754;
9;2;10.6497240067;12.0549411774;3;25.6055879593;1;11.2179203033;10.3632001877;2;20.9903717041;
10;2;10.7612571716;12.2827939987;3;25.9991431236;1;11.2971115112;10.4951858521;2;22.0419120789;
11;2;10.8498067856;12.4589796066;3;26.1235535145;1;11.6125736237;11.0209560394;2;22.9143505096;
12;2;13.7705230713;12.5;3;26.1671074629;1;11.8743057251;11.4571752548;2;23.6214065552;
13;2;15.7705230713;12.5;3;26.211841464;1;13.6125736237;11.8107032776;3;24.1832637787;
14;2;16.7999210358;12.5;3;26.2577478886;1;14.6125736237;12.0916318893;3;24.6226100922;
15;2;17.8102493286;12.5;3;26.3048160076;1;15.6125736237;12.3113050461;3;24.9617595673;
16;2;18.8208389282;12.5;4;26.3530313969;1;16.6125736237;12.4808797836;3;25.0;
17;2;19.8316879272;12.5;5;26.4023760557;1;17.6125736237;12.5;3;25.0;
18;3;19.9405345917;12.5;4;26.4528282881;1;18.6125736237;12.5;3;25.0;
19;3;19.9518871307;12.5;5;26.5043625832;1;19.5;12.5;4;25.0;
20;3;19.9634819031;12.5;5;26.5569496155;1;19.5;12.5;5;25.0;
21;3;19.9753131866;12.5;5;26.6105561256;1;19.5;12.5;6;25.0;
22;3;19.9873752594;12.5;5;26.6651450396;1;19.5;12.5;6;25.0;
23;3;19.9996566772;12.5;5;26.72067523;1;19.5;12.5;6;25.0;
24;3;20.0121517181;12.5;5;26.7771017551;1;19.5;12.5;6;25.0;
25;3;20.024848938;12.5;5;26.8343759775;1;19.5;12.5;6;25.0;
26;3;19.625;13.0503129959;6;26.8924454451;1;19.5;12.5;6;25.0;
27;3;20.0508003235;12.5;7;26.9512542486;1;19.5;12.5;7;25.0;
28;4;19.625;13.4756269455;6;27.0107431412;1;19.5;12.5;7;25.0;
29;4;19.625;13.5053710938;6;27.0708494186;1;19.5;12.5;7;25.0;
30;4;20.0909404755;12.5;6;27.1315076351;1;19.5;12.5;7;25.0;
31;4;20.1045894623;12.5;6;27.1926498413;1;19.5;12.5;7;25.0;
32;4;19.625;13.5;6;27.2542052269;1;19.5;12.5;7;25.0;
33;4;20.1321964264;12.5;7;27.3161010742;1;19.5;12.5;7;25.0;
34;4;19.625;13.5;8;27.3782629967;1;19.5;12.5;6;25.0;
35;4;19.625;13.6891317368;8;27.4406147003;1;19.5;12.5;6;25.0;
36;4;19.625;13.7203073502;8;27.5030794144;1;19.5;12.5;6;25.0;
37;4;19.625;13.7515392303;9;27.5655794144;1;19.5;12.5;6;25.0;
38;4;19.625;13.7827892303;10;27.628036499;1;19.5;12.5;7;25.0;
39;4;19.625;13.8140182495;10;27.690372467;1;19.5;12.5;7;25.0;
40;4;19.625;13.8451862335;10;27.7525100708;1;19.5;12.5;7;25.0;
