Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;6.0;12.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.1000003815;6;23.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.5;6;23.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;9.60000038147;11.5;6;23.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;10.6000003815;11.5;6;23.0;
7;1;10.194486618;11.543302536;5;23.5283432007;1;11.6000003815;11.5;6;23.0;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;11.8999996185;11.5;6;23.4599990845;
9;1;10.4247236252;12.0549411774;5;24.5655879974;1;12.0380001068;11.7299995422;6;23.8212833405;
10;1;10.5272569656;12.2827939987;5;24.9179592133;1;12.1463851929;11.9106416702;6;24.0;
11;1;10.6065406799;12.4589796066;5;25.0;1;12.2000007629;12.0;6;25.2000007629;
12;1;11.6065406799;12.5;5;25.0;1;14.1463851929;12.6000003815;6;26.1576004028;
13;1;12.6065406799;12.5;5;25.0;1;15.1463851929;13.0788002014;6;26.9011039734;
14;1;13.6065406799;12.5;5;25.0;1;16.1463851929;13.4505519867;6;27.4657306671;
15;1;14.6065406799;12.5;5;25.0;2;18.1463851929;13.9328651428;5;28.88712883;
16;1;15.6065406799;12.5;5;25.0;2;20.1463851929;13.943564415;5;29.0299999714;
17;1;16.6065406799;12.5;6;25.0;2;21.4553852081;14.0;6;29.0605909824;
18;1;17.6065406799;12.5;6;25.0;2;22.4645614624;14.0;6;29.091766119;
19;1;17.625;12.5;6;25.0;2;22.7275295258;14.0;6;29.1235172749;
20;1;17.625;12.5;6;25.0;2;22.7370548248;14.0;7;29.1558350325;
21;1;17.625;12.5;6;25.0;2;22.7467498779;14.0;7;29.1887089014;
22;1;17.625;12.5;6;25.0;2;22.7566127777;14.0;7;29.2221269608;
23;1;17.625;12.5;6;25.0;2;22.7666378021;14.0;8;29.2560760975;
24;1;17.625;12.5;7;25.0;2;22.7768230438;14.0;8;29.2905418873;
25;2;17.625;12.5;7;25.0;2;22.7871627808;14.0;8;29.3255085945;
26;2;17.625;12.5;8;25.0;2;22.7976531982;14.0;8;29.3609591722;
27;2;17.625;12.5;8;25.0;3;22.8082866669;14.0;7;29.3968753815;
28;2;17.625;12.5;8;25.0;3;22.3999996185;14.0;7;29.4332377911;
29;2;17.625;12.5;8;25.0;3;22.3999996185;14.7166185379;7;29.4700255394;
30;2;15.625;13.5;8;25.0;3;20.8410072327;15.0;7;29.5072168112;
31;2;14.625;14.5;8;25.0;3;19.8521652222;16.0;7;29.5447884798;
32;2;13.625;15.5;7;25.0;3;18.8634357452;17.0;7;29.5827163458;
33;3;13.625;17.0;6;26.0;3;17.8748149872;18.0;7;29.6209751368;
34;3;14.0;17.5;6;26.0399999619;3;16.8862915039;19.0;6;29.6595385075;
35;3;14.0;18.5;7;26.0811839104;3;15.8978614807;20.0;6;29.6983793974;
36;3;14.0;19.5;7;26.1235535145;3;14.9095134735;21.0;6;29.7374696732;
37;3;14.0;20.5;6;26.1671074629;3;14.0;22.0;6;29.7767804861;
38;3;14.0;21.5;5;26.211841464;3;14.0;23.0;6;30.8162822723;
