Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;6.0;12.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.1000003815;6;23.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.5;6;23.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;9.60000038147;11.5;6;23.0;
6;2;9.27600002289;11.6650714874;3;24.086605072;1;10.6000003815;11.5;6;23.0;
7;2;10.4194869995;11.543302536;3;24.6483432055;1;11.6000003815;11.5;6;23.0;
8;2;10.545876503;11.7641716003;3;25.3741383553;1;11.8999996185;11.5;6;23.4599990845;
9;2;10.7091808319;12.0549411774;3;25.9908564091;1;12.0380001068;11.7299995422;6;23.8212833405;
10;2;10.8479423523;12.2827939987;3;26.5224512815;1;12.1463851929;11.9106416702;6;24.0;
11;2;10.9675512314;12.4589796066;4;26.8033770323;1;12.2000007629;12.0;6;25.2000007629;
12;2;13.8882675171;12.5;4;27.0233280659;1;14.1463851929;12.6000003815;6;26.1576004028;
13;2;15.8882675171;12.5;4;27.2656555176;1;15.1463851929;13.0788002014;6;26.9011039734;
14;2;17.0370292664;12.5;4;27.5315153599;1;16.1463851929;13.4505519867;6;27.4657306671;
15;2;17.527256012;13.5;4;27.8218417168;1;17.1463851929;13.7328653336;6;27.88712883;
16;2;18.527256012;13.628736496;4;28.1372716427;1;18.1463851929;13.943564415;6;28.0;
17;2;19.527256012;13.7549085617;5;28.4780650139;1;19.1463851929;14.0;6;28.0;
18;2;19.625;14.2390327454;4;28.8440246582;1;20.1463851929;14.0;6;28.0;
19;2;19.625;14.4220123291;4;29.2344226837;1;20.3999996185;14.0;6;28.0;
20;2;19.625;14.6172113419;5;29.6479387283;1;20.3999996185;14.0;6;28.0;
21;2;19.625;14.8239688873;5;30.082616806;1;20.3999996185;14.0;6;28.0;
22;2;20.625;12.8239688873;4;30.5358533859;1;20.3999996185;14.0;7;28.0;
23;2;20.8705673218;12.5;4;31.0044159889;1;20.3999996185;14.0;5;28.0;
24;3;20.9759941101;12.5;3;31.4845042229;1;20.3999996185;14.0;5;28.0;
25;3;19.625;13.5;3;31.9718470573;1;20.3999996185;14.0;5;28.0;
26;3;19.625;14.5;3;32.4618391991;1;20.3999996185;14.0;5;28.0;
27;3;19.625;15.5;4;32.9497060776;1;20.3999996185;14.0;5;28.0;
28;3;19.625;16.5;4;33.4306869507;1;20.3999996185;14.0;4;28.0;
29;3;19.625;17.5;4;33.9002180099;1;20.3999996185;14.0;5;28.0;
30;3;19.625;18.5;4;34.3541097641;1;20.3999996185;14.0;6;28.0;
31;3;19.625;19.047876358;4;34.7886915207;1;20.3999996185;14.0;6;28.0;
32;3;19.625;19.3520851135;4;35.2009239197;1;20.3999996185;14.0;6;28.0;
33;3;19.625;19.6406478882;4;36.5884647369;1;20.3999996185;14.0;6;28.0;
34;3;20.625;20.4119262695;4;36.9996936321;1;20.3999996185;14.0;5;28.0;
35;3;21.625;20.6897850037;4;37.3856682777;1;20.3999996185;14.0;5;28.0;
36;3;21.625;20.9495735168;5;37.746142745;1;20.3999996185;14.0;5;28.0;
37;3;21.625;21.191110611;7;38.0814391375;1;20.3999996185;14.0;5;28.0;
