Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;6.0;12.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.1000003815;6;23.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.5;6;23.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;9.60000038147;11.5;6;23.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;10.6000003815;11.5;6;23.0;
7;1;10.194486618;11.543302536;5;23.5283432007;1;11.6000003815;11.5;6;23.0;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;11.8999996185;11.5;6;23.4599990845;
9;1;10.4247236252;12.0549411774;5;24.5655879974;1;12.0380001068;11.7299995422;6;23.8212833405;
10;1;10.5272569656;12.2827939987;5;24.9179592133;1;12.1463851929;11.9106416702;6;24.0;
11;1;10.6065406799;12.4589796066;6;25.0;1;12.2000007629;12.0;6;25.2000007629;
12;1;12.5272569656;12.5;6;25.0;1;14.1463851929;12.6000003815;6;26.1576004028;
13;1;13.5272569656;12.5;6;25.0;1;15.1463851929;13.0788002014;6;26.9011039734;
14;1;14.5272569656;12.5;6;25.0;1;16.1463851929;13.4505519867;6;27.4657306671;
15;1;15.5272569656;12.5;6;25.0;1;17.1463851929;13.7328653336;6;27.88712883;
16;1;16.527256012;12.5;6;25.0;1;18.1463851929;13.943564415;6;28.0;
17;1;17.527256012;12.5;7;25.0;1;19.1463851929;14.0;6;28.0;
18;1;17.625;12.5;7;25.0;1;20.1463851929;14.0;7;28.0;
19;1;17.625;12.5;7;25.0;1;20.3999996185;14.0;8;28.0;
20;1;17.625;12.5;7;25.0;1;20.3999996185;14.0;8;28.0;
21;1;17.625;12.5;8;25.0;1;20.3999996185;14.0;8;28.0;
22;1;17.625;12.5;8;25.0;1;20.3999996185;14.0;8;28.0;
23;1;17.625;12.5;8;25.0;1;20.3999996185;14.0;10;28.0;
24;1;17.625;12.5;8;25.0;1;20.3999996185;14.0;10;28.0;
25;1;17.625;12.5;8;25.0;1;20.3999996185;14.0;11;28.0;
26;1;17.625;12.5;8;25.0;2;20.3999996185;14.0;10;28.0;
27;1;17.625;12.5;8;25.0;2;20.3999996185;14.0;10;28.0;
28;1;17.625;12.5;8;25.0;3;20.3999996185;14.0;7;45.25;
29;1;17.625;12.5;8;25.0;3;21.3999996185;14.0;7;46.1124992371;
30;1;17.625;12.5;8;25.0;3;22.3999996185;14.0;7;46.8619041443;
31;1;17.625;12.5;8;25.0;3;23.3999996185;14.0;7;47.5009632111;
32;1;17.625;12.5;8;25.0;3;24.3999996185;14.0;7;48.0370521545;
33;1;17.625;12.5;8;25.0;3;25.3999996185;14.0;7;48.4804611206;
34;1;17.625;12.5;8;25.0;3;26.3999996185;14.0;7;48.8428707123;
35;1;17.625;12.5;8;25.0;3;27.3999996185;14.0;7;49.1361560822;
36;1;17.625;12.5;9;25.0;3;28.3999996185;14.0;7;49.25;
37;1;17.625;12.5;9;25.0;3;28.7749996185;14.0;7;49.25;
38;1;17.625;12.5;9;25.0;3;28.7749996185;14.0;8;49.25;
39;1;17.625;12.5;9;25.0;3;28.7749996185;14.0;8;49.25;
