Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;6.0;12.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.1000003815;6;23.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;11.5;6;23.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;9.60000038147;11.5;6;23.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;10.6000003815;11.6999998093;5;24.0;
7;1;10.194486618;11.543302536;5;23.5283432007;2;11.9000005722;11.5;5;24.2024999857;
8;1;10.2938766479;11.7641716003;5;24.1098823547;2;12.2607498169;11.5;5;24.915595293;
9;1;10.4247236252;12.0549411774;5;24.5655879974;2;12.4746789932;11.7299995422;5;25.579562068;
10;1;10.5272569656;12.2827939987;5;24.9179592133;2;12.673869133;11.9106416702;5;26.1185803413;
11;1;10.6065406799;12.4589796066;6;25.0;2;12.8355751038;12.0;5;27.8086388111;
12;1;12.5272569656;12.5;6;25.0;2;14.9289770126;12.6000003815;5;29.3568696976;
13;1;13.5272569656;12.5;6;25.0;2;16.928976059;13.0788002014;5;30.8058354855;
14;1;14.5272569656;12.5;6;25.0;2;18.928976059;13.4505519867;5;32.2039375305;
15;1;15.5272569656;12.5;6;25.0;2;20.5678482056;13.7328653336;5;33.5972270966;
16;1;16.527256012;12.5;6;25.0;2;21.8594150543;13.943564415;5;34.8258457184;
17;1;17.527256012;12.5;6;25.0;2;23.1941394806;14.0;6;36.0834503174;
18;1;17.625;12.5;6;25.0;2;24.5714206696;14.0;6;37.4710998535;
19;1;17.625;12.5;7;25.0;2;25.2413291931;14.0;6;38.9655351639;
20;1;17.625;12.5;8;25.0;3;25.6896591187;14.0;6;40.5319032669;
21;1;17.625;12.5;8;25.0;3;26.159570694;14.0;6;42.1257228851;
22;1;17.625;12.5;8;25.0;3;26.6377162933;14.0;6;43.6971073151;
23;1;17.625;12.5;8;25.0;3;27.1091308594;14.0;7;45.1966342926;
24;1;17.625;12.5;8;25.0;3;27.5589904785;14.0;7;46.5815429688;
25;1;17.625;12.5;8;25.0;3;25.9744625092;15.0;7;47.8206443787;
26;1;17.625;12.5;9;25.0;3;25.3461933136;16.0;7;48.8967781067;
27;1;17.625;12.5;10;25.0;3;24.6690330505;17.0;7;49.8064613342;
28;1;17.625;12.5;10;25.0;3;23.9419384003;18.0;7;50.5573749542;
29;1;17.625;12.5;10;25.0;3;22.9419384003;17.0;7;52.1647605896;
30;1;17.625;12.5;10;25.0;3;22.9419384003;17.5;7;52.6778004169;
31;1;17.625;12.5;10;25.0;3;22.9419384003;16.0;7;53.0872766972;
32;1;15.625;13.5;10;25.0;3;21.9419384003;16.5302963257;7;53.341766119;
33;1;14.625;14.5;10;25.0;3;21.2694683075;15.0;8;53.3735172749;
34;1;13.625;15.5;10;25.0;3;21.2789936066;16.0;8;53.4058350325;
35;1;12.625;16.5;11;25.0;3;21.2886886597;17.0;8;53.4387089014;
36;1;12.0;17.5;11;25.0;3;21.7566127777;18.0;8;53.4721269608;
37;1;12.0;18.5;11;25.0;3;22.7666378021;19.0;8;53.5060760975;
38;1;12.0;19.5;12;25.0;3;23.7768230438;20.0;8;53.5405418873;
