Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;4;20.0;
3;2;8.0;10.1999998093;4;22.0;1;8.0;12.0;4;20.0;
4;2;8.29999923706;10.5;4;22.8600001335;1;8.0;11.0;4;20.0;
5;2;8.42899990082;10.9200000763;4;23.5703396797;1;8.0;10.0;4;20.0;
6;2;9.5100440979;11.2650718689;4;24.1471868753;1;9.0;10.0;4;20.0;
7;2;10.4331178665;11.543302536;4;24.6094940901;1;9.5;10.0;4;20.0;
8;2;10.5371360779;11.7641716003;4;25.2225904465;1;9.5;10.0;4;20.3999996185;
9;2;10.6750831604;12.0549411774;4;25.7104232311;1;9.59000015259;10.1999998093;3;20.7264003754;
10;2;10.7848453522;12.2827939987;4;26.0954813957;1;9.66343975067;10.3632001877;3;20.9903717041;
11;2;10.8714828491;12.4589796066;4;26.210757494;1;9.72283363342;10.4951858521;3;22.0419120789;
12;2;12.8714828491;12.5;4;26.2445284128;1;9.95943069458;11.0209560394;3;22.9143505096;
13;2;14.8714828491;12.5;4;26.2788209915;1;11.7228336334;11.4571752548;2;23.6214065552;
14;2;15.8942756653;12.5;4;26.3136199713;1;12.7228336334;11.8107032776;2;24.1832637787;
15;2;16.9021053314;12.5;4;26.348908782;1;13.7228336334;12.0916318893;3;24.6226100922;
16;2;17.9100456238;12.5;4;26.3846695423;2;14.7228336334;12.3113050461;3;24.9617595673;
17;2;18.9180908203;12.5;4;26.4208831787;2;15.7228336334;12.4808797836;4;25.0;
18;2;19.9262390137;12.5;5;26.4575294256;2;16.7228336334;12.5;5;25.0;
19;2;19.9529438019;12.5;6;26.4945867062;2;17.625;12.5;4;25.0;
20;2;19.9612827301;12.5;6;26.5320322514;2;17.625;12.5;3;25.0;
21;2;19.969707489;12.5;6;26.5698423386;2;17.625;12.5;4;25.0;
22;2;19.9782142639;12.5;6;26.6079919338;2;17.625;12.5;4;25.0;
23;2;19.9867973328;12.5;6;26.6464552879;2;17.625;12.5;5;25.0;
24;2;19.9954528809;12.5;6;26.6852053404;2;17.625;12.5;5;25.0;
25;3;19.625;13.0055618286;6;26.7242144346;2;17.625;12.5;5;25.0;
26;3;20.0129489899;12.5;6;26.7634538412;2;17.625;12.5;5;25.0;
27;3;20.0217781067;12.5;6;26.8028943539;2;17.625;12.5;5;25.0;
28;3;19.625;13.4014472961;6;26.8425058126;2;17.625;12.5;5;25.0;
29;3;19.625;13.4212532043;6;26.8822578192;2;17.625;12.5;6;25.0;
30;3;17.625;14.4411287308;6;26.9221191406;2;15.625;13.5;6;25.0;
31;4;16.625;15.4610595703;5;26.9620585442;2;14.625;14.5;6;25.0;
32;4;15.625;16.4810295105;5;27.0020442009;2;13.625;15.5;6;25.0;
33;4;14.625;17.5010223389;5;27.0420441628;2;12.625;16.5;6;25.0;
34;4;14.0;18.5210227966;5;27.0820264816;2;12.0;17.5;6;25.0;
35;4;14.0;19.5410137177;5;27.1219592094;2;12.0;18.5;6;25.0;
36;4;14.0;20.5609798431;5;27.1618103981;2;12.0;19.5;6;25.0;
37;4;14.0;21.5809059143;6;27.2015485764;2;12.0;20.5;6;25.0;
38;4;14.0;22.600774765;6;27.2411422729;2;12.0;21.5;7;25.0;
39;4;14.0;23.6205711365;6;27.2805607319;2;12.0;22.5;8;25.0;
40;4;14.0;24.6402797699;6;27.319773674;2;12.0;23.5;9;25.0;
41;4;14.0;25.6598873138;6;27.3587510586;2;12.0;24.5;9;25.0;
42;4;15.0;23.6793746948;5;27.3974640369;2;12.0;25.5;9;25.0;
43;4;14.0;24.6987323761;5;29.4358842373;2;12.0;26.5;10;25.0;
44;4;16.0;26.7179412842;5;29.5439841747;2;12.0;27.5;10;25.0;
45;4;19.0;24.7719917297;5;29.6539084911;2;12.0;28.5;10;25.0;
46;4;18.0;25.8269538879;5;29.7656505108;3;12.0;29.5;9;49.0;
47;4;18.0;26.8828239441;6;29.879199028;3;14.0;27.5;10;50.2000007629;
48;4;19.5818729401;27.8828239441;6;29.9945380688;3;14.0;28.5;10;51.1576004028;
49;5;21.247926712;30.8828239441;5;31.1116460562;3;15.0;29.5;11;51.9011039734;
50;5;23.8508605957;33.8828239441;6;31.3604958057;3;17.0;27.5;12;52.4657306671;
51;5;24.5706100464;36.8828277588;7;31.6264846325;3;17.0;28.5;12;52.88712883;
52;6;25.6141662598;38.6082687378;7;31.9110025167;3;18.0;29.5;14;53.0;
53;6;26.5895252228;37.5;8;32.2154581547;3;20.0;27.5;14;53.0;
54;6;25.9828948975;39.9131736755;9;32.5412442684;3;20.0;28.5;14;53.0;
55;6;26.6358966827;39.0241851807;10;32.8896970749;3;21.0;29.5;15;53.0;
56;6;27.1186103821;38.1257171631;11;33.2620464563;3;22.0;31.5;15;53.0;
57;7;26.5454883575;39.1366577148;9;53.6593551636;3;23.0;33.5;15;53.0;
58;6;25.5756072998;33.5;11;52.4384260178;4;24.0;35.5;13;55.5518820286;
59;7;26.2912197113;36.1387252808;10;53.5881422758;4;27.0;35.5;13;55.8440244198;
60;7;26.2981414795;37.1893997192;10;54.5397690535;5;30.0;36.5;12;68.9113030434;
61;7;26.4084091187;37.5;11;55.3227095604;6;29.5999984741;39.5;13;69.8914468288;
62;7;26.4319343567;39.0;14;55.9660230875;6;30.5999984741;42.5;13;70.8432531357;
63;7;26.8143291473;39.2032318115;15;56.4923847914;6;31.5999984741;45.5;15;71.7633023262;
64;7;26.8334312439;40.2144393921;15;56.9081816673;6;32.5999984741;47.5;16;72.6497502327;
65;7;26.8527908325;41.2256622314;16;58.0177079439;6;33.5999984741;49.5;17;73.5019536018;
66;7;27.8723773956;43.2369003296;18;58.1681207418;6;35.5999984741;47.5;17;74.320043087;
67;7;28.8921585083;45.2481498718;18;58.3204491138;6;35.5999984741;48.5;19;75.1045212746;
68;7;29.2538356781;46.5;19;58.4745337963;6;36.5999984741;49.5;20;75.8559279442;
69;7;29.1849784851;49.2706451416;19;58.6302084923;6;38.5999984741;47.5;21;76.5746107101;
70;7;29.5667972565;50.5;20;58.7873003483;6;38.5999984741;48.5;22;77.2476010323;
71;7;29.3294773102;52.1059188843;20;58.9456311464;6;39.5999984741;49.5;22;77.7351250648;
72;7;28.9627685547;53.5;21;59.1973950863;6;41.5999984741;47.5;24;78.215420723;
73;7;29.4008293152;54.1524085999;21;61.5411970615;6;41.5999984741;48.5;24;78.6839466095;
74;7;29.686466217;55.6895637512;21;63.4517940283;6;42.5999984741;49.5;24;79.1365451813;
75;7;29.9234085083;57.1183242798;21;64.99753654;6;44.5999984741;47.5;25;79.5695896149;
76;7;30.4651794434;57.3745193481;21;66.2495453358;6;44.5999984741;48.5;25;82.3933553696;
77;7;30.2819538116;58.6301727295;22;66.977206111;6;45.9780006409;49.5;26;84.6982307434;
78;7;30.7698707581;58.0;23;67.347530961;6;46.9612426758;50.5;26;86.56599617;
