Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;4;20.0;
3;1;8.0;10.0;4;21.0;1;8.0;12.0;4;20.0;
4;1;8.14999961853;10.5;4;21.8400001526;1;8.0;11.0;3;20.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;8.0;10.0;3;20.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;9.0;10.0;3;20.0;
7;1;10.194486618;11.543302536;3;23.5283432007;1;9.5;10.0;3;20.0;
8;1;10.2938766479;11.7641716003;3;24.1098823547;1;9.5;10.0;3;20.3999996185;
9;1;10.4247236252;12.0549411774;3;24.5655879974;1;9.59000015259;10.1999998093;3;20.7264003754;
10;1;10.5272569656;12.2827939987;3;24.9179592133;1;9.66343975067;10.3632001877;3;20.9903717041;
11;1;10.6065406799;12.4589796066;4;25.0;1;9.72283363342;10.4951858521;3;22.0419120789;
12;2;13.5272569656;12.6999998093;3;26.0;1;9.95943069458;11.0209560394;3;22.9143505096;
13;2;15.5272569656;12.5;3;26.0299999714;2;11.7228336334;11.7571754456;2;24.6214065552;
14;2;16.7590065002;12.5;3;26.0605909824;2;13.7228336334;11.8107032776;2;25.2032637596;
15;2;17.7658901215;12.5;3;26.091766119;2;15.7228336334;12.0916318893;3;25.6628060341;
16;2;18.527256012;12.5;3;26.1235172749;3;16.9568786621;12.3113050461;2;26.0223413706;
17;2;19.527256012;12.5;3;26.1558350325;3;17.9614639282;12.4808797836;2;26.0811508894;
18;2;19.625;12.5;2;26.1887089014;3;18.9660930634;12.5;3;26.1018965244;
19;2;19.625;12.5;2;26.2221269608;3;19.872926712;12.5;3;26.1228116751;
20;2;19.625;12.5;4;26.2560760975;3;19.8776321411;12.5;4;26.1438889503;
21;2;19.625;12.5;4;26.2905418873;3;19.8823757172;12.5;4;26.1651208401;
22;2;19.625;12.5;4;26.3255085945;3;19.8871517181;12.5;4;26.1864993572;
23;2;19.625;12.5;4;26.3609591722;3;19.8919620514;12.5;5;26.2080165148;
24;2;19.625;12.5;5;26.3968753815;3;19.8968029022;12.5;5;26.2296639681;
25;2;19.625;12.5;6;26.4332377911;3;19.9016742706;12.5;5;26.2514331341;
26;2;17.625;13.5;6;26.4700255394;3;19.9065723419;12.5;5;26.2733153105;
27;2;16.625;14.5;7;26.5072168112;3;19.9114952087;12.5;5;26.2953014374;
28;3;15.625;15.5;6;26.5447884798;3;19.9164428711;12.5;5;26.3173824549;
29;3;14.625;16.5;7;26.5827163458;3;19.625;13.0269527435;5;26.3395489454;
30;3;14.0;17.5;7;26.6209751368;3;17.926399231;13.5;6;26.3617914915;
31;3;14.0;18.5;7;26.6595385075;3;16.9314041138;14.5;6;26.3841004372;
32;3;14.0;19.5;7;26.6983793974;3;15.936422348;15.5;7;26.4064661264;
33;3;14.0;20.5;7;26.7374696732;3;14.9414548874;16.5;8;26.428878665;
34;3;14.0;21.5;7;26.7767804861;3;14.3214979172;17.5;8;26.4513280392;
35;3;14.0;22.5;7;27.8162822723;3;14.3265485764;18.5;8;26.4738043547;
36;3;15.0;23.5;7;27.8759447336;3;14.3316059113;19.5;8;26.4962974787;
37;3;16.0;24.5;7;27.9359332323;3;14.3366670609;20.5;8;26.5187973976;
38;3;17.0;23.0200977325;7;27.9962103367;3;14.3417291641;21.5;8;26.5412938595;
39;3;16.0;24.0302906036;7;28.056738019;3;14.3467912674;22.5;8;26.5637768507;
40;3;16.0;25.0405750275;9;28.1174776554;3;14.351849556;23.5;8;26.5862361193;
41;3;17.0;23.0509490967;9;28.1783903837;3;14.3569030762;24.5;10;26.6086617708;
42;3;16.0;24.0614051819;9;28.2394368649;3;14.361948967;25.5;10;26.6310436726;
43;3;16.0;25.0719451904;10;28.3005774021;3;14.366985321;26.5;10;26.6533719301;
44;3;17.0;23.0825595856;10;28.3617725372;3;14.3720092773;27.5;13;26.6756366491;
45;3;16.0;24.0932502747;10;28.4229825735;3;14.3770179749;28.5;13;26.6978281736;
46;3;16.0;25.1040077209;11;28.4841679335;3;14.3820114136;29.5;13;26.7199368477;
47;3;17.0;23.1148319244;15;28.545289278;3;15.0;28.5;15;26.7419531345;
48;3;16.0;24.1257171631;13;28.6063078642;3;14.3919391632;28.5;15;26.7638677359;
49;3;17.0;24.1257171631;13;28.6671850681;3;14.3968696594;29.5;15;26.7856714725;
50;3;18.0;25.1257171631;14;28.7278832197;3;15.0;28.5;17;26.8073554039;
51;3;19.0;26.1257171631;15;28.7883645296;3;14.4066553116;28.5;17;26.8289107084;
52;2;18.0;23.1257171631;14;26.3617914915;4;15.4115047455;27.5;12;29.2991445065;
53;2;19.0;22.5;14;26.3841004372;4;17.4163246155;28.5;13;29.358402729;
54;2;19.625;22.5;14;26.4064661264;4;19.4211101532;29.5;13;29.4171521664;
55;2;19.625;22.5;15;26.428878665;4;20.0;30.5;14;29.4753596783;
56;2;19.625;22.5;14;26.4513280392;4;21.4305782318;31.5;13;29.5329935551;
57;2;19.625;22.5;14;26.4738043547;4;21.625;32.5;13;29.5900236368;
58;2;19.625;22.5;15;26.4962974787;4;21.625;31.868555069;13;29.6464211941;
59;2;19.625;22.5;15;26.5187973976;4;22.0694885254;29.5;14;29.7021589279;
60;3;19.625;22.5;14;26.5412938595;4;22.0740432739;28.5;15;29.7414214611;
61;3;19.625;22.5;15;26.5637768507;4;22.0750007629;27.5;15;29.7759244442;
62;3;19.625;22.5;15;26.5862361193;4;22.0750007629;27.5;16;29.8099038601;
63;3;19.625;22.5;15;26.6086617708;4;22.0750007629;27.5;17;29.84334445;
64;3;19.625;22.5;15;26.6310436726;4;22.0750007629;27.5;17;29.8762321472;
65;3;19.625;22.5;16;26.6533719301;4;22.0750007629;27.5;18;29.9085543156;
66;3;19.625;22.5;16;26.6756366491;4;22.0750007629;27.5;18;29.940299511;
67;3;19.625;22.5;16;26.6978281736;4;22.0750007629;27.5;18;29.9714579582;
68;3;19.625;22.5;17;26.7199368477;4;22.0750007629;27.5;19;30.0;
69;2;17.625;17.5;18;25.0;5;22.0750007629;27.5;16;31.7199368477;
70;2;17.625;17.5;18;25.0;5;23.0750007629;28.5;16;31.7419531345;
71;2;17.625;17.5;17;25.0;5;24.0750007629;29.5;17;31.7638677359;
72;2;17.625;17.5;18;25.0;5;24.4718704224;30.5;17;31.7856714725;
73;2;17.625;17.5;18;25.0;5;24.476776123;31.5;18;31.8073554039;
74;2;17.625;17.5;18;25.0;5;24.4816551208;32.5;19;31.8289107084;
75;2;17.625;17.5;18;25.0;6;25.1615047455;32.5;18;31.8503289223;
76;2;17.625;17.5;18;25.0;6;24.4913253784;32.5;15;31.8716015816;
77;2;17.625;17.5;18;25.0;6;24.4961109161;32.5;16;31.8927206993;
78;2;17.625;17.5;18;25.0;6;25.5008621216;33.5;15;32.9136784077;
79;2;17.625;17.5;19;25.0;6;27.1805782318;34.5;16;32.9544670582;
