Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;2;8.0;11.1999998093;4;21.0;1;7.0;13.0;6;20.0;
3;2;10.0;10.0;4;22.1200000048;1;8.0;12.0;6;20.0;
4;2;11.1499996185;10.5;4;23.0930562019;1;8.0;11.0;6;20.0;
5;2;11.4639587402;10.9200000763;4;23.9303956032;1;8.0;10.0;6;20.0;
6;2;12.5910568237;11.2650718689;4;24.6492825747;2;9.0;10.3000001907;5;21.0;
7;2;13.5460891724;11.543302536;4;25.5162414312;2;9.72500038147;10.0;5;21.0599999428;
8;2;13.741153717;11.8796043396;4;26.263748765;2;9.73849964142;10.0;5;21.5335636139;
9;2;13.9093437195;12.1458015442;4;26.9159526825;2;9.84505176544;10.1999998093;5;21.9377998114;
10;2;15.9093437195;12.3533000946;4;27.4698493481;2;9.93600463867;10.3632001877;5;22.2840082645;
11;2;17.9093437195;12.5;5;27.7546267509;2;10.0139017105;10.4951858521;5;23.4481773376;
12;2;19.085401535;12.5;5;28.0643947124;2;10.2758407593;11.0209560394;5;24.4414664507;
13;2;20.1550998688;12.5;5;28.3995049;2;12.0664348602;11.4571752548;5;25.2779132128;
14;2;21.2304992676;12.5;4;28.7598693371;2;14.0664348602;11.8107032776;5;25.9779809713;
15;2;22.311580658;12.5;4;29.1448850632;2;16.0664348602;12.0916318893;5;26.5645889044;
16;2;22.4656105042;13.5;4;29.5533680916;2;17.159778595;12.3113050461;5;27.060223341;
17;2;22.625;13.8660106659;5;29.98350811;2;18.1949882507;12.4808797836;5;27.2642745972;
18;2;22.625;13.9950523376;5;30.4328455925;2;19.23229599;12.5;5;27.439432621;
19;2;22.625;14.1298532486;5;30.8982858658;2;20.173871994;12.5;5;27.6238675117;
20;3;22.625;14.2694854736;4;31.3761482239;2;20.2153701782;12.5;6;27.8174073696;
21;3;22.625;14.4128446579;4;31.8622565269;2;19.625;13.5;7;28.0197701454;
22;3;23.625;12.5;5;32.3520669937;2;20.3044490814;12.5;7;28.2305569649;
23;4;22.625;13.5;4;32.8408274651;2;20.3518753052;12.5;8;28.4492475986;
24;4;22.625;14.5;4;33.3237571716;2;19.625;13.5;8;28.6751992702;
25;4;22.625;15.5;4;33.7962341309;2;19.625;13.970079422;8;28.907648325;
26;4;22.625;16.5;4;34.2539691925;2;20.5042209625;12.5;8;29.1457161903;
27;4;22.625;17.1269836426;5;34.6931657791;2;19.625;13.5;9;29.3884181976;
28;4;23.625;15.1269845963;5;35.1106348038;2;20.6123943329;12.5;9;29.634677887;
29;4;22.625;16.1269836426;5;36.5038747787;2;18.6678028107;13.5;9;29.8833432198;
30;4;22.625;15.6269845963;5;36.9111032486;3;17.7237529755;14.5;8;42.8832073212;
31;4;23.625;15.646985054;6;37.2924332619;3;16.625;16.5;8;43.770529747;
32;4;23.1475315094;16.0405921936;6;37.6474564075;3;16.625;18.5;8;44.6030926704;
33;4;22.2178783417;17.0617771149;6;37.9763535261;3;17.0;20.5;8;45.3770141602;
34;4;21.9196796417;17.5;6;38.2797993422;3;18.0;22.5;8;46.0906252861;
35;4;21.7152900696;19.1059207916;6;38.5588638783;3;19.0;23.7839107513;8;46.7441577911;
36;4;22.0507450104;19.5;7;38.8149135113;3;20.0;24.95013237;8;47.3393511772;
37;5;22.1083564758;20.5;6;39.0495169163;3;21.0;26.1122360229;9;47.8790435791;
38;5;22.1611404419;21.5;7;39.264362216;4;22.0;27.2695617676;9;48.366789341;
39;5;20.8567085266;21.5;7;39.4528282881;4;23.0;28.4215373993;10;48.8065366745;
40;5;21.3268871307;22.5;7;39.5043625832;4;23.4551544189;29.5676689148;10;49.1893730164;
41;5;22.3384819031;23.5;7;39.5569496155;4;23.5375003815;30.7075614929;11;49.3798675537;
42;5;23.0;25.5;8;39.6105561256;4;23.5375003815;31.8409080505;12;49.5607056618;
43;5;24.3623752594;27.5;7;39.6651450396;4;23.5375003815;32.9674949646;12;49.7317051888;
44;5;24.9996566772;27.5;9;39.72067523;4;23.5375003815;34.0871925354;13;49.8927993774;
45;5;24.625;28.3603382111;10;39.7771017551;4;23.5375003815;35.1999588013;14;51.0440273285;
46;5;25.024848938;27.5;10;39.8343759775;4;25.5375003815;36.1999588013;14;51.2605211735;
47;5;24.625;28.4171886444;10;39.8924454451;5;27.5375003815;38.1999588013;13;71.472312212;
