Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;12.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;2;7.0;11.1999998093;4;21.0;1;11.8999996185;8.625;5;17.25;
3;2;8.14999961853;10.0;4;22.0399999619;1;11.8999996185;8.625;5;17.25;
4;2;8.30599975586;10.5;4;22.921184063;1;11.8999996185;8.625;5;17.25;
5;2;8.43817806244;10.9200000763;4;23.6536972523;1;12.8999996185;8.625;4;17.25;
6;2;9.52880001068;11.2650718689;4;24.2537125349;1;13.8999996185;8.625;4;17.25;
7;2;10.4570856094;11.543302536;4;24.7401846647;1;14.8999996185;8.625;4;17.5949993134;
8;2;10.5665407181;11.7641716003;4;25.379748702;1;15.5569992065;8.79749965668;4;17.8861961365;
9;2;10.7104434967;12.0549411774;4;25.8955206871;1;15.7317180634;8.94309806824;4;18.6667137146;
10;2;10.8264923096;12.2827939987;4;26.310000658;1;16.2000274658;9.3333568573;4;19.3355960846;
11;2;10.9197502136;12.4589796066;5;26.4561861753;1;17.2000274658;9.6677980423;4;19.8991127014;
12;2;13.8404664993;12.5;5;26.5223525763;1;18.2000274658;9.94955635071;4;20.3669185638;
13;2;15.8404664993;12.5;5;26.590518117;1;19.2000274658;10.1834592819;4;20.7504444122;
14;2;16.8851242065;12.5;5;26.6606516838;1;20.2000274658;10.3752222061;4;21.0616092682;
15;2;17.9009037018;12.5;5;26.7327131033;1;21.2000274658;10.5308046341;5;21.25;
16;2;18.9171161652;12.5;5;26.8066529036;1;22.2000274658;10.625;5;21.25;
17;2;19.9337539673;12.5;5;26.882412076;1;23.2000274658;10.625;5;21.25;
