Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;5;21.0;1;8.0;10.6999998093;5;21.0;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.14999961853;10.6999998093;3;22.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;8.29999923706;10.5;3;22.0900000334;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;9.39524936676;10.5;3;22.1871190071;
7;1;10.194486618;11.543302536;5;23.5283432007;2;9.99210166931;10.5;2;22.2917383909;
8;2;10.2938766479;11.9641714096;4;25.1098823547;2;10.0156412125;10.5;2;22.8371437788;
9;2;10.6497240067;12.0549411774;4;25.6955879927;2;10.1383571625;10.7100000381;2;23.3113827705;
10;2;10.7815065384;12.2827939987;4;26.1933902502;2;10.2450618744;10.8792181015;2;23.6996542215;
11;2;10.8935127258;12.4589796066;5;26.4377241135;2;10.3324222565;11.0;2;25.4997080564;
12;2;13.8142290115;12.5;5;26.6183350086;2;10.7374343872;11.7700004578;3;27.0797379017;
13;2;15.8142290115;12.5;5;26.8187118769;2;12.4572515488;12.4126424789;3;28.4485538006;
14;2;16.936466217;12.5;5;27.0402543545;2;14.4572515488;12.9308347702;3;29.6330289841;
15;2;17.9863147736;12.5;5;27.2842636108;2;16.4572525024;13.3366470337;3;30.669192791;
16;2;19.0412158966;12.5;5;27.5518820286;2;17.7094402313;13.6469516754;3;31.5947263241;
17;2;20.1014289856;12.5;5;27.8440244198;2;18.8129119873;13.879781723;3;32.3400559425;
18;2;20.2649059296;12.5;5;28.1613030434;2;19.9265136719;14.0;3;32.8895044327;
19;2;20.3362922668;12.5;5;28.5039470196;2;21.0501403809;14.0;3;33.4816474915;
20;2;20.4133872986;12.5;5;28.871723175;2;21.5333709717;14.0;3;34.1130428314;
21;2;20.496137619;12.5;4;29.263862133;2;21.6754341125;14.0;3;34.7785673141;
22;2;20.5843696594;12.5;4;29.6789975166;2;21.825176239;14.0;3;35.4714341164;
23;2;20.6777744293;12.5;4;30.1151270866;2;21.9810714722;14.0;4;36.1833543777;
24;2;20.7759037018;12.5;4;30.5695996284;2;22.141254425;14.0;4;36.9048519135;
25;2;20.8781604767;12.5;6;31.0391392708;2;22.3035907745;14.0;4;37.6257123947;
26;3;19.625;13.5;5;31.5199065208;2;22.4657840729;14.0;4;38.3355398178;
27;3;20.625;12.5;5;32.007601738;2;22.6254959106;14.0;5;39.0243473053;
28;3;21.2017097473;12.5;5;32.4976010323;2;22.7804775238;14.0;6;39.6831235886;
29;3;19.625;13.5;5;32.9851250648;2;22.9287014008;14.0;6;40.3043012619;
30;3;20.625;12.5;5;33.465420723;2;21.0684661865;15.0;6;40.8820743561;
31;3;19.625;13.5;7;33.9339466095;2;20.1984672546;16.0;6;41.4125490189;
32;3;20.625;12.5;7;34.3865451813;2;19.3178215027;17.0;6;41.8937177658;
33;3;21.625;12.5;8;34.8195896149;2;18.4260864258;18.0;6;42.3252954483;
34;3;21.8344078064;12.5;7;35.2300891876;2;17.523191452;19.0;6;42.7084550858;
35;3;21.9267692566;12.5;7;35.6157541275;2;17.3094024658;20.0;6;43.0455055237;
36;3;19.9267692566;13.5;7;35.9750175476;2;17.3852386475;21.0;7;43.3395690918;
37;3;20.9267692566;12.5;7;36.307009697;2;17.4514026642;22.0;9;43.5942716599;
38;3;19.625;13.5;9;36.6115064621;2;17.5087108612;23.0;9;43.8134851456;
39;3;19.625;14.5;9;36.8888463974;2;17.5580348969;24.0;9;44.0;
40;3;20.625;12.5;9;37.1398382187;2;17.6000003815;25.0;10;44.0;
41;3;19.625;13.5;10;37.3656587601;2;17.6000003815;26.0;10;44.0;
42;3;20.625;12.5;10;37.5677556992;3;17.6000003815;27.0;10;44.0;
43;3;21.625;12.5;11;37.747756958;3;18.6000003815;25.0;11;44.0;
44;3;22.4932441711;14.5;11;37.9073896408;3;17.6000003815;26.0;11;44.0;
45;3;22.5291633606;16.5;10;38.0;3;17.6000003815;27.0;11;44.0;
46;4;22.5499992371;18.5;8;53.0;3;18.6000003815;25.0;12;44.0;
47;4;23.5499992371;21.5;9;53.75;3;19.6000003815;25.0;13;44.0;
48;4;24.5499992371;24.5;9;54.4193744659;3;20.6000003815;25.0;12;44.0;
49;4;24.5499992371;25.5;9;55.0072898865;3;21.6000003815;25.0;11;44.0;
50;4;24.5499992371;26.5;11;55.5162696838;3;22.6000003815;25.0;11;44.0;
51;4;24.5499992371;27.5;10;55.9513263702;3;23.6000003815;25.0;12;44.0;
52;4;24.5499992371;27.5;11;56.3190898895;3;23.8999996185;24.0;12;44.0;
53;4;24.5499992371;28.5;12;56.6270179749;3;23.8999996185;24.0;14;44.0;
54;4;24.5499992371;29.5;12;56.8827629089;3;23.8999996185;24.0;15;44.0;
55;4;24.5499992371;30.5;13;57.0;3;23.8999996185;24.0;15;44.0;
56;4;24.5499992371;31.5;13;57.0;3;23.8999996185;24.0;14;44.0;
57;4;24.5499992371;32.5;14;57.0;3;23.8999996185;24.0;15;44.0;
58;4;24.5499992371;33.5;13;57.0;4;24.8999996185;25.0;13;45.0;
59;4;24.5499992371;34.5;13;57.0;4;25.8999996185;26.0;14;45.1599999666;
60;4;24.5499992371;35.5;14;57.0;5;25.8999996185;27.0;10;60.3437439203;
61;4;24.5499992371;36.5;14;57.0;5;24.8999996185;30.0;10;61.3041238785;
62;4;24.5499992371;37.0;14;57.0;5;24.8999996185;33.0;10;62.2135463953;
63;4;24.5499992371;37.0;15;57.0;5;24.8999996185;35.0;12;63.0742805004;
64;5;22.5499992371;37.0;14;57.0;5;24.8999996185;37.0;13;63.8919241428;
65;5;21.625;37.0;14;57.0;5;24.8999996185;39.0;14;64.6744048595;
66;6;21.625;37.0;13;57.0;5;25.6000003815;40.0;15;65.4309401512;
67;6;21.625;37.0;13;57.0;6;25.7217960358;41.0;15;66.1710467339;
68;6;21.625;37.0;13;57.0;6;25.7910804749;42.0;15;66.9036750793;
69;6;21.625;37.0;13;58.9600000381;6;25.8486213684;43.0;16;67.5427899361;
70;6;21.8500003815;37.7849998474;13;60.5650310516;7;25.875;44.0;14;84.1086950302;
71;6;22.0255012512;38.4127731323;13;61.8619127274;7;27.875;43.0;14;85.3561849594;
72;6;22.1592674255;38.9059257507;13;62.9002161026;7;29.875;43.0;13;88.7310156822;
73;6;22.2593841553;39.2880935669;12;64.5640974045;7;31.1112499237;43.0;14;92.686981678;
74;6;23.2999992371;40.5;12;64.8332238197;7;33.3116912842;44.0;14;95.321228981;
75;6;24.2999992371;41.5;13;66.077422142;7;35.479850769;45.0;16;97.4082589149;
76;6;25.2999992371;43.5;13;66.2389608622;7;36.6195983887;46.0;17;99.2292854786;
77;6;26.2999992371;45.5;14;66.3600268364;8;37.7343025208;47.0;15;100.681742549;
78;7;26.5479431152;47.5;10;66.4862384796;8;37.7875976562;48.0;16;101.869423747;
79;7;26.560087204;48.5;11;66.6176567078;8;35.5249977112;50.6059188843;15;102.821337938;
80;7;26.572687149;49.5;10;66.754324913;9;35.8079910278;54.0;14;104.677050352;
81;7;26.5857429504;49.5;10;66.8962665796;9;35.5250015259;58.6524085999;14;105.657823443;
82;7;26.5992584229;49.5;11;67.0434840918;9;35.0949325562;60.0;15;106.606057048;
83;7;26.6132335663;49.5;10;67.195956707;9;34.8405342102;63.0;15;108.521510363;
84;7;26.6276683807;49.5;11;67.3536384106;9;35.8518867493;68.0;16;109.557404518;
85;8;26.6425552368;49.5;10;67.5164574385;9;37.8134841919;72.0;15;110.590632677;
86;8;26.6578941345;49.5;11;67.6843140125;10;37.8253135681;76.0;12;111.631769061;
87;7;26.6736755371;49.5;11;67.8570792675;11;37.8373756409;80.0;10;112.692726731;
88;7;26.6898899078;49.5;13;68.0345950127;11;37.8496551514;84.0;14;113.785795569;
89;7;26.70652771;49.5;13;68.2166726589;11;38.8621520996;86.0;15;114.922676563;
90;7;26.7235736847;49.5;12;68.4030929804;12;39.8748474121;89.0;14;116.100425601;
91;7;26.7410125732;49.5;12;69.593606472;12;40.8877334595;92.0;13;117.175362229;
