Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;5;21.0;1;8.0;10.6999998093;5;21.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;8.14999961853;10.5;5;21.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;8.14999961853;10.5;5;21.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;9.14999961853;10.5;5;21.0;
7;1;10.194486618;11.543302536;4;23.5283432007;1;9.72500038147;10.5;5;21.0;
8;1;10.2938766479;11.7641716003;4;24.1098823547;1;9.72500038147;10.5;5;21.4200000763;
9;1;10.4247236252;12.0549411774;4;24.5655879974;2;9.81949996948;10.9099998474;4;22.758436203;
10;1;10.5272569656;12.2827939987;4;24.9179592133;2;10.1206493378;10.8792181015;4;23.1000000238;
11;1;10.6065406799;12.4589796066;5;25.0;2;10.1975002289;11.0;4;24.8149009943;
12;1;12.5272569656;12.5;5;25.0;2;10.5833530426;11.7700004578;5;26.3006643057;
13;1;13.5272569656;12.5;5;25.0;2;12.2819604874;12.4126424789;5;27.5660959482;
14;1;14.5272569656;12.5;5;25.0;2;14.2819604874;12.9308347702;5;28.6384222507;
15;1;15.5272569656;12.5;5;25.0;2;16.2819595337;13.3366470337;5;29.5544860363;
16;1;16.527256012;12.5;5;25.0;2;17.4586315155;13.6469516754;5;30.3533427715;
17;1;17.527256012;12.5;6;25.0;2;18.5335998535;13.879781723;5;30.9674448967;
18;1;17.625;12.5;6;25.0;2;19.6176757812;14.0;5;31.3838531971;
19;1;17.625;12.5;6;25.0;2;20.7113685608;14.0;5;31.8446035385;
20;1;17.625;12.5;6;25.0;2;21.1650352478;14.0;5;32.350376606;
21;1;17.625;12.5;7;25.0;2;21.2788333893;14.0;4;32.9006829262;
22;1;17.625;12.5;7;25.0;2;21.4026527405;14.0;4;33.4936323166;
23;1;17.625;12.5;7;25.0;2;21.5360660553;14.0;5;34.1257500648;
24;1;17.625;12.5;7;25.0;2;21.6782932281;14.0;5;34.7918796539;
25;1;17.625;12.5;8;25.0;2;21.8281726837;14.0;5;35.4852027893;
26;1;17.625;12.5;8;25.0;2;21.9841690063;14.0;5;36.1974048615;
27;1;17.625;12.5;8;25.0;2;22.1444149017;14.0;5;36.9189891815;
28;1;17.625;12.5;8;25.0;2;22.3067722321;14.0;5;37.6397333145;
29;1;17.625;12.5;8;25.0;2;22.4689388275;14.0;4;38.3492431641;
30;1;17.625;12.5;8;25.0;3;23.628578186;14.5;4;40.0375461578;
31;1;17.625;12.5;8;25.0;3;24.7834472656;14.5;4;40.8556548357;
32;1;17.625;12.5;8;25.0;3;24.9315223694;14.5799999237;4;41.65977633;
33;1;17.625;12.5;8;25.0;4;25.3734474182;14.0;2;42.4470348358;
34;1;17.625;12.5;8;25.0;4;25.2009048462;14.0;2;43.2166057825;
35;1;17.625;12.5;8;25.0;4;25.7237358093;14.0;2;43.9696204662;
36;1;17.625;12.5;9;25.0;4;25.893163681;14.0;2;44.7089006901;
37;1;17.625;12.5;9;25.0;4;26.0595016479;14.0;2;45.4385573864;
38;1;17.625;12.5;9;25.0;4;26.2236747742;14.0;2;46.1635069847;
39;1;17.625;12.5;9;25.0;4;26.3867893219;14.0;2;46.8889431953;
40;1;17.625;12.5;9;25.0;4;26.5500125885;14.0;2;47.6197977066;
41;1;17.625;12.5;9;25.0;4;26.7144546509;14.0;2;48.3602337837;
42;1;17.625;12.5;10;25.0;4;26.8810501099;17.0;2;49.1086950302;
43;1;17.625;12.5;11;25.0;4;27.0494556427;20.0;3;49.7161855698;
44;1;17.625;12.5;11;25.0;4;27.1861419678;23.0;4;50.3611893654;
45;1;17.625;12.5;12;25.0;4;27.3312664032;26.0;4;51.0379443169;
46;1;17.625;12.5;12;25.0;4;25.8999996185;29.0;4;51.7390680313;
47;1;17.625;12.5;13;25.0;4;26.8999996185;29.0;4;52.4557781219;
48;1;17.625;13.5;13;25.0;4;27.8025493622;29.0;4;53.1782588959;
49;1;17.625;14.5;13;25.0;4;27.9651088715;29.0;3;53.8961582184;
50;1;17.625;15.5;13;25.0;4;28.1266345978;29.0;4;54.5991659164;
51;1;17.625;16.5;12;25.0;4;28.2848110199;29.0;5;55.2776012421;
52;1;17.625;17.5;12;25.0;4;28.4374599457;29.0;6;55.9229507446;
53;1;17.625;17.5;13;25.0;4;28.5826625824;29.0;6;56.5282850266;
54;1;17.625;17.5;13;25.0;4;26.5826625824;30.0;8;57.088514328;
55;1;17.625;17.5;12;25.0;4;27.5826625824;29.0;8;57.6004695892;
56;1;17.625;17.5;13;25.0;4;28.5826625824;29.0;9;58.0628213882;
57;1;17.625;17.5;13;25.0;4;29.0641345978;29.0;10;58.4758720398;
58;1;17.625;17.5;13;25.0;4;29.1570701599;29.0;11;58.8412618637;
59;1;17.625;17.5;13;25.0;4;29.239282608;29.0;11;59.1616458893;
60;1;17.625;17.5;12;25.0;4;29.3113689423;29.0;12;59.4403705597;
61;1;17.625;17.5;12;25.0;5;29.3740825653;29.0;9;59.6811828613;
62;1;17.625;17.5;12;25.0;5;29.4282665253;29.0;12;59.8879890442;
63;1;17.625;17.5;12;25.0;5;29.4747982025;29.0;12;61.2224254608;
64;1;17.625;17.5;12;25.0;5;27.6637973785;30.4200000763;12;62.7541904449;
65;1;17.625;17.5;13;25.0;5;28.9119606018;29.7314720154;11;63.9903049469;
66;1;17.625;17.5;13;25.0;6;30.10729599;29.9579029083;12;64.742893219;
67;1;17.625;17.5;13;25.0;6;28.4871406555;31.0;12;66.3084087372;
68;1;17.625;17.5;14;25.0;6;30.5464916229;31.0;12;66.8433804512;
69;1;17.625;17.5;14;25.0;6;32.5961990356;32.0;12;67.1229639053;
70;1;17.625;17.5;14;25.0;6;33.1026649475;33.0;13;67.1889609098;
71;1;17.625;17.5;16;25.0;6;32.8499984741;34.0;11;67.2580518723;
72;1;17.625;17.5;16;25.0;6;31.1330604553;36.0;11;67.3302885294;
73;1;17.625;17.5;16;25.0;6;29.8499984741;37.665145874;11;67.4057120085;
74;1;17.625;17.5;15;25.0;6;28.8499984741;38.7028579712;13;67.484351635;
75;1;17.625;17.5;16;25.0;7;28.1839771271;37.0;6;79.0662232637;
76;2;18.625;18.5;15;26.0;7;29.2023983002;38.0;6;79.7838280201;
77;2;19.625;19.5;15;26.0199999809;7;30.2215480804;40.0;6;80.4627016783;
78;2;19.625;20.5;16;26.0401959419;7;31.1914215088;42.0;6;82.0983723402;
79;2;19.8590431213;21.5;15;26.0605818033;7;32.2120094299;45.0;7;82.7282595634;
80;2;19.8636302948;22.5;15;26.0811508894;7;33.2333068848;48.0;7;83.3127300739;
81;2;19.625;23.0405750275;16;27.1018965244;7;33.4985618591;51.0;7;83.8524856567;
82;2;20.0979270935;23.0;16;27.9028123617;7;31.530752182;55.0;12;84.3494390249;
83;3;20.2781333923;23.3899993896;14;28.5184063911;7;30.5638561249;59.0;11;84.806379199;
84;4;20.4166431427;23.6872596741;11;43.9846055508;7;29.5978412628;62.0;11;85.22666049;
85;4;21.2593841553;25.4923019409;11;45.2364985943;7;29.5826740265;65.0;12;85.6139261723;
86;4;22.2999992371;26.5932502747;11;46.21299088;7;29.6183128357;68.0;13;85.9718842506;
87;4;23.2999992371;27.6040077209;11;47.0840417147;7;29.654712677;71.0;15;86.1858669519;
88;4;24.2999992371;28.6148319244;12;47.8459861279;7;30.6918201447;71.0;16;86.3536852598;
89;4;25.2999992371;29.6257171631;12;48.5010966063;7;29.7295799255;74.0;15;86.5241298676;
90;4;26.2999992371;29.6366577148;12;49.0561180115;7;29.7679290771;77.0;16;86.6969106197;
91;4;25.2999992371;30.6476516724;13;49.5206791162;7;28.806804657;78.0;17;86.8717207909;
92;5;25.2999992371;31.6586914062;12;49.9058388472;7;28.8461380005;80.0;18;87.0482393503;
93;5;24.4698867798;32.6697731018;12;50.2229422331;7;29.8858528137;83.0;20;87.2261328697;
94;5;23.5583438873;33.680896759;12;50.3841004372;7;28.9258804321;84.0;22;87.4050590992;
