Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;2;6.0;12.8999996185;3;22.0;
2;1;7.0;11.0;5;20.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;1;8.0;10.0;5;21.0;2;8.16349983215;10.6999998093;3;22.1871190071;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.32806777954;10.5;1;22.2917383909;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;8.34376049042;10.5;1;22.4042263031;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;9.46595096588;10.5;1;22.5249304771;
7;1;10.194486618;11.543302536;5;23.5283432007;2;10.0681095123;10.5;1;22.6541694403;
8;1;10.2938766479;11.7641716003;5;24.1098823547;2;10.0971889496;10.5;1;23.2287653685;
9;2;10.4247236252;12.2549409866;4;25.5655879974;2;10.2264719009;10.7100000381;1;23.7334493399;
10;2;10.7522573471;12.2827939987;4;25.9479591846;2;10.3400268555;10.8792181015;1;24.1532578468;
11;2;10.8382902145;12.4589796066;5;26.0605909824;2;10.4344825745;11.0;1;26.0129473209;
12;2;13.7590065002;12.5;5;26.091766119;2;10.8529129028;11.7700004578;2;27.6574776173;
13;2;15.7590065002;12.5;5;26.1235172749;2;12.5872430801;12.4126424789;3;29.0951218605;
14;2;16.7800483704;12.5;5;26.1558350325;2;14.5872430801;12.9308347702;3;30.3518810272;
15;2;17.7873191833;12.5;5;26.1887089014;2;16.5872421265;13.3366470337;3;31.4625301361;
16;2;18.7947158813;12.5;5;26.2221269608;2;17.8879413605;13.6469516754;3;32.4630823135;
17;2;19.8022346497;12.5;5;26.2560760975;2;19.0082912445;13.879781723;3;33.2818861008;
18;2;19.907617569;12.5;5;26.2905418873;2;20.138425827;14.0;3;33.9008235931;
19;2;19.9153709412;12.5;5;26.3255085945;2;21.2776870728;14.0;3;34.5557665825;
20;2;19.9232387543;12.5;7;26.3609591722;2;21.7750473022;14.0;3;35.2404661179;
