Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;5;20.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;10.0;5;21.0;1;11.3999996185;16.0;6;31.7439994812;
4;1;8.14999961853;10.5;5;21.8400001526;1;11.3487997055;15.8719997406;6;31.5135993958;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;12.3487997055;15.7567996979;6;31.3062400818;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;13.3487997055;15.6531200409;6;31.1196155548;
7;1;10.194486618;11.543302536;4;23.5283432007;1;14.3358850479;15.5598077774;6;31.0436534882;
8;1;10.2938766479;11.7641716003;4;24.1098823547;1;14.3130960464;15.5218267441;6;30.9752883911;
9;1;10.4247236252;12.0549411774;4;24.5655879974;1;14.2925863266;15.4876441956;6;32.2343444824;
10;1;10.5272569656;12.2827939987;4;24.9179592133;1;16.3130950928;16.1171722412;6;33.1387290955;
11;2;10.6065406799;12.6589794159;4;26.0;2;18.3130950928;16.5693645477;5;34.768787384;
12;2;13.5272569656;12.5;4;26.0900000334;2;20.3130950928;16.884393692;5;35.0952008963;
13;2;15.5272569656;12.5;4;26.1871190071;2;21.629655838;17.0200004578;6;35.1528654099;
14;2;16.7943592072;12.5;4;26.2917383909;2;22.6469535828;17.0200004578;6;35.2087661028;
15;2;17.8178977966;12.5;4;26.4042263031;2;23.6637248993;17.0200004578;6;35.2668213844;
16;2;18.8432064056;12.5;4;26.5249304771;2;24.5800457001;17.0200004578;6;35.3232793808;
17;2;19.8703651428;12.5;4;26.6541694403;2;24.5969829559;17.0200004578;7;35.3816111088;
18;2;19.9971885681;12.5;5;26.7922235727;3;24.6144828796;17.0200004578;6;35.4418116808;
19;2;20.0282497406;12.5;5;26.9393253326;3;24.6325435638;17.0200004578;6;35.5038696527;
20;2;20.0613479614;12.5;5;27.0956480503;3;24.6511611938;17.0200004578;6;35.5677665472;
21;2;20.0965213776;12.5;6;27.261295557;3;24.2119998932;17.4783306122;7;35.6334762573;
22;2;19.625;13.1783885956;6;27.4362905025;3;24.6900424957;17.0200004578;7;35.7009651661;
23;2;19.625;13.230887413;6;27.6205644608;3;24.7102890015;17.0200004578;7;35.770191431;
24;2;20.2146263123;12.5;6;27.8139474392;3;24.7310562134;17.0200004578;7;35.8411052227;
