Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;5;20.0;2;11.5999994278;16.0;5;33.0;
3;1;8.0;10.0;5;21.0;2;11.5999994278;16.0;5;33.0399999619;
4;1;8.14999961853;10.5;5;21.8400001526;2;11.6079998016;16.0;5;33.0811839104;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;12.724354744;16.0;5;33.1235535145;
6;1;9.27600002289;11.2650718689;3;23.086605072;2;13.7370653152;16.0;5;32.9075115919;
7;1;10.194486618;11.543302536;3;23.5283432007;2;14.7490530014;15.8719997406;5;32.8100272417;
8;1;10.2938766479;11.7641716003;3;24.1098823547;2;14.8430080414;15.8028001785;5;32.7273285389;
9;1;10.4247236252;12.0549411774;3;24.5655879974;2;14.818198204;15.7405204773;5;33.9363852739;
10;1;10.5272569656;12.2827939987;3;24.9179592133;2;16.8821640015;16.3007202148;5;34.8251717091;
11;1;10.6065406799;12.4589796066;4;25.0;2;18.8821640015;16.698223114;5;35.4730898142;
12;1;12.5272569656;12.5;4;25.0;2;20.8821640015;16.9726676941;5;35.6721352339;
13;1;13.5272569656;12.5;4;25.0;2;21.971321106;17.0200004578;6;35.7819430828;
14;1;14.5272569656;12.5;4;25.0;2;23.0042629242;17.0200004578;6;35.8972258568;
15;1;15.5272569656;12.5;4;25.0;2;24.0388469696;17.0200004578;6;36.0179970264;
16;1;16.527256012;12.5;4;25.0;2;24.805398941;17.0200004578;6;36.1442327499;
17;1;17.527256012;12.5;4;25.0;2;24.2119998932;17.6512699127;7;36.2758686543;
18;1;17.625;12.5;4;25.0;2;24.8827610016;17.0200004578;7;36.4127962589;
19;1;17.625;12.5;4;25.0;2;24.9238395691;17.0200004578;7;36.5548603535;
20;1;17.625;12.5;4;25.0;3;24.9664573669;17.0200004578;6;36.7018573284;
21;1;17.625;12.5;4;25.0;3;24.2119998932;17.8185577393;7;36.8535337448;
22;1;17.625;12.5;4;25.0;4;25.056060791;17.0200004578;5;37.0095853806;
23;1;17.625;12.5;4;25.0;4;25.1028747559;17.0200004578;5;37.1696584225;
24;1;17.625;12.5;5;25.0;4;24.2119998932;18.0200004578;6;37.3333501816;
25;1;17.625;12.5;6;25.0;4;24.2119998932;18.6666755676;6;37.5002126694;
26;1;17.625;12.5;6;25.0;4;25.2119998932;17.0200004578;6;37.6697556973;
27;1;17.625;12.5;6;25.0;4;24.2119998932;18.0200004578;5;37.8414521217;
28;2;17.625;12.5;5;25.0;4;24.2119998932;18.9207267761;5;38.0147430897;
29;2;17.625;12.5;6;25.0;4;25.2119998932;17.0200004578;5;38.1890459061;
30;2;17.625;12.5;6;25.0;4;25.4567127228;17.0200004578;5;38.3637604713;
31;2;17.625;12.5;6;25.0;4;24.2119998932;18.0200004578;6;38.538277626;
32;2;17.625;12.5;7;25.0;4;25.2119998932;17.0200004578;4;38.7119884491;
33;2;17.625;12.5;8;25.0;4;25.6135959625;17.0200004578;4;38.8842921257;
34;2;15.625;13.5;8;25.0;4;25.6652870178;17.0200004578;4;39.0546030998;
35;2;14.625;14.5;8;25.0;4;25.716381073;17.0200004578;5;39.2223615646;
36;3;13.625;15.5;4;45.0;4;25.766708374;19.0200004578;5;39.3870382309;
37;3;15.625;14.5;4;46.2000007629;4;25.816110611;21.0200004578;6;39.5481424332;
38;3;17.625;14.5;5;47.2175998688;4;25.8644428253;23.0200004578;7;39.7052268982;
39;3;18.625;15.5;5;48.0579586029;4;25.911567688;25.0200004578;7;39.8578920364;
40;3;19.625;16.5;5;48.736333847;4;25.9573669434;27.0200004578;7;40.0057892799;
41;3;19.625;17.5;5;49.273645401;4;26.0017356873;27.0200004578;8;40.1486229897;
42;3;19.625;18.5;5;49.6926937103;4;26.0445861816;27.0200004578;8;40.2861509323;
43;3;19.625;19.5;5;50.0;4;26.0858459473;27.0200004578;9;40.4181852341;
44;3;19.625;20.5;5;50.0;4;26.1254558563;27.0200004578;9;40.5445890427;
45;3;19.625;21.5;6;50.0;4;24.2119998932;28.0200004578;10;40.6652760506;
46;4;19.625;22.5;3;65.0;4;25.2119998932;27.0200004578;9;40.7802062035;
47;4;21.625;22.5;3;65.75;4;24.2119998932;28.0200004578;8;40.8893837929;
48;4;23.625;23.5;5;66.4193744659;4;25.2119998932;27.0200004578;8;40.9928517342;
49;4;25.625;24.5;3;67.0072898865;4;26.2119998932;27.0200004578;10;41.0906887054;
50;4;27.625;25.5;3;67.5162696838;4;24.2119998932;28.0200004578;10;41.1830043793;
51;4;29.625;27.5;4;67.9513263702;4;24.2119998932;29.0200004578;11;41.2699346542;
52;4;31.25;27.5;4;68.3190898895;4;24.2119998932;30.0200004578;12;41.3516378403;
53;4;31.3717956543;27.5;5;68.6270179749;4;24.2119998932;30.675819397;12;41.400001049;
54;4;31.441078186;27.5;6;68.8827629089;4;25.2119998932;28.675819397;13;41.400001049;
55;4;31.4986209869;27.5;7;69.0;4;26.2119998932;27.675819397;13;41.400001049;
56;4;31.5249996185;27.5;8;69.0;4;26.4200000763;27.0200004578;13;41.400001049;
57;4;31.5249996185;27.5;8;69.0;4;26.4200000763;27.0200004578;14;41.400001049;
58;4;31.5249996185;27.5;8;69.0;4;26.4200000763;27.0200004578;14;41.400001049;
59;5;31.5249996185;27.5;6;97.75;4;26.4200000763;27.0200004578;14;41.400001049;
60;5;32.5250015259;29.5;7;99.7625007629;4;26.4200000763;27.0200004578;14;41.400001049;
61;5;34.5250015259;31.5;7;101.296779633;4;26.4200000763;27.0200004578;15;43.0243525505;
62;5;33.5250015259;34.5;7;102.412059784;4;26.9073047638;27.6599521637;18;44.2343521118;
63;5;33.3250007629;37.5;8;103.193214417;4;27.2703056335;28.0979366302;17;45.1366405487;
64;5;32.7000007629;40.5;9;103.725528717;5;24.3411979675;29.388250351;16;59.9677801132;
65;5;32.7000007629;42.5;10;103.75;6;24.936000824;31.3999996185;15;60.9125766754;
66;5;32.7000007629;44.5;11;103.75;6;24.936000824;31.3999996185;15;61.7715330124;
67;5;32.7000007629;46.5;12;103.75;6;25.936000824;33.4000015259;15;62.5441951752;
68;5;33.0750007629;48.5;13;103.75;6;23.936000824;35.7750854492;15;63.2328271866;
69;5;34.0750007629;50.5;14;108.491874695;6;23.936000824;37.7303848267;16;63.8417463303;
70;5;35.3172492981;52.5;12;112.033149719;6;23.936000824;39.6919212341;16;64.3766527176;
71;5;36.5193595886;54.5;12;114.602478027;6;23.936000824;41.6591377258;17;64.8440322876;
72;5;37.6858673096;56.5;14;116.395669937;6;23.2416992188;43.6314353943;18;65.250670433;
73;5;38.821598053;58.5;15;116.5;7;22.3114356995;45.6081886292;19;65.4913291931;
74;5;39.9249992371;60.5;14;116.412500381;7;21.3999996185;47.6000022888;19;65.6355199814;
75;5;40.9249992371;62.5;15;116.847673416;7;21.3999996185;49.6000022888;19;65.7660312653;
76;5;41.9249992371;64.5;16;117.0;7;21.3999996185;51.6000022888;20;65.8399991989;
77;5;42.9249992371;66.0;16;117.0;7;21.3999996185;53.6000022888;19;65.8399991989;
78;5;43.9249992371;67.0;16;117.0;7;21.3999996185;55.6000022888;19;65.8399991989;
79;5;44.9249992371;67.5999984741;18;117.0;7;21.3999996185;57.6000022888;20;65.8399991989;
80;5;45.9249992371;67.5999984741;19;117.0;7;21.3999996185;59.6000022888;22;65.8399991989;
81;5;46.9249992371;67.5999984741;19;117.0;7;21.3999996185;61.6000022888;22;65.8399991989;
82;5;46.9249992371;69.5999984741;20;117.0;7;21.3999996185;63.6000022888;22;65.8399991989;
83;5;46.9249992371;70.5999984741;21;117.0;7;21.3999996185;64.6783981323;23;65.8399991989;
84;5;46.9249992371;71.5999984741;21;117.0;7;21.3999996185;65.6783981323;23;65.8399991989;
85;5;46.9249992371;72.5999984741;20;117.0;7;21.3999996185;66.6783981323;23;65.8399991989;
86;5;46.9249992371;73.5999984741;21;117.0;7;21.3999996185;67.6783981323;23;65.8399991989;
87;5;46.9249992371;74.5999984741;21;117.0;7;21.3999996185;68.6783981323;23;65.8399991989;
88;5;46.9249992371;75.5999984741;22;117.0;7;21.3999996185;69.6783981323;22;65.8399991989;
89;5;46.9249992371;76.5999984741;21;117.0;7;21.3999996185;70.6783981323;20;65.8399991989;
90;5;46.9249992371;77.5999984741;25;117.0;7;21.3999996185;71.6783981323;20;65.8399991989;
91;5;46.9249992371;77.5999984741;25;117.0;7;21.3999996185;72.6783981323;21;65.8399991989;
92;5;46.9249992371;77.5999984741;27;117.0;7;22.3999996185;70.6783981323;22;65.8399991989;
93;5;46.9249992371;77.5999984741;27;117.0;7;21.3999996185;71.6783981323;23;65.8399991989;
94;5;46.9249992371;77.5999984741;28;117.0;7;21.3999996185;72.6783981323;24;65.8399991989;
95;5;46.9249992371;77.5999984741;28;117.0;7;22.3999996185;70.6783981323;24;65.8399991989;
96;5;46.9249992371;77.5999984741;30;116.0;7;21.3999996185;71.6783981323;23;65.8399991989;
97;6;46.4249992371;81.5999984741;29;116.779998779;7;21.3999996185;72.6783981323;24;65.8399991989;
98;6;46.8149986267;83.5999984741;30;117.0;7;22.3999996185;70.6783981323;24;65.8399991989;
99;6;46.9249992371;85.5999984741;31;117.0;7;21.3999996185;71.6783981323;24;65.8399991989;
100;6;46.9249992371;87.5999984741;31;117.0;7;21.3999996185;72.6783981323;24;65.8399991989;
101;6;46.9249992371;89.1999969482;32;117.0;7;22.3999996185;70.6783981323;25;65.8399991989;
102;6;46.9249992371;90.1999969482;32;117.0;7;21.3999996185;71.6783981323;24;65.8399991989;
103;6;46.9249992371;91.1999969482;33;118.0;7;21.3999996185;74.6656036377;24;65.8399991989;
104;6;47.9249992371;92.5999984741;31;118.090000033;7;21.3999996185;75.6656036377;25;65.8399991989;
105;6;48.9249992371;93.5999984741;32;118.187119007;7;21.3999996185;76.6656036377;26;65.8399991989;
106;6;48.9249992371;94.5999984741;31;118.291738391;7;21.3999996185;77.6656036377;26;65.8399991989;
107;6;48.9249992371;95.5999984741;32;118.404226303;7;21.3999996185;78.6656036377;26;65.8399991989;
108;7;48.9249992371;96.5999984741;32;118.524930477;7;21.3999996185;79.6656036377;25;65.8399991989;
109;7;48.9249992371;97.5999984741;31;118.65416944;7;21.3999996185;78.6784057617;26;65.8399991989;
110;7;48.9249992371;98.5999984741;31;118.792223573;7;21.3999996185;79.6783981323;26;65.8399991989;
111;8;48.9249992371;99.5999984741;31;118.939325333;7;22.3999996185;79.6656036377;26;65.8399991989;
112;8;48.9249992371;98.5999984741;32;119.09564805;7;21.3999996185;80.6656036377;27;65.8399991989;
113;8;48.9249992371;98.5999984741;33;119.261295557;7;21.3999996185;81.6656036377;28;65.8399991989;
114;8;48.9249992371;102.599998474;35;120.436290503;7;22.3999996185;79.6656036377;30;65.8399991989;
115;8;49.9249992371;104.599998474;37;120.680564404;7;21.3999996185;80.6656036377;30;65.8399991989;
116;8;50.9249992371;105.958511353;37;119.936911345;7;21.3999996185;81.6656036377;30;65.8399991989;
117;8;50.9249992371;106.132553101;34;119.745121121;7;22.3999996185;79.6656036377;31;65.8399991989;
118;8;50.9249992371;104.562545776;35;120.677739382;7;21.3999996185;80.6656036377;32;65.8399991989;
119;8;50.9249992371;108.535583496;27;121.459941268;7;21.3999996185;81.6656036377;31;65.8399991989;
120;8;50.9249992371;110.321975708;26;122.076903939;7;22.3999996185;79.6656036377;30;65.8399991989;
121;9;50.9249992371;111.904067993;26;122.387886286;7;21.3999996185;80.6656036377;29;65.8399991989;
122;9;50.9249992371;113.113182068;26;122.707735658;7;21.3999996185;81.6656036377;27;66.7629432678;
123;9;50.9249992371;112.327362061;26;122.035470724;7;22.3999996185;80.2562866211;26;67.652633667;
