Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;5;20.0;1;11.3999996185;16.0;6;31.7439994812;
3;1;8.0;10.0;5;21.0;1;11.3487997055;15.8719997406;6;31.5135993958;
4;1;8.14999961853;10.5;5;21.8400001526;1;11.3027200699;15.7567996979;6;30.9375991821;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;12.3027200699;15.4687995911;6;30.4191989899;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;13.3027200699;15.2095994949;6;29.9526386261;
7;1;10.194486618;11.543302536;5;23.5283432007;1;13.9857912064;14.976319313;6;29.6132144928;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;13.8839645386;14.8066072464;6;29.3077335358;
9;1;10.4247236252;12.0549411774;5;24.5655879974;1;13.7923202515;14.6538667679;6;29.7385177612;
10;1;10.5272569656;12.2827939987;5;24.9179592133;2;16.1839637756;14.8692588806;5;30.7775993347;
11;1;10.6065406799;12.4589796066;6;25.0;2;18.1839637756;14.8887996674;5;30.8097913265;
12;1;12.5272569656;12.5;5;25.0;2;20.1839637756;14.8887996674;5;30.8426873684;
13;1;13.5272569656;12.5;5;25.0;2;20.8839645386;15.3148345947;5;30.8762813807;
14;1;14.5272569656;12.5;5;25.0;2;21.8839645386;15.3282728195;6;30.9105659723;
15;1;15.5272569656;12.5;5;25.0;2;22.8839645386;15.3419866562;6;30.9455319643;
16;1;16.527256012;12.5;5;25.0;2;22.9332809448;15.35597229;6;30.9811687469;
17;1;17.527256012;12.5;6;25.0;2;22.9332809448;15.4905843735;6;31.0174639225;
18;1;17.625;12.5;6;25.0;2;22.9332809448;15.508731842;7;31.0544036627;
19;1;17.625;12.5;6;25.0;4;22.9332809448;15.5272016525;5;31.0919723511;
