Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;13.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;13.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;14.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;15.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;16.0;10.0;5;20.3999996185;1;9.0;10.0;5;20.0;
7;1;17.0;10.1999998093;5;20.7264003754;1;9.5;10.0;5;20.0;
8;1;17.4358406067;10.3632001877;5;21.8194274902;1;9.5;10.0;5;20.3999996185;
9;2;18.6916561127;10.9097137451;4;23.7316036224;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;20.6916561127;11.3658018112;4;24.6945617199;2;9.66343975067;10.5631999969;3;21.9903717041;
11;2;22.6916561127;11.7372808456;4;25.5531140566;2;9.94783401489;10.4951858521;3;23.0919120312;
12;2;23.9830856323;12.0336990356;4;26.3378831148;2;10.1956806183;11.0209560394;4;24.0163254738;
13;2;24.8027305603;12.2662630081;4;27.080530405;2;11.9707775116;11.4571752548;4;24.7773565054;
14;2;25.2483177185;12.446267128;4;27.6433620453;2;13.9707775116;11.8107032776;4;25.395208478;
15;2;25.5860176086;12.5;4;28.1814615726;2;15.9707775116;12.0916318893;4;25.8925833702;
16;2;27.8443965912;12.5;4;28.8119807243;2;17.0085773468;12.3113050461;4;26.2918028831;
17;2;29.2227096558;12.5;4;29.5434241295;2;18.0220928192;12.4808797836;4;26.3921557665;
18;2;30.6615753174;12.5;5;30.3819847107;2;19.0360679626;12.5;4;26.4563041925;
19;2;32.1647109985;12.5;5;31.330183506;2;19.9526691437;12.5;5;26.5224741697;
20;2;32.7981109619;12.5;6;32.3854136467;2;19.9675559998;12.5;5;26.5906432867;
21;2;33.4312477112;12.5;6;33.5386152267;2;19.9828948975;12.5;5;26.6607804298;
22;2;31.4312477112;13.5;6;34.7734174728;2;19.9986763;12.5;5;26.7328453064;
23;2;30.4312477112;14.5;6;36.0661067963;2;19.625;13.0198535919;5;26.8067884445;
24;2;31.4312477112;12.5;6;37.386724472;2;20.0315284729;12.5;5;26.8825509548;
25;2;32.4312477112;12.5;6;38.7013616562;2;20.0485744476;12.5;5;26.9600640535;
26;2;33.4312477112;12.5;6;39.9754018784;2;19.625;13.088019371;7;27.0392494202;
27;2;34.4312477112;12.5;6;41.1771183014;2;19.625;13.1117744446;7;27.120018959;
28;2;35.4312477112;12.5;6;42.2808647156;2;20.1020050049;12.5;8;27.2022752762;
29;2;36.4312477112;12.5;6;43.2691802979;2;20.1205120087;12.5;7;27.2859115601;
30;2;34.4312477112;13.5;6;44.1334629059;2;18.1393299103;13.5;7;27.3708124161;
31;2;35.4312477112;15.5;6;44.8732662201;2;17.1584320068;14.5;7;27.4568536282;
32;2;36.4312477112;17.5;6;45.4946498871;2;16.1777915955;15.5;5;27.5439035892;
