Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;13.0;10.0;4;20.0;2;6.0;12.8999996185;3;22.0;
2;1;13.0;10.0;4;20.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;1;13.0;10.0;4;20.0;2;8.16349983215;10.6999998093;3;22.1871190071;
4;1;14.0;10.0;4;20.0;2;8.32806777954;10.5;3;22.2917383909;
5;1;15.0;10.0;4;20.0;2;8.34376049042;10.5;3;22.4042263031;
6;2;16.6000003815;10.0;3;21.3999996185;2;9.46595096588;10.5;3;22.5249304771;
7;2;17.6000003815;10.1999998093;3;21.7264003754;2;10.0681095123;10.5;3;22.6541694403;
8;2;18.0358409882;10.3632001877;3;22.8594274521;2;10.0971889496;10.5;3;23.2287653685;
9;2;18.7156562805;10.9097137451;3;23.8127875328;2;10.2264719009;10.7100000381;3;23.7334493399;
10;2;20.7156562805;11.3658018112;3;24.5981152058;2;10.3400268555;10.8792181015;3;24.1532578468;
11;2;22.7156562805;11.7372808456;3;25.2345055342;2;10.4344825745;11.0;3;26.0129473209;
12;2;23.7919197083;12.0336990356;3;25.7443674803;2;10.8529129028;11.7700004578;3;27.6574776173;
13;2;24.8187599182;12.2662630081;3;26.1502821445;2;12.5872430801;12.4126424789;3;29.0951218605;
14;2;25.8463039398;12.446267128;3;26.3048160076;2;14.5872430801;12.9308347702;3;30.3518810272;
15;2;26.874546051;12.5;4;26.3530313969;2;16.5872421265;13.3366470337;4;31.4625301361;
16;3;27.9034748077;12.5;3;26.4023760557;3;17.8879413605;13.6469516754;3;32.4630823135;
17;3;28.0916557312;12.5;4;26.4528282881;3;19.0082912445;13.879781723;3;33.2818861008;
18;3;29.8716964722;12.5;4;26.5043625832;3;20.138425827;14.0;3;33.9008235931;
19;3;29.9026184082;12.5;3;26.5569496155;3;21.2776870728;14.0;3;34.5557665825;
20;3;29.0;12.5;4;26.6105561256;3;21.7750473022;14.0;4;35.2404661179;
21;3;29.0;12.5;5;26.6651450396;3;21.9291038513;14.0;4;35.9471020699;
22;3;29.0;12.5;5;26.72067523;3;22.0880966187;14.0;3;36.6665449142;
23;3;29.0;12.5;5;26.7771017551;3;22.2499713898;14.0;3;37.3887672424;
24;3;29.0;12.5;5;26.8343759775;3;22.4124717712;14.0;3;38.1033678055;
25;3;29.0;12.5;5;26.8924454451;3;22.5732574463;14.0;3;38.8001594543;
26;3;29.0;12.5;5;26.9512542486;3;22.7300338745;14.0;3;39.4697523117;
27;3;29.0;12.5;5;27.0107431412;3;22.8806934357;14.0;3;40.1040582657;
28;3;29.0;12.5;5;27.0708494186;3;23.0234127045;14.0;3;40.6966657639;
29;3;29.0;12.5;5;27.1315076351;3;23.1567497253;14.0;3;41.2430458069;
30;3;29.0;12.5;5;27.1926498413;3;23.2796840668;14.0;3;41.7405805588;
31;3;29.0;12.5;5;27.2542052269;3;21.3916301727;15.0;3;42.1884441376;
32;3;29.0;12.5;6;27.3161010742;3;22.4923992157;14.0;3;42.5873603821;
33;3;29.0;14.5;6;27.3782629967;3;23.5821552277;14.0;3;42.9393005371;
34;3;29.0;16.5;6;27.4406147003;3;23.6613426208;14.0;4;43.2471542358;
35;3;29.0;18.5;7;27.5030794144;3;23.7306098938;14.0;5;43.5144128799;
36;3;29.0;20.5;7;27.5655794144;3;23.7907428741;14.0;5;43.744893074;
37;3;29.0;22.5;7;27.628036499;4;24.8425998688;14.5;5;44.9425086975;
38;3;29.0;22.5;9;27.690372467;4;25.8870639801;14.5;5;45.1599999666;
39;3;29.0;22.5;9;27.7525100708;4;25.8999996185;14.5799999237;5;45.3437439203;
40;3;29.0;22.5;10;27.8143725395;4;26.2023429871;14.0;5;45.5541238785;
