Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;13.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;13.0;10.0;5;20.0;1;8.0;10.6999998093;5;21.0;
4;1;14.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
5;1;15.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
6;1;16.0;10.0;5;20.3999996185;1;9.14999961853;10.5;5;21.0;
7;1;17.0;10.1999998093;5;20.7264003754;1;9.72500038147;10.5;5;21.0;
8;2;18.0358409882;10.3632001877;4;22.8194274902;1;9.72500038147;10.5;5;21.4200000763;
9;2;18.6916561127;10.9097137451;4;23.7616035938;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;20.6916561127;11.3658018112;4;24.5351526737;1;9.8956489563;10.8792181015;5;22.0;
11;2;22.6916561127;11.7372808456;4;25.1591641903;2;9.94999980927;11.1999998093;4;24.5400009155;
12;2;23.7467155457;12.0336990356;5;25.6560432911;2;10.5215005875;11.7700004578;5;25.9852849245;
13;2;24.7657661438;12.2662630081;5;26.0483692884;2;12.2109994888;12.4126424789;5;27.2054134607;
14;2;25.78515625;12.446267128;5;26.1887089014;2;14.2109994888;12.9308347702;5;28.2274179459;
15;2;26.8048820496;12.5;5;26.2221269608;2;16.2110004425;13.3366470337;5;29.0880752802;
16;2;27.8249320984;12.5;5;26.2560760975;2;17.3536891937;13.6469516754;5;29.82655406;
17;2;28.8453006744;12.5;5;26.2905418873;2;18.4150733948;13.879781723;5;30.375654459;
18;2;29.7743244171;12.5;5;26.3255085945;2;19.4845237732;14.0;5;30.7230784893;
19;2;29.7953052521;12.5;6;26.3609591722;2;20.5626926422;14.0;5;31.1118502617;
20;2;29.816576004;12.5;6;26.3968753815;2;21.0001659393;14.0;5;31.544028759;
21;2;29.8381252289;12.5;6;26.4332377911;2;21.0974063873;14.0;5;32.0209121704;
22;2;29.8599433899;12.5;6;26.4700255394;2;21.2047042847;14.0;5;32.5427899361;
23;3;29.8820152283;12.5;5;26.5072168112;2;21.3221263885;14.0;6;33.1086950302;
24;3;29.9043292999;12.5;5;26.5447884798;2;21.4494552612;14.0;6;33.7161855698;
25;3;29.9268722534;12.5;6;26.5827163458;2;21.5861415863;14.0;6;34.3611893654;
26;4;29.9496307373;12.5;5;26.6209751368;2;21.7312660217;14.0;6;35.0379443169;
27;4;29.9725856781;12.5;5;26.6595385075;2;21.8835372925;14.0;7;35.7390680313;
28;4;29.9957237244;12.5;5;26.6983793974;2;22.0412902832;14.0;7;36.4557781219;
29;4;30.01902771;12.5;5;26.7374696732;2;22.2025489807;14.0;7;37.1782588959;
30;4;30.0424823761;12.5;5;26.7767804861;2;20.36510849;15.0;7;37.8961582184;
31;4;30.0660686493;12.5;5;26.8162822723;2;19.5266342163;16.0;7;38.5991659164;
32;4;30.0897693634;12.5;5;27.8559447527;2;18.6848106384;17.0;7;39.2776012421;
33;4;31.1135673523;15.5;5;27.9357372522;2;17.8374595642;18.0;7;39.9229507446;
34;4;32.1374435425;18.5;5;28.0168124437;2;16.9826622009;19.0;7;40.5282850266;
35;4;32.8100891113;21.5;5;28.0991406441;2;16.818862915;20.0;7;41.088514328;
36;4;32.8594818115;24.5;5;28.1826885939;3;17.9449157715;21.5;6;42.6004695892;
37;4;32.909614563;27.5;5;29.2674201727;3;19.0601062775;22.0;5;43.2228213549;
38;4;33.9604530334;28.5;6;29.3832957745;3;19.4251346588;23.0;6;43.8196159601;
39;5;35.0119781494;29.5;5;29.5008635521;3;19.5594139099;24.0;7;44.3953857422;
40;5;34.9176254272;30.5;6;29.6200706959;3;19.6889610291;25.0;7;44.9558178186;
41;5;35.7720413208;31.5;6;29.7408593893;3;19.8150596619;26.0;7;45.5073611736;
42;5;35.8445129395;32.5;6;29.8631672859;3;19.4740829468;28.0;7;46.0568373203;
43;5;35.9179000854;32.5;7;29.9869276285;3;21.0627880096;25.0;7;46.6110675335;
44;5;35.9921569824;32.5;7;30.1120691299;3;19.574798584;27.0;7;47.1118502617;
45;5;36.0672416687;32.5;7;30.2385158539;3;19.6000003815;28.5559253693;7;47.544028759;
46;5;36.1431121826;32.5;7;31.3661876917;3;20.6000003815;28.5559253693;8;48.0209121704;
47;5;37.2197151184;33.5;8;31.4949994087;3;22.5047054291;29.5559253693;10;48.5427899361;
48;5;38.2969970703;34.5;9;31.6248620749;3;23.622127533;30.5559253693;10;49.1086950302;
49;5;38.3749160767;35.5;10;31.755682826;3;24.7494564056;31.0;11;49.7161855698;
50;6;38.4534072876;36.5;9;32.9832649231;3;25.8861427307;31.0;12;50.3611893654;
51;6;38.3096313477;38.0;10;33.9951261282;3;27.0312671661;30.0;12;51.0379443169;
52;6;39.7729606628;39.1181373596;11;34.825579524;3;25.8999996185;30.0;14;51.7390680313;
53;6;40.2589988708;39.4296646118;11;35.5103335381;3;26.8999996185;29.0;14;52.4557781219;
54;6;40.6575088501;39.6665496826;12;35.9342349768;3;27.8025493622;29.0;15;53.1782588959;
55;6;40.8994064331;39.7713279724;12;36.1809471846;4;27.9651088715;29.0;15;53.8961582184;
56;6;41.0348815918;39.7859687805;12;37.4306881428;4;28.1266345978;29.0;15;54.5991659164;
57;6;42.1720809937;40.8007202148;13;37.72313869;4;28.2848110199;29.0;16;55.2776012421;
58;7;43.3108139038;41.8155822754;12;38.0191429853;4;26.4374599457;30.0;17;55.9229507446;
59;7;44.4508743286;42.8305511475;14;38.3183430433;5;25.5826625824;31.0;10;68.0282850266;
60;7;42.5429611206;46.8305511475;15;38.6203610897;5;25.5826625824;31.0;11;69.0485143661;
61;7;43.6143341064;50.8305511475;15;38.9248007536;5;28.5826625824;31.0;12;69.9838533401;
62;7;43.6864738464;54.4364700317;15;39.2312501669;5;30.5826625824;32.0;12;70.8321475983;
63;7;43.7592163086;57.4594230652;16;39.5392842293;5;31.0641345978;33.0;12;71.5938873291;
64;8;43.8323822021;60.4829559326;15;39.8484677076;5;31.1570701599;34.0;13;72.2717466354;
65;8;43.9058074951;61.9221687317;16;40.1583578587;5;31.239282608;35.0;13;72.8700761795;
