Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;13.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;13.0;10.0;5;20.0;1;8.0;10.6999998093;5;21.0;
4;1;14.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
5;1;15.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
6;1;16.0;10.0;5;20.3999996185;1;9.14999961853;10.5;5;21.0;
7;1;17.0;10.1999998093;5;20.7264003754;1;9.72500038147;10.5;5;21.0;
8;1;17.4358406067;10.3632001877;5;21.8194274902;1;9.72500038147;10.5;5;21.4200000763;
9;1;18.0916557312;10.9097137451;5;22.7316036224;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;19.0916557312;11.3658018112;5;23.4745616913;1;9.8956489563;10.8792181015;5;22.0;
11;2;21.0916557312;11.7372808456;4;25.0673980713;1;9.94999980927;11.0;5;23.5400009155;
12;2;23.0916557312;12.0336990356;5;25.6175260544;1;10.296500206;11.7700004578;6;24.8252849579;
13;2;24.7426567078;12.2662630081;5;26.0688370466;1;11.9499998093;12.4126424789;5;25.8616695404;
14;2;25.7974376678;12.446267128;5;26.2742146254;1;12.9499998093;12.9308347702;4;26.6732940674;
15;2;26.8561840057;12.5;5;26.3790287971;2;14.9499998093;13.536646843;3;28.2939033508;
16;2;27.9190731049;12.5;5;26.4910193682;2;16.9500007629;13.6469516754;3;28.9195634127;
17;2;28.9862670898;12.5;5;26.6104347706;2;18.2110004425;13.879781723;2;29.3437439203;
18;2;29.96626091;12.5;5;26.7374911308;2;19.2523422241;14.0;2;29.5541238785;
19;2;30.0424957275;12.5;6;26.8723640442;2;20.2996788025;14.0;2;29.7941719294;
20;2;30.123418808;12.5;6;27.0151810646;2;20.7036876678;14.0;2;30.0669906139;
21;3;30.2091083527;12.5;5;27.1660137177;2;20.7650718689;14.0;2;30.375654459;
22;3;30.2996082306;12.5;5;27.3248689175;2;20.8345222473;14.0;2;30.7230784893;
23;3;30.3949203491;12.5;5;27.4916813374;2;20.9126911163;14.0;3;31.1118502617;
24;3;30.4950084686;12.5;5;27.6663062572;2;21.0001659393;14.0;3;31.544028759;
25;3;29.0;13.5;6;27.8485133648;2;21.0974063873;14.0;3;32.0209121704;
26;4;29.0;13.9242563248;5;28.0379817486;2;21.2047042847;14.0;3;32.5427899361;
27;4;29.0;14.0189905167;5;28.2342967987;2;21.3221263885;14.0;4;33.1086950302;
28;4;29.0;14.1171483994;5;28.4369482994;2;21.4494552612;14.0;4;33.7161855698;
29;4;29.0;14.2184743881;5;28.6453323364;2;21.5861415863;14.0;5;34.3611893654;
30;4;29.0;14.3226661682;5;28.8587543964;2;19.7312660217;15.0;6;35.0379443169;
31;4;29.0;14.4293775558;5;29.0764360428;2;18.8835372925;16.0;7;35.7390680313;
32;4;29.0;14.5382175446;5;30.2975239754;3;19.0412902832;17.5;5;37.4557781219;
33;4;31.0;17.5382175446;5;30.6061015129;3;19.2025489807;18.0;5;38.3382588625;
34;4;33.0;20.5382175446;6;30.9225052595;3;18.6261062622;19.0;5;39.2399021387;
35;4;34.5535049438;23.5;6;31.2460421324;3;18.5289783478;20.0;6;40.1532897949;
36;4;34.7476234436;25.5;7;31.5759892464;3;18.7344894409;21.0;6;41.0717731714;
37;4;34.9455947876;27.5;8;31.9116069078;3;18.9411487579;22.0;5;41.9899413586;
38;4;35.1469650269;27.5;8;32.2521502972;3;19.1477355957;23.0;6;42.9039394855;
39;4;35.3512916565;27.5;9;32.5968799591;3;19.3533859253;24.0;6;43.8115928173;
40;4;35.5581283569;27.5;10;32.9450702667;3;19.5576095581;25.0;7;44.7123198509;
41;4;35.7670440674;27.5;9;33.2960166931;3;19.7602729797;26.0;7;45.6068501472;
42;4;35.9776077271;27.5;10;33.6490397453;3;19.9615402222;27.0;7;46.4967842102;
43;4;36.1894226074;27.5;11;34.003485918;3;21.161775589;25.0;8;47.3840517998;
44;4;36.40209198;27.5;12;34.3587276936;3;20.3614120483;26.0;8;48.2703409195;
45;4;36.615234375;27.5;13;34.7141587734;3;20.5608253479;27.0;9;49.1565561295;
46;4;36.8284950256;27.5;14;35.0691897869;3;21.760225296;27.0;10;50.0423722267;
47;4;37.0415153503;27.5;14;35.4232409;3;21.5282669067;28.0;10;50.9259333611;
48;4;37.253944397;27.5;14;35.7757349014;3;22.574798584;29.0;13;51.7390680313;
49;4;37.4654426575;27.5;14;36.1260900497;3;24.6000003815;30.0;12;52.4557781219;
50;4;37.6756515503;27.5;14;37.6962351799;3;26.5025501251;31.0;12;53.1782588959;
51;4;38.6177406311;28.0;15;39.046210289;3;27.6651096344;30.0;13;53.8961582184;
52;4;39.4277267456;28.3899993896;15;40.2083158493;3;28.1266345978;29.0;13;54.5991659164;
53;4;40.1249923706;28.6872596741;15;41.2162971497;3;28.2848110199;29.0;13;55.2776012421;
54;4;40.7297782898;28.9097423553;16;41.9530992508;3;28.4374599457;29.0;12;55.9229507446;
55;4;41.1718597412;29.0;16;42.5005550385;3;28.5826625824;29.0;12;56.5282850266;
56;4;41.5003318787;29.0;16;43.0371394157;3;28.7188625336;29.0;12;57.088514328;
57;4;41.8222846985;29.0;17;43.5608921051;3;28.84491539;29.0;13;57.6004695892;
58;4;40.0204925537;30.0;17;44.0699548721;3;28.960105896;29.0;12;58.0628213882;
59;4;39.2187080383;31.0;18;44.5625977516;3;29.0641345978;29.0;12;58.4758720398;
60;4;38.4156188965;32.0;18;45.0372462273;3;29.1570701599;29.0;11;58.8412618637;
61;4;37.6099433899;33.0;16;45.4925074577;3;29.239282608;29.0;12;59.1616458893;
62;4;37.1278648376;34.0;16;45.927195549;3;29.3113689423;29.0;12;59.4403705597;
63;4;37.3133926392;35.0;17;46.3215389252;3;29.3740825653;29.0;13;59.6811828613;
64;4;37.4929237366;36.0;17;46.6092510223;3;29.4282665253;29.0;15;59.8879890442;
65;5;37.6655502319;37.0;9;61.8842153549;3;29.4747982025;29.0;15;60.0;
66;5;38.8305282593;39.0;8;63.1954488754;3;29.5;29.0;14;60.0;
67;5;39.9872703552;41.0;8;64.3972129822;3;29.5;29.0;14;60.0;
