Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;13.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.6999998093;4;21.0;
3;1;13.0;10.0;5;20.0;1;8.0;10.6999998093;4;21.0;
4;1;14.0;10.0;5;20.0;1;8.14999961853;10.5;4;21.0;
5;1;15.0;10.0;5;20.0;1;8.14999961853;10.5;4;21.0;
6;1;16.0;10.0;5;20.3999996185;1;9.14999961853;10.5;4;21.0;
7;1;17.0;10.1999998093;5;20.7264003754;1;9.72500038147;10.5;4;21.0;
8;1;17.4358406067;10.3632001877;4;21.8194274902;1;9.72500038147;10.5;4;21.4200000763;
9;1;18.0916557312;10.9097137451;4;22.7316036224;1;9.81949996948;10.7100000381;4;21.758436203;
10;1;19.0916557312;11.3658018112;4;23.4745616913;1;9.8956489563;10.8792181015;4;22.0;
11;2;21.0916557312;11.7372808456;3;25.0673980713;1;9.94999980927;11.0;4;23.5400009155;
12;2;23.0916557312;12.0336990356;4;25.5625259876;1;10.296500206;11.7700004578;4;24.8252849579;
13;2;24.7096557617;12.2662630081;4;25.9531252384;1;11.9499998093;12.4126424789;4;25.8616695404;
14;2;25.7280101776;12.446267128;4;26.091766119;1;12.9499998093;12.9308347702;4;26.6732940674;
15;2;26.7467155457;12.5;4;26.1235172749;1;13.9499998093;13.3366470337;5;27.2939033508;
16;2;27.7657661438;12.5;7;26.1558350325;2;14.9499998093;13.6469516754;4;27.759563446;
17;3;28.78515625;12.5;4;34.6887089014;2;15.9499998093;13.879781723;4;28.0;
18;3;30.7132263184;12.5;4;35.0621271133;2;16.9500007629;14.0;4;28.0;
