Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;13.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;13.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;13.0;10.0;5;20.0;1;8.0;10.6999998093;5;21.0;
4;1;14.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
5;1;15.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
6;1;16.0;10.0;5;20.3999996185;1;9.14999961853;10.5;4;21.0;
7;2;17.6000003815;10.1999998093;4;21.7264003754;2;9.72500038147;10.6999998093;3;22.0;
8;2;18.0358409882;10.3632001877;4;22.9094275236;2;9.95000076294;10.5;3;22.5200001001;
9;2;18.7456550598;10.9097137451;4;23.9187226295;2;10.0670003891;10.7100000381;3;22.9673361778;
10;2;20.7456550598;11.3658018112;4;24.7663000822;2;10.1676511765;10.8792181015;3;23.3272645473;
11;2;22.7456550598;11.7372808456;4;25.4716243744;2;10.2486343384;11.0;3;25.0752841234;
12;2;23.9341907501;12.0336990356;5;26.0574564934;2;10.6419391632;11.7700004578;4;26.5979954004;
13;2;25.0066146851;12.2662630081;5;26.5467036963;2;12.348859787;12.4126424789;4;27.9043157101;
14;2;26.0841579437;12.446267128;5;26.7922235727;2;14.348859787;12.9308347702;4;29.0214660168;
15;2;27.1669902802;12.5;5;26.9393253326;2;16.348859787;13.3366470337;3;29.9861254692;
16;2;28.2552509308;12.5;5;27.0956480503;2;17.5557498932;13.6469516754;3;30.8369827271;
17;2;29.3490447998;12.5;5;27.261295557;2;18.6424198151;13.879781723;3;31.505875349;
18;2;30.3567771912;12.5;5;27.4362905025;2;19.738822937;14.0;3;31.9789624214;
19;2;30.461774826;12.5;6;27.6205644608;2;20.8452682495;14.0;3;32.4970645905;
20;2;30.5723381042;12.5;6;27.8139474392;2;21.31183815;14.0;3;33.0593295097;
21;3;30.6883678436;12.5;5;28.016159296;2;21.4383487701;14.0;3;33.6634473801;
22;3;30.8096961975;12.5;5;28.2268030643;2;21.5742759705;14.0;3;34.3054871559;
23;3;30.9360809326;12.5;5;28.445360899;2;21.7187347412;14.0;4;34.9798283577;
24;3;31.0672168732;12.5;5;28.6711919308;2;21.8704605103;14.0;4;35.6792192459;
25;3;31.20271492;12.5;5;28.9035346508;2;22.0278244019;14.0;6;36.394982338;
26;3;31.3421211243;12.5;4;29.141512394;2;22.1888694763;14.0;6;37.1173725128;
27;3;31.4849071503;12.5;5;29.3841423988;2;22.3514080048;14.0;6;37.8360614777;
28;3;31.6304855347;12.5;5;29.6303496361;2;22.5131130219;14.0;6;38.5407104492;
29;4;31.7782096863;12.5;4;29.8789830208;2;22.6716594696;14.0;6;39.2215652466;
30;4;31.9273910522;12.5;4;30.1288366318;2;20.8248519897;15.0;6;39.8699960709;
31;4;32.0773010254;14.5;4;30.3786706924;2;19.8248519897;15.0;6;40.4789276123;
32;4;32.2272033691;16.5;4;30.6272368431;2;18.8248519897;15.0;6;41.0431089401;
33;4;32.3763427734;18.5;4;30.8733024597;2;18.8248519897;16.0;6;41.5592107773;
34;4;32.523979187;20.5;4;32.1156759262;2;18.3508224487;17.0;7;42.0257549286;
35;4;33.6694068909;23.5;5;32.4132285118;2;17.4557952881;18.0;7;42.4429149628;
36;4;34.8119354248;24.5;5;32.7078800201;2;17.2496566772;19.0;7;42.8122329712;
37;4;35.9509506226;25.5;5;32.9987572432;2;17.3327522278;20.0;7;43.1362905502;
38;4;37.0858764648;26.5;6;34.285094738;2;17.4056663513;21.0;7;43.418387413;
39;4;39.2162246704;28.5;7;34.6512423754;2;17.4691371918;22.0;7;43.6622467041;
40;4;41.1397438049;29.5;7;35.0179736614;2;17.5240058899;23.0;8;43.8717689514;
41;4;42.0107841492;30.5;9;35.3851860762;2;17.5711479187;24.0;9;44.0;
42;4;42.2311096191;31.5;9;35.7528806925;2;17.6000003815;25.0;10;44.0;
43;4;41.6243133545;32.5;9;36.1211484671;2;17.6000003815;26.0;10;44.0;
44;4;41.7780761719;33.2455101013;10;36.4901553392;2;17.6000003815;27.0;11;44.0;
45;4;41.9278335571;33.3052177429;10;36.8601230383;2;18.6000003815;25.0;12;44.0;
46;4;42.0735778809;33.3687438965;11;37.2313084602;2;17.6000003815;26.0;12;44.0;
47;5;42.2153663635;33.4361801147;7;47.6039812565;2;18.6000003815;25.0;13;44.0;
48;5;44.3532791138;33.5;8;49.6245954037;2;19.6000003815;25.0;13;44.0;
49;5;46.4747543335;35.0;8;51.4030361176;2;20.6000003815;25.0;15;44.0;
50;6;47.2583198547;36.3899993896;8;52.9708545208;2;21.6000003815;25.0;15;44.0;
51;6;47.9338645935;37.6872596741;9;54.3619940281;2;22.6000003815;25.0;15;44.0;
52;7;48.522983551;38.9097442627;9;55.4604563713;2;23.6000003815;24.0;17;44.0;
53;8;48.9567260742;40.0;8;56.349843502;2;23.8999996185;24.0;18;44.0;
54;8;49.2853546143;41.0;8;57.2109322548;2;23.8999996185;24.0;18;44.0;
55;8;49.616973877;42.0;7;58.0443975925;2;23.8999996185;24.0;18;44.0;
56;8;49.9512443542;43.0;7;58.8511505127;3;23.8999996185;24.0;15;60.0;
57;8;50.2876853943;44.0;7;60.5444073677;4;24.8999996185;25.0;14;60.6399993896;
58;8;51.5729942322;46.0;7;61.3086310625;4;25.8999996185;26.0;14;61.1991043091;
59;8;52.8565177917;48.0;7;63.066283226;4;26.8999996185;27.0;14;61.6808338165;
60;8;54.1449775696;51.0;8;63.8021823168;4;27.8999996185;28.0;14;62.0908813477;
61;8;55.4369506836;54.0;9;64.5060005188;4;28.8999996185;29.0;14;62.436258316;
62;8;55.7308883667;57.0;10;65.2267746925;4;29.8999996185;29.0;14;62.7245540619;
63;8;56.0252075195;60.0;10;65.9625351429;4;30.8999996185;29.0;18;62.9633750916;
64;8;56.3182868958;63.0;11;66.711268425;5;31.8999996185;29.0;16;91.75;
65;9;56.6085205078;66.0;10;67.4709588289;5;31.8999996185;31.0;16;94.7625007629;
66;9;56.8943710327;68.0973510742;11;68.2396270037;5;33.9000015259;34.0;16;96.326779604;
67;9;57.174369812;70.1789169312;12;69.0153554678;5;35.4499969482;37.0;17;97.4726507664;
