Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;13.0;10.0;4;20.0;
4;1;11.0;10.0;3;20.0;1;14.0;10.0;4;20.0;
5;1;12.0;10.0;3;20.0;1;15.0;10.0;4;20.0;
6;1;13.0;10.0;3;20.0;1;16.0;10.0;4;20.3999996185;
7;1;14.0;10.0;2;20.3999996185;1;17.0;10.1999998093;4;20.7264003754;
8;1;14.1800003052;10.1999998093;2;20.7264003754;1;17.4358406067;10.3632001877;4;21.8194274902;
9;1;14.3268795013;10.3632001877;2;21.8194274902;1;18.0916557312;10.9097137451;4;22.7316036224;
10;1;14.8187427521;10.9097137451;2;22.7316036224;1;19.0916557312;11.3658018112;4;23.4745616913;
11;1;15.8187427521;11.3658018112;2;23.4745616913;1;20.0916557312;11.7372808456;4;24.0673980713;
12;1;16.8187427521;11.7372808456;2;24.0673980713;1;21.0916557312;12.0336990356;5;24.5325260162;
13;1;17.8187427521;12.0336990356;3;24.5325260162;2;23.0916557312;12.2662630081;4;25.892534256;
14;1;18.8187427521;12.2662630081;3;24.892534256;2;25.0916557312;12.446267128;4;26.0900000334;
15;1;19.8187427521;12.446267128;3;25.0;2;26.7456550598;12.5;4;26.1871190071;
16;1;20.8187427521;12.5;3;25.0;2;27.8039264679;12.5;4;26.2917383909;
17;1;21.8187427521;12.5;2;25.0;2;28.8666992188;12.5;4;26.4042263031;
18;1;22.8187427521;12.5;3;25.0;2;29.8425350189;12.5;4;26.5249304771;
19;1;23.25;12.5;3;25.0;2;29.9149589539;12.5;4;26.6541694403;
20;1;23.25;12.5;3;25.0;2;29.9925022125;12.5;6;26.7922235727;
21;2;23.25;12.5;2;25.0;2;30.075334549;12.5;6;26.9393253326;
22;2;23.25;12.5;2;25.0;2;30.1635951996;12.5;7;27.0956480503;
23;2;23.25;12.5;2;25.0;2;30.2573890686;12.5;7;27.261295557;
24;2;23.25;12.5;2;25.0;2;30.3567771912;12.5;7;27.4362905025;
25;2;23.25;12.5;3;25.0;2;30.461774826;12.5;7;27.6205644608;
26;2;23.25;12.5;3;25.0;2;30.5723381042;12.5;7;27.8139474392;
27;2;23.25;12.5;3;25.0;2;30.6883678436;12.5;7;28.016159296;
28;2;23.25;12.5;3;25.0;2;30.8096961975;12.5;7;28.2268030643;
29;2;23.25;12.5;3;25.0;2;30.9360809326;12.5;7;28.445360899;
30;2;23.25;12.5;3;25.0;2;29.0;13.5;7;28.6711919308;
31;2;23.25;12.5;3;25.0;2;29.0;14.3355960846;7;28.9035346508;
32;2;23.25;12.5;2;25.0;2;29.0;14.4517669678;7;29.141512394;
33;2;23.25;12.5;2;26.0;2;30.0;16.4517669678;7;29.3841423988;
34;2;24.25;12.8999996185;1;26.0399999619;2;31.0;18.4517669678;7;29.6303496361;
35;2;25.25;12.9160003662;2;26.0811839104;2;31.7782096863;20.4517669678;8;29.8789830208;
36;2;25.25;12.9324731827;2;26.1235535145;2;31.9273910522;21.5;8;30.1288366318;
37;2;25.25;12.949420929;2;26.1671074629;2;32.0773010254;22.5;8;30.3786706924;
38;2;25.25;12.9668426514;2;26.211841464;2;32.2272033691;22.5;8;30.6272368431;
39;2;25.7953281403;14.9668426514;2;26.2577478886;2;32.3763427734;22.5;8;30.8733024597;
40;2;25.8159866333;16.9668426514;3;26.3048160076;2;32.523979187;22.5;8;31.1156759262;
41;3;25.8371677399;18.9668426514;3;26.3530313969;2;32.6694068909;22.5;8;31.353228569;
42;3;25.8588638306;20.9668426514;3;26.4023760557;2;32.8119354248;22.5;8;31.5849161148;
43;3;25.8810691833;22.5;3;26.4528282881;3;32.9509506226;22.5;7;31.8097963333;
44;3;25.9037723541;22.5;3;26.5043625832;3;33.0858764648;22.5;8;32.0270428658;
45;3;25.9269638062;22.5;3;26.5569496155;3;33.2162246704;22.5;8;32.2359538078;
46;3;25.9506263733;22.5;3;26.6105561256;3;33.3415718079;22.5;8;32.4359588623;
47;3;25.9747505188;22.5;3;26.6651450396;3;33.4615745544;22.5;8;32.6266198158;
48;4;25.9993152618;22.5;2;26.72067523;3;33.5759735107;22.5;8;32.8076286316;
49;4;25.25;22.5;3;26.7771017551;3;33.6845779419;22.5;8;32.9788007736;
50;4;26.0496959686;22.5;4;26.8343759775;3;33.7872810364;22.5;8;34.1400680542;
51;4;26.0754699707;22.5;4;26.8924454451;3;34.8840408325;23.5;10;35.4128684998;
52;4;25.25;23.2569770813;4;26.9512542486;3;36.6237182617;25.0;10;36.4540190697;
53;4;25.25;23.2805023193;4;27.0107431412;3;37.2237014771;26.3899993896;10;37.2977488041;
54;4;25.25;23.3042984009;4;27.0708494186;3;37.7045173645;27.6872596741;10;37.9798916578;
55;4;25.25;23.328338623;4;28.1315076351;3;38.0876693726;28.9097423553;10;38.3856095076;
56;4;26.25;24.3526039124;3;28.2426497936;3;38.3042602539;29.6059207916;11;38.5990498066;
57;5;27.25;25.3770599365;1;29.6719596386;4;38.4047813416;29.6288738251;11;38.8010623455;
58;5;27.8125;27.0529937744;1;30.8420850039;4;38.4977455139;29.6524085999;11;38.9920780659;
