Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
3;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
4;1;11.0;10.0;4;20.0;1;14.0;10.0;4;20.0;
5;1;12.0;10.0;4;20.0;1;15.0;10.0;4;20.0;
6;1;13.0;10.0;5;20.0;1;16.0;10.0;4;20.3999996185;
7;2;14.0;10.0;4;20.3999996185;2;17.6000003815;10.1999998093;3;21.7264003754;
8;2;14.1800003052;10.1999998093;4;20.7264003754;2;18.0358409882;10.3632001877;3;22.8394274712;
9;2;14.3268795013;10.3632001877;4;21.8194274902;2;18.7036552429;10.9097137451;3;23.7717995644;
10;3;15.2687425613;10.9097137451;3;23.7316036224;2;20.7036552429;11.3658018112;3;24.5351434946;
11;3;17.268743515;11.3658018112;3;24.4745616913;2;22.7036552429;11.7372808456;3;25.1485489607;
12;3;19.268743515;11.7372808456;3;25.0673980713;2;23.7403469086;12.0336990356;4;25.6344225407;
13;3;20.268743515;12.0336990356;3;25.5325260162;2;24.7527942657;12.2662630081;4;26.0153459311;
14;3;20.4896373749;12.2662630081;3;25.892534256;2;25.7653427124;12.446267128;4;26.1438889503;
15;3;20.6516418457;12.446267128;3;26.0;2;26.7779884338;12.5;4;26.1651208401;
16;3;20.7000007629;12.5;3;26.0;2;27.7907276154;12.5;3;26.1864993572;
17;3;22.6516418457;12.5;4;26.0;2;28.8035545349;12.5;3;26.2080165148;
18;3;23.6516418457;12.5;4;26.0;2;29.7248096466;12.5;3;26.2296639681;
19;3;24.6516418457;12.5;4;26.0;2;29.7377986908;12.5;4;26.2514331341;
20;3;25.6516418457;12.5;4;26.0;2;29.7508602142;12.5;5;26.2733153105;
21;3;25.7000007629;12.5;4;26.0;2;29.7639884949;12.5;6;26.2953014374;
22;3;25.7000007629;12.5;5;26.0;2;29.7771816254;12.5;6;26.3173824549;
23;3;25.7000007629;12.5;5;26.0;2;29.790430069;12.5;6;26.3395489454;
24;3;25.25;13.1000003815;6;26.0;2;29.803730011;12.5;6;26.3617914915;
25;3;25.25;13.1000003815;6;26.0;2;29.817073822;12.5;6;26.3841004372;
26;3;25.25;13.1000003815;6;26.0;2;29.8304595947;12.5;6;26.4064661264;
27;3;25.25;13.1000003815;6;26.0;2;29.8438796997;12.5;6;26.428878665;
28;3;25.25;13.1000003815;6;26.0;2;29.8573265076;12.5;6;26.4513280392;
29;3;25.25;13.1000003815;6;26.0;2;29.8707962036;12.5;6;26.4738043547;
30;3;23.25;14.1000003815;6;26.0;2;27.0;14.2369022369;6;26.4962974787;
31;3;24.25;13.1000003815;6;26.0;2;28.0;13.2481489182;6;26.5187973976;
32;3;22.25;14.1000003815;6;26.0;2;26.0;14.2593984604;6;26.5412938595;
33;3;21.25;15.1000003815;6;26.0;2;27.9247760773;16.2593994141;7;26.5637768507;
34;3;20.25;16.1000003815;6;26.0;2;28.9382667542;18.2593994141;7;26.5862361193;
35;4;19.25;17.1000003815;5;26.0;2;29.9517421722;20.2593994141;7;26.6086617708;
36;4;18.25;18.1000003815;6;26.0;2;29.9651966095;22.2593994141;8;26.6310436726;
37;4;17.25;19.1000003815;6;26.0;2;29.9786262512;22.5;7;26.6533719301;
38;4;16.25;20.1000003815;6;26.0;2;29.992023468;22.5;7;26.6756366491;
39;4;17.25;19.1000003815;7;26.0;2;30.0053825378;22.5;8;26.6978281736;
40;4;18.25;20.1000003815;7;26.0;2;30.0186958313;22.5;8;26.7199368477;
41;4;19.25;21.1000003815;7;26.0;2;30.031961441;22.5;9;26.7419531345;
42;4;20.25;22.1000003815;7;27.0;2;30.0451717377;22.5;10;26.7638677359;
43;4;22.25;24.1000003815;9;27.0399999619;2;30.0583209991;22.5;10;26.7856714725;
44;4;24.25;25.1000003815;9;27.0811839104;2;30.0714035034;22.5;11;26.8073554039;
45;4;25.7365322113;26.1000003815;10;27.1235535145;2;30.0844135284;22.5;12;26.8289107084;
46;4;26.7555999756;27.1000003815;10;27.1671074629;2;30.0973472595;22.5;12;26.8503289223;
47;4;27.7751979828;28.1000003815;10;27.211841464;2;30.1101970673;22.5;12;26.8716015816;
48;4;27.7953281403;28.1000003815;11;27.2577478886;2;30.1229610443;22.5;14;26.8927206993;
49;4;27.8159866333;28.1000003815;9;27.3048160076;2;30.1356315613;22.5;14;26.9136784077;
50;4;27.8371677399;28.1000003815;10;27.3530313969;2;30.1482067108;22.5;14;26.9344670773;
51;4;27.8588638306;28.1000003815;10;27.4023760557;2;30.1606807709;22.5;14;26.9550794363;
52;4;27.8810691833;28.1000003815;10;27.4528282881;2;30.1730480194;22.5;16;26.9755084515;
53;4;27.9037723541;28.1000003815;11;27.5043625832;2;30.1853046417;22.5;16;27.9957473278;
54;4;27.9269638062;28.1000003815;11;27.5569496155;2;30.7974472046;23.0;16;28.7800006866;
55;4;27.9506263733;28.1000003815;12;27.6105561256;2;31.2680015564;23.3899993896;17;29.3745174408;
56;4;27.9747505188;28.1000003815;13;27.6651450396;2;31.6247119904;23.6872596741;19;29.8194847107;
57;5;27.9993152618;28.1000003815;12;27.72067523;2;31.8916912079;23.9097423553;19;30.0;
58;5;28.0243034363;28.1000003815;13;27.7771017551;2;32.0;24.0;19;30.0;
59;5;28.0496959686;28.1000003815;13;27.8343759775;2;32.0;24.0;19;30.0;
60;5;28.0754699707;28.1000003815;13;27.8924454451;2;32.0;24.0;20;30.0;
61;5;28.101600647;28.1000003815;13;27.9512542486;2;32.0;24.0;20;30.0;
62;5;28.1280651093;28.1000003815;15;28.0107431412;2;32.0;24.0;18;30.0;
63;5;28.1548347473;28.1000003815;16;29.141064167;3;32.0;24.0;17;30.0;
64;5;28.6499786377;28.6180000305;16;30.0548644066;3;32.0;24.0;17;30.0;
65;5;29.0474243164;29.0263538361;16;30.7865252495;3;32.0;24.0;18;30.0;
66;5;29.3626422882;29.3423194885;21;31.3718254566;3;32.0;24.0;19;30.0;
67;5;29.611738205;29.5838527679;19;31.6956843138;3;30.0;25.0;19;30.0;
68;5;29.742931366;29.6935005188;19;31.8418391943;3;29.0;26.0;19;30.0;
69;5;29.7939071655;29.7132263184;19;31.9905853271;3;28.0;27.0;20;30.0;
70;6;29.8458042145;29.7332763672;14;48.1416828632;3;27.0;28.0;20;30.0;
71;6;30.8985214233;30.7536468506;14;49.0948731899;3;26.0;29.0;21;30.0;
72;6;31.9519481659;31.7743263245;14;49.955483675;3;25.0;30.0;21;30.0;
73;6;33.0059661865;32.7953033447;14;50.7237385511;3;24.0;31.0;21;30.0;
74;6;34.0604553223;33.8165740967;15;51.4037714005;3;23.0;32.0;21;30.0;
