Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;14.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;15.0;10.0;5;20.0;
6;1;13.0;10.0;5;20.0;1;16.0;10.0;5;20.3999996185;
7;1;14.0;10.0;5;20.3999996185;1;17.0;10.1999998093;5;20.7264003754;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;17.4358406067;10.3632001877;5;21.8194274902;
9;1;14.3268795013;10.3632001877;5;21.8194274902;1;18.0916557312;10.9097137451;5;22.7316036224;
10;1;14.8187427521;10.9097137451;5;22.7316036224;1;19.0916557312;11.3658018112;5;23.4745616913;
11;2;16.8187427521;11.3658018112;4;24.4745616913;1;20.0916557312;11.7372808456;5;24.0673980713;
12;2;18.8187427521;11.7372808456;4;25.1373981237;1;21.0916557312;12.0336990356;6;24.5325260162;
13;2;19.8187427521;12.0336990356;4;26.6393712759;1;22.0916557312;12.2662630081;6;24.892534256;
14;2;20.4728488922;12.7476100922;4;27.8663167953;2;24.0916557312;12.446267128;5;26.0;
15;2;20.9896755219;13.3218622208;4;28.8434144258;2;26.0916557312;12.5;5;26.0399999619;
16;2;21.3920822144;13.7689809799;4;29.6088042259;2;27.7156562805;12.5;5;26.0811839104;
17;2;22.9896755219;14.1079788208;4;30.2042173147;2;28.7403659821;12.5;5;26.1235535145;
18;2;23.9896755219;14.3596715927;5;30.5816155672;2;29.6741313934;12.5;6;26.1671074629;
19;2;24.9896755219;14.5;5;30.6831297874;2;29.7002639771;12.5;6;26.211841464;
20;2;25.9896755219;14.5;5;30.7894508839;2;29.727104187;12.5;5;26.2577478886;
21;2;26.9896755219;14.5;5;30.9005856514;2;29.7546482086;12.5;5;26.3048160076;
22;2;27.0499992371;14.5;6;31.0165102482;2;29.7828903198;12.5;5;26.3530313969;
23;3;27.0499992371;14.5;5;31.1371679306;2;29.8118190765;12.5;5;26.4023760557;
24;3;27.0499992371;14.5;6;31.2624664307;2;29.841424942;12.5;5;26.4528282881;
25;3;27.0499992371;14.5;6;31.3922762871;2;29.8716964722;12.5;6;26.5043625832;
26;3;27.0499992371;14.5;5;31.5264284611;3;29.9026184082;12.5;5;26.5569496155;
27;3;27.0499992371;14.5;5;31.6647143364;3;29.9341697693;12.5;5;26.6105561256;
28;3;27.0499992371;14.5;5;31.8068845272;3;29.9663333893;12.5;5;26.6651450396;
29;3;27.0499992371;14.5;5;31.9526493549;3;29.99908638;12.5;5;26.72067523;
30;3;27.0499992371;14.5;5;32.1016800404;3;29.0;13.3603372574;5;26.7771017551;
31;3;27.0499992371;14.5;5;33.2536101341;3;29.0;13.3885507584;5;26.8343759775;
32;3;28.0499992371;14.5;5;33.4880391359;3;29.0;13.4171876907;5;26.8924454451;
33;3;29.0499992371;14.5;5;36.5445538759;3;30.0;15.4171876907;5;26.9512542486;
34;3;27.0499992371;15.5;5;39.0413534641;3;30.170753479;17.4171886444;5;27.0107431412;
35;3;26.0499992371;16.5;5;41.0173772573;3;29.0;19.4171886444;5;27.0708494186;
36;3;27.0499992371;17.5;6;42.5696046352;3;29.0;21.4171867371;5;27.1315076351;
37;3;28.0499992371;20.5;6;43.8092030287;3;29.0;23.4171867371;5;27.1926498413;
38;3;29.0499992371;23.5;5;44.5940335989;3;29.0;23.5963249207;6;27.2542052269;
39;3;30.0499992371;26.5;5;45.1953603029;4;29.0;23.6271018982;5;27.3161010742;
40;3;31.0499992371;29.5;6;45.8116122484;4;29.0;23.6580505371;5;27.3782629967;
41;3;32.0499992371;32.5;7;46.4382836819;4;29.0;23.6891326904;6;27.4406147003;
42;3;32.6500015259;33.5;8;47.0706133842;4;29.0;23.7203063965;7;27.5030794144;
43;3;32.6500015259;34.5;8;47.7037601471;4;29.0;23.7515392303;7;27.5655794144;
44;3;32.6500015259;35.5;9;47.8382501602;4;29.0;23.7827892303;7;27.628036499;
45;3;32.4700012207;36.2999992371;9;47.9980254173;4;29.0;23.8140182495;8;27.690372467;
46;4;32.3079986572;37.1199989319;8;48.1752223969;4;29.0;23.8451862335;9;27.7525100708;
47;4;32.1622009277;37.9580001831;9;48.3629939556;5;29.0;23.8762550354;7;42.8143725395;
48;4;32.0309791565;38.8121986389;9;48.555535078;5;30.0;24.9071865082;7;43.6258842945;
49;5;31.9128799438;38.9888954163;8;48.7480893135;5;31.0;25.9379425049;8;44.356345892;
50;5;31.8065948486;39.0907440186;8;48.936896801;5;32.0;26.9684867859;7;45.0048518181;
51;5;31.7109336853;39.1881370544;8;49.1191315651;5;33.0;27.9987812042;7;45.5738558769;
52;5;31.6248397827;39.2796669006;8;49.292784214;5;34.0;29.028793335;8;46.0683035851;
53;5;31.5473556519;39.3643798828;9;49.4565618038;5;35.0;29.0584888458;8;46.4947605133;
54;5;31.4776191711;39.4417419434;9;49.6097602844;5;36.0;29.0878353119;7;48.2905173302;
55;5;31.4148578644;39.5115356445;8;50.7521429062;5;37.5999984741;29.6485595703;8;49.7636628151;
