Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;13.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;13.0;10.0;6;20.0;
4;1;11.0;10.0;5;20.0;1;14.0;10.0;6;20.0;
5;1;12.0;10.0;5;20.0;1;15.0;10.0;6;20.0;
6;2;13.4499998093;10.0;3;21.0;2;16.6000003815;10.0;5;21.3999996185;
7;2;14.4499998093;10.0;3;21.3999996185;2;17.6000003815;10.1999998093;5;21.8164004087;
8;2;14.6300001144;10.1999998093;3;21.7264003754;2;18.0898399353;10.3632001877;5;23.0501465797;
9;2;14.7768793106;10.3632001877;2;22.8394274712;2;18.8300876617;10.9097137451;4;24.119476676;
10;2;15.2777423859;10.9097137451;2;23.7717995644;2;20.8300876617;11.3658018112;4;25.0374751091;
11;2;17.2777423859;11.3658018112;2;24.5351434946;2;22.8300876617;11.7372808456;4;25.8246923685;
12;2;19.2777423859;11.7372808456;2;25.1485489607;2;24.1460323334;12.0336990356;4;26.5049606562;
13;2;20.3052597046;12.0336990356;2;25.6344225407;2;24.9029769897;12.2662630081;4;27.1022047997;
14;2;20.535490036;12.2662630081;2;26.0153459311;2;25.2613220215;12.446267128;4;27.470197916;
15;2;20.706905365;12.446267128;1;26.1438889503;2;25.4821186066;12.5;4;27.7550067902;
16;2;20.25;12.5;1;26.1651208401;2;27.5885238647;12.5;4;28.0648071766;
17;2;22.2016410828;12.5;1;26.1864993572;2;28.7744045258;12.5;4;28.399949789;
18;2;23.2016410828;12.5;1;26.2080165148;2;29.9754905701;12.5;5;28.7603461742;
19;2;24.2016410828;12.5;2;26.2296639681;2;31.1917266846;12.5;5;29.1453924179;
20;2;25.2016410828;12.5;3;26.2514331341;2;31.4872360229;12.5;5;29.5539045334;
21;2;25.25;12.5;3;26.2733153105;2;31.7323417664;12.5;5;29.9840707779;
22;2;25.25;12.5;3;26.2953014374;2;31.990442276;12.5;5;30.4334311485;
23;2;25.25;12.5;3;26.3173824549;2;32.2600593567;12.5;5;30.8988895416;
24;2;25.25;12.5;3;26.3395489454;2;32.5393333435;12.5;5;31.3767652512;
25;2;25.25;12.5;3;26.3617914915;2;32.8260574341;12.5;5;31.8628811836;
26;2;25.25;12.5;3;26.3841004372;2;33.117729187;12.5;5;32.3526930809;
27;3;25.25;12.5;3;26.4064661264;2;33.4116172791;12.5;5;32.8414492607;
28;3;25.25;12.5;3;26.428878665;2;33.7048683167;12.5;5;33.3243684769;
29;3;25.25;12.5;3;26.4513280392;2;33.9946212769;12.5;5;33.7968292236;
30;3;25.25;12.5;3;26.4738043547;2;34.2780990601;12.5;5;34.2545433044;
31;3;25.25;12.5;3;26.4962974787;2;34.5527267456;14.5;5;34.6937131882;
32;3;25.25;12.5;3;26.5187973976;2;34.8162269592;16.5;6;35.1111526489;
33;3;25.25;12.5;3;26.5412938595;2;35.0666923523;18.5;6;35.504360199;
34;3;25.25;12.5;3;26.5637768507;2;35.3026161194;20.5;6;35.8715543747;
35;3;25.25;12.5;3;26.5862361193;2;35.52293396;22.5;6;36.2116651535;
36;4;25.25;12.5;2;26.6086617708;2;35.7269973755;22.5;6;36.5242843628;
37;4;25.25;14.5;3;26.6310436726;2;35.9145698547;22.5;6;36.8095932007;
38;4;25.25;16.5;3;26.6533719301;3;36.0857543945;22.5;5;37.068271637;
39;4;25.25;18.5;3;26.6756366491;3;36.2409629822;22.5;5;37.3013982773;
40;4;25.25;20.5;3;26.6978281736;3;36.3808364868;22.5;5;37.5103502274;
41;4;25.25;22.5;3;26.7199368477;3;36.5062103271;22.5;6;37.6967105865;
42;4;25.25;22.5;3;27.7419531345;3;36.6180267334;22.5;6;37.8621854782;
43;4;26.25;23.5;4;27.7838677168;3;36.7173118591;22.5;6;38.0;
44;4;27.25;24.5;2;27.8258674145;3;36.7999992371;22.5;6;38.0;
45;4;27.25;25.5;2;28.8679372072;3;36.7999992371;22.5;6;38.0;
46;4;29.0633087158;27.5;3;28.9400615692;3;36.7999992371;22.5;6;39.0;
47;4;30.073009491;29.5;3;29.0128164291;4;38.7999992371;24.5;5;40.0499999523;
48;4;30.082649231;30.5;4;29.0861793756;4;40.7999992371;26.5;5;41.6934753656;
49;5;30.0922203064;31.5;3;29.1601269245;4;42.3359985352;29.0;5;43.07432127;
50;5;30.1017246246;32.5;3;29.2346342802;4;43.1110076904;31.3899993896;5;44.2273410559;
51;6;30.1111564636;32.5;2;44.3096753359;4;43.7457695007;33.6872596741;5;45.1901302338;
52;6;32.1893539429;33.5;1;45.1352229118;4;44.2627029419;34.6192245483;6;45.8504918814;
53;6;33.2233505249;34.5;2;45.880622983;4;44.5943756104;34.7632675171;7;46.2957825661;
54;6;34.25756073;35.5;2;46.5450122356;4;44.7930984497;34.8203086853;7;46.7103465796;
55;6;33.2919769287;36.5;3;47.1150935888;4;44.9693946838;34.8806762695;7;47.0981680155;
56;7;33.3194732666;37.5;4;47.6075869799;4;45.1255836487;34.9444274902;10;47.42555058;
57;7;33.3453178406;38.5;6;48.0333477259;5;45.2414283752;35.0115890503;9;47.617156148;
58;7;33.3714141846;39.5;7;48.3998047113;5;45.271697998;34.0;9;47.8166368008;
59;7;33.3977546692;40.5;7;50.1014537811;5;45.3026199341;35.0;10;48.0238623619;
60;7;33.8807678223;42.0;8;51.4844477177;6;45.3341712952;35.233455658;11;48.2386343479;
61;7;34.2652893066;43.3899993896;8;52.5929956436;6;43.3663368225;36.3140411377;11;48.4606822729;
62;7;34.5668334961;44.6872596741;10;53.4740909338;6;42.3990898132;37.397769928;13;48.6896605492;
63;7;34.8015518188;45.9097442627;12;54.024128437;6;41.4324073792;38.4844932556;13;48.9251470566;
64;8;34.9177131653;47.0;11;54.2290376425;6;40.4662628174;39.5740242004;13;49.1666435003;
65;8;34.9530639648;47.4000015259;12;54.3084839582;6;39.5006256104;40.6661338806;13;49.4135769606;
66;8;34.9888153076;47.4000015259;13;54.3887530565;6;38.5354690552;41.7605667114;16;50.6653038263;
67;8;35.024936676;47.4000015259;14;54.4697799683;7;38.5707550049;43.8570251465;12;63.7111155987;
