Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.0;4;20.0;
3;1;11.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
4;1;11.0;10.0;6;20.0;1;9.0;10.0;4;20.0;
5;1;12.0;10.0;6;20.0;1;9.0;10.0;4;20.0;
6;1;13.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
7;1;14.0;10.0;5;20.3999996185;2;11.0;10.0;4;20.0;
8;2;14.6300001144;10.1999998093;4;21.7264003754;2;11.0;10.0;4;20.3999996185;
9;2;14.7768793106;10.3632001877;4;22.8494274616;2;11.1199998856;10.1999998093;4;20.7264003754;
10;2;15.282242775;10.9097137451;4;23.7921946049;2;11.2179203033;10.3632001877;4;20.9903717041;
11;2;17.2822418213;11.3658018112;4;24.5663278103;2;11.2971115112;10.4951858521;4;22.0419120789;
12;2;19.2822418213;11.7372808456;4;25.1909153461;3;11.6125736237;11.2209558487;3;23.9143505096;
13;2;20.3243255615;12.0336990356;4;25.6883610487;3;13.6125736237;11.4571752548;3;24.6414065361;
14;2;20.5597629547;12.2662630081;4;26.0812431574;3;15.6125736237;11.8107032776;3;25.2234597206;
15;2;20.7365608215;12.446267128;4;26.2221269608;3;17.1326713562;12.0916318893;3;25.6831918955;
16;2;20.7999572754;12.5;4;26.2560760975;3;18.1428642273;12.3113050461;3;26.0429104567;
17;2;22.7668762207;12.5;4;26.2905418873;3;19.1531486511;12.4808797836;3;26.1018965244;
18;2;23.7823848724;12.5;3;26.3255085945;3;20.163520813;12.5;3;26.1228116751;
19;2;24.7981204987;12.5;4;26.3609591722;3;21.1739788055;12.5;3;26.1438889503;
20;2;25.8140716553;12.5;4;26.3968753815;3;22.1845188141;12.5;3;26.1651208401;
21;2;25.8785934448;12.5;4;26.4332377911;3;23.1951332092;12.5;2;26.1864993572;
22;2;25.8949565887;12.5;4;26.4700255394;3;24.2058238983;12.5;3;26.2080165148;
23;2;25.9115104675;12.5;4;26.5072168112;3;25.2165813446;12.5;3;26.2296639681;
24;2;25.9282474518;12.5;4;26.5447884798;3;26.2274055481;12.5;3;26.2514331341;
25;3;25.9451541901;12.5;3;26.5827163458;3;27.1257171631;12.5;3;26.2733153105;
26;3;25.962223053;12.5;3;26.6209751368;3;27.1366577148;12.5;3;26.2953014374;
27;3;25.9794387817;12.5;2;26.6595385075;3;27.1476516724;12.5;3;26.3173824549;
28;3;25.9967918396;12.5;2;26.6983793974;3;27.1586914062;12.5;3;26.3395489454;
29;3;26.0142707825;12.5;2;26.7374696732;3;27.1697750092;12.5;3;26.3617914915;
30;4;26.0318603516;12.5;1;26.7767804861;3;27.180896759;12.5;3;26.3841004372;
31;4;26.0495510101;12.5;1;26.8162822723;3;27.1920509338;12.5;3;26.4064661264;
32;4;26.0673274994;12.5;1;26.8559447527;3;27.2032337189;12.5;3;26.428878665;
