Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;11.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
4;2;11.3000001907;10.0;3;21.0;1;9.0;10.0;6;20.0;
5;2;12.4499998093;10.0;3;21.0599999428;1;9.0;10.0;5;20.0;
6;2;13.4770002365;10.0;3;21.1229639053;1;10.0;10.0;4;20.0;
7;2;14.5053339005;10.0;4;21.6001901627;1;11.0;10.0;4;20.0;
8;3;14.7200860977;10.1999998093;3;22.0082015991;1;11.0;10.0;4;20.3999996185;
9;3;14.9036903381;10.3632001877;2;23.2129787207;1;11.1199998856;10.1999998093;4;20.7264003754;
10;3;15.4458408356;10.9097137451;2;24.245090127;1;11.2179203033;10.3632001877;4;20.9903717041;
11;3;17.4458408356;11.3658018112;2;25.1164904833;2;11.2971115112;10.6951856613;3;23.0419120789;
12;3;19.4458408356;11.7372808456;2;25.8465604782;2;11.6125736237;11.0209560394;3;23.944350481;
13;3;20.6193656921;12.0336990356;2;26.4579504728;2;13.6125736237;11.4571752548;3;24.6819975376;
14;3;20.9060783386;12.2662630081;2;26.9734284878;2;15.6125736237;11.8107032776;3;26.2198865414;
15;3;21.13804245;12.446267128;2;27.245682478;2;16.5384368896;12.5640602112;3;27.4758503437;
16;3;21.2605571747;12.5;2;27.4198198318;2;16.9057006836;13.1761665344;2;28.4694126844;
17;3;23.2905597687;12.5;3;27.6032464504;2;17.1940727234;13.656788826;2;29.2360454798;
18;3;24.3731021881;12.5;3;27.7958021164;2;17.4141998291;14.0236682892;2;29.8171339035;
19;3;25.4597511292;12.5;3;27.9972171783;2;19.1940727234;14.2975034714;2;30.2528412342;
20;3;26.5503883362;12.5;3;28.207105875;2;20.1940727234;14.4983825684;2;30.2905418873;
21;3;26.6931972504;12.5;3;28.4249610901;3;21.1940727234;14.5;1;30.3255085945;
22;3;26.7912330627;12.5;3;28.6501536369;3;22.1940727234;14.5;1;30.3609591722;
23;3;25.25;13.5;4;28.8819327354;3;22.7000007629;14.5;2;30.3968753815;
24;3;25.25;14.5;4;29.1194319725;4;22.7000007629;14.5;1;30.4332377911;
