Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;11.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;11.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;11.0;10.0;5;20.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;11.0;10.0;5;20.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;12.0;10.0;5;20.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;13.0;10.0;5;20.0;1;8.55000019073;8.5;5;17.0;
7;1;14.0;10.0;5;20.3999996185;1;8.82499980927;8.5;5;17.0;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;8.82499980927;8.5;5;17.0;
9;1;14.3268795013;10.3632001877;5;21.8194274902;1;8.82499980927;8.5;5;17.3400001526;
10;2;15.2687425613;10.9097137451;3;23.7316036224;1;8.9015007019;8.67000007629;5;17.6278438568;
11;2;17.268743515;11.3658018112;3;24.5645617247;1;8.96626472473;8.81392192841;5;17.869726181;
12;2;19.268743515;11.7372808456;3;25.2545170784;1;9.02068901062;8.93486309052;5;18.786491394;
13;2;19.8187427521;12.2117671967;4;25.8242644072;1;9.22696018219;9.39324569702;6;19.5780620575;
14;2;20.8187427521;12.2662630081;4;26.2967605591;1;11.0206890106;9.78903102875;5;20.2480106354;
15;2;21.8187427521;12.446267128;4;26.5249304771;1;12.0206890106;10.1240053177;5;20.8052330017;
16;2;22.8187427521;12.5;4;26.6541694403;1;13.0206890106;10.4026165009;5;21.2618598938;
17;2;23.8187427521;12.5;4;26.7922235727;1;14.0206890106;10.6309299469;5;21.6314201355;
18;2;24.8187427521;12.5;4;26.9393253326;1;15.0206890106;10.8157100677;5;21.9274635315;
19;2;25.25;12.5;5;27.0956480503;1;16.0206890106;10.9637317657;5;22.0;
20;2;25.25;12.5;5;27.261295557;1;16.9500007629;11.0;5;22.0;
21;3;25.25;12.5;4;27.4362905025;1;16.9500007629;11.0;5;22.0;
22;3;25.25;12.5;4;27.6205644608;1;16.9500007629;11.0;6;22.0;
23;3;25.25;12.5;4;27.8139474392;1;16.9500007629;11.0;7;22.0;
24;3;25.25;12.5;4;28.016159296;1;16.9500007629;11.0;7;22.0;
25;4;23.25;13.5;3;28.2268030643;1;16.9500007629;11.0;7;22.0;
26;4;24.25;12.5;3;28.445360899;1;16.9500007629;11.0;7;22.0;
27;4;22.25;13.5;3;28.6711919308;1;16.9500007629;11.0;7;22.0;
28;4;21.25;14.5;3;28.9035346508;1;16.9500007629;11.0;8;22.0;
29;4;20.25;15.5;3;29.141512394;1;16.9500007629;11.0;9;22.0;
30;4;19.25;16.5;3;30.3841423988;1;14.9500007629;12.0;9;22.0;
31;4;19.25;17.8999996185;3;30.6703495979;1;13.9500007629;13.0;9;22.0;
32;4;19.25;18.9160003662;3;30.9601669312;1;12.9500007629;14.0;8;22.0;
33;4;19.25;19.9324741364;3;31.2523901463;1;12.0;15.0;9;22.0;
34;4;19.25;20.949420929;3;31.5457781553;1;12.0;16.0;10;22.0;
35;4;19.25;21.9668426514;4;31.8390783072;1;12.0;17.0;10;22.0;
36;4;20.25;19.9847373962;4;32.1310503483;1;12.0;18.0;10;22.0;
37;4;19.0;21.0030994415;4;32.4204919338;1;12.0;19.0;10;22.0;
38;5;19.0;22.0219268799;3;32.7062599659;1;12.0;20.0;10;22.0;
39;5;20.0;19.5;4;32.9872921705;1;12.0;21.0;10;22.0;
40;5;21.0;20.5;5;33.2626246214;1;12.0;22.0;9;22.0;
41;5;22.0;21.5;6;33.5314054489;1;12.0;23.0;9;22.0;
42;5;23.0;23.5;6;33.7929034233;1;12.0;24.0;8;22.0;
43;5;24.0;25.5;6;34.0465149879;1;12.0;25.0;9;22.0;
44;5;25.0;27.5;6;34.2917648554;1;12.0;26.0;9;22.0;
45;5;26.0;28.1660575867;7;34.5283038616;1;12.0;27.0;9;22.0;
46;5;27.0;28.1882705688;7;35.7559025288;1;12.0;28.0;9;22.0;
47;5;29.0;29.2108402252;8;36.0144439936;1;12.0;29.0;11;22.0;
48;5;31.0;30.2337493896;9;36.2650970221;1;12.0;30.0;10;22.0;
49;5;32.0;31.2569770813;9;36.5079380274;1;13.0;28.0;11;22.0;
50;5;32.25;32.2805023193;11;36.7431172132;1;12.0;29.0;12;22.0;
51;5;32.25;33.3042984009;11;36.9708460569;1;12.0;30.0;13;22.0;
52;5;32.25;33.8130760193;12;37.1913862228;1;13.0;28.0;14;22.0;
53;5;32.8159866333;34.3526039124;13;37.4050347805;1;12.0;29.0;14;22.0;
54;5;32.25;33.8989868164;13;37.6072366238;1;12.0;30.0;15;22.0;
55;5;32.25;33.9428939819;14;37.7184771299;1;13.0;28.0;17;22.0;
56;5;32.25;33.9873886108;16;37.8310912848;1;12.0;29.0;18;22.0;
57;5;32.25;34.0324363708;17;37.9449772835;1;12.0;30.0;19;22.0;
58;5;32.25;34.0779914856;17;38.0600290298;2;13.0;28.0;16;50.75;
59;5;32.25;34.1240119934;17;38.17613554;2;13.0;29.0;17;52.7625007629;
60;5;32.25;34.1704559326;16;38.2931815386;2;14.0;30.0;17;54.2967796326;
61;5;32.25;34.2172698975;16;39.6769117117;2;15.0;32.0;18;55.4120597839;
62;5;32.7000007629;34.7987670898;16;40.8327711821;2;16.0;34.0;19;56.1932144165;
63;5;33.0510025024;35.272277832;16;41.7953306437;2;17.0;36.0;16;56.725528717;
64;5;33.3185348511;35.6549530029;17;42.6006476879;2;18.0;38.0;17;56.75;
65;5;33.5187683105;35.964630127;16;43.1339869499;2;19.0;40.0;14;56.75;
66;5;33.5999984741;36.1437034607;14;43.4794807434;2;21.0;38.0;13;56.75;
67;5;33.5999984741;36.2339935303;14;43.8139698505;2;21.0;39.0;14;56.75;
68;5;31.5999984741;37.3255882263;15;44.0457596779;2;22.0;40.0;14;56.75;
69;5;32.5999984741;36.4183044434;15;44.2798826694;2;24.0;38.0;12;56.75;
70;5;30.5999984741;37.5119514465;16;44.5158443451;2;24.0;39.0;14;56.75;
71;6;29.5999984741;38.606338501;14;44.7531337738;2;24.4249992371;40.0;14;56.75;
72;6;28.5999984741;39.7012557983;14;44.9912269115;2;25.4249992371;38.0;11;56.75;
73;6;27.5999984741;40.7964897156;13;45.2295920849;2;24.4249992371;39.0;10;56.75;
74;6;26.5999984741;41.8918380737;13;45.4676926136;2;24.4249992371;40.0;11;56.75;
75;6;27.5999984741;41.8922920227;14;45.7049934864;3;25.4249992371;38.0;10;56.75;
76;6;28.5999984741;41.940826416;14;45.9409646988;3;24.4249992371;39.0;10;56.75;
77;6;29.5999984741;41.9896354675;14;46.1750860214;3;24.4249992371;40.0;11;56.75;
78;6;30.5999984741;42.0385971069;14;46.4068508148;4;26.4249992371;39.0;9;57.75;
79;6;31.5999984741;44.0875930786;15;46.635771513;4;28.4249992371;39.0;10;57.8574999571;
80;6;32.5999984741;44.6286315918;15;46.8613827229;4;26.4249992371;41.0;11;57.9753656387;
81;6;30.5999984741;47.6286315918;15;47.0832438469;4;26.4249992371;43.0;11;58.1043308973;
82;6;29.5999984741;50.6286315918;16;47.3009433746;4;26.4249992371;45.0;12;59.2451226711;
83;6;28.5999984741;53.6286315918;16;47.5141015053;4;28.4249992371;44.0;12;59.4184457064;
84;6;27.5999984741;56.1053161621;16;47.7223725319;4;28.4249992371;46.0;10;59.6051603556;
85;6;26.5999984741;58.1418800354;15;47.9254450798;4;28.4249992371;48.0;10;59.8058636189;
86;6;25.5999984741;60.1771202087;16;48.1230444908;4;29.4249992371;47.0;10;60.0210667849;
87;6;25.5999984741;59.2110214233;16;48.3149337769;4;28.4249992371;49.0;7;60.2511701584;
88;6;23.5999984741;61.2435798645;16;48.5009131432;4;28.4249992371;50.5509490967;8;63.3583005667;
89;7;22.5999984741;63.2747879028;15;48.6808204651;5;29.0765628815;51.5614051819;8;65.6898977757;
90;7;22.5999984741;62.3046569824;16;48.8545293808;5;29.5282783508;52.5719451904;8;67.4142510891;
91;7;21.0;64.3331985474;17;49.0219497681;5;29.8248329163;53.5825614929;9;68.6628308296;
92;7;22.0;63.3604240417;17;49.1830258369;5;31.0;51.5932502747;10;69.0810002089;
93;7;22.0;62.3863639832;18;49.3101291656;5;30.0;52.6040077209;10;69.4561353922;
94;7;21.0;64.4000015259;18;49.3998637199;5;30.0;53.6148300171;11;69.8487150669;
95;7;22.0;63.4000015259;18;50.4862689972;6;31.0;51.6257171631;10;70.2568939924;
96;7;23.0;63.4000015259;18;50.62931633;6;30.0;52.6366577148;10;71.6783847809;
97;8;23.0;66.4000015259;17;50.7719597816;6;31.0;54.6476516724;11;72.1904909611;
98;8;24.0;66.4000015259;19;50.9142750502;6;33.0;53.6586914062;12;72.7156963348;
99;7;21.0;56.2999992371;20;41.0563459396;8;32.0;57.6476516724;8;83.2509146929;
100;7;21.0;58.2999992371;19;41.1982609034;8;33.0;61.6476516724;8;83.792868495;
101;7;21.0;59.2999992371;18;41.3401116133;8;35.0;62.6476516724;9;84.3381956816;
102;7;21.0;61.2999992371;16;41.48198843;8;35.0;66.6476516724;13;84.8835656643;
103;7;21.0;63.2999992371;15;42.5662232637;9;36.0;70.6476516724;10;85.4257899523;
104;8;22.0;66.3000030518;15;42.7113282681;10;35.0;71.6476516724;9;85.9619255066;
105;9;24.0;65.5999984741;14;42.8626164198;10;34.0;75.6476516724;9;86.4893600941;
106;9;23.0;67.5999984741;14;43.0201251507;10;34.0;79.6476516724;9;87.0058739185;
107;9;23.0;69.5999984741;14;43.183866024;10;35.0;80.6476516724;10;87.5096766949;
108;9;24.0;68.5999984741;14;43.3538221121;11;34.0;84.6476516724;11;87.9994190931;
109;9;23.0;69.5999984741;14;44.5299459696;11;34.0;88.6476516724;11;88.4741743803;
110;9;24.0;71.5999984741;14;44.7321581841;11;35.0;89.6476516724;12;88.9334100485;
111;9;26.0;70.5999984741;15;44.9405409098;11;34.0;93.6476516724;13;89.3769319057;
112;10;25.0;72.5999984741;14;45.1549390554;11;34.0;97.6476516724;14;89.8048280478;
113;10;25.0;74.5999984741;13;45.3751604557;11;36.0;94.8266906738;14;90.2174040079;
114;10;26.0;73.5999984741;12;45.6009753942;11;34.0;97.8378143311;15;90.6151190996;
