Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;11.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;11.0;10.0;3;20.0;1;7.0;12.3000001907;5;17.0;
3;1;11.0;10.0;3;20.0;1;7.55000019073;11.3000001907;4;17.0;
4;1;11.0;10.0;3;20.0;1;7.55000019073;10.3000001907;4;17.0;
5;1;12.0;10.0;3;20.0;1;7.55000019073;9.30000019073;4;17.0;
6;1;13.0;10.0;4;20.0;1;8.55000019073;8.5;4;17.0;
7;2;14.0;10.0;3;20.3999996185;1;8.82499980927;8.5;4;17.0;
8;2;14.1800003052;10.1999998093;3;20.7264003754;1;8.82499980927;8.5;4;17.0;
9;2;14.3268795013;10.3632001877;3;21.8194274902;1;8.82499980927;8.5;4;17.3400001526;
10;2;14.8187427521;10.9097137451;3;22.7316036224;1;8.9015007019;8.67000007629;4;17.6278438568;
11;2;15.8187427521;11.3658018112;3;23.4745616913;1;8.96626472473;8.81392192841;4;17.869726181;
12;2;16.8187427521;11.7372808456;3;24.0673980713;1;9.02068901062;8.93486309052;4;18.786491394;
13;2;17.8187427521;12.0336990356;3;24.5325260162;1;9.22696018219;9.39324569702;5;19.5780620575;
14;2;18.0396366119;12.2662630081;3;24.892534256;2;11.0206890106;10.1890306473;4;21.2480106354;
15;2;18.2016410828;12.446267128;3;25.0;2;13.0206890106;10.5240049362;4;21.9127329588;
16;2;18.25;12.5;3;25.0;2;15.0206890106;10.8456163406;4;22.4872255325;
17;2;20.2016410828;12.5;4;25.0;2;16.0206890106;11.1210765839;4;22.9857510328;
18;2;21.2016410828;12.5;5;25.0;2;17.3254127502;10.8157100677;4;23.4225862026;
19;2;22.2016410828;12.5;6;25.0;2;18.3570919037;10.9637317657;4;23.6484457254;
20;2;23.2016410828;12.5;6;25.0;2;19.3208999634;11.0;5;23.8149644136;
21;2;23.25;12.5;6;25.0;2;19.3583679199;11.0;4;23.9952818155;
22;2;23.25;12.5;6;25.0;2;18.9500007629;11.9976406097;4;24.1899158955;
23;2;23.25;12.5;6;25.0;2;18.9500007629;12.0949583054;4;24.399273634;
24;2;23.25;12.5;6;25.0;2;18.9500007629;12.1996364594;4;24.6236231327;
25;2;23.25;12.5;7;25.0;2;18.9500007629;12.3118114471;4;24.8630647659;
26;2;23.25;12.5;7;25.0;2;18.9500007629;12.4315319061;5;25.1175034046;
27;2;23.25;12.5;7;25.0;3;19.6514396667;11.0;4;25.3866217136;
28;2;23.25;12.5;7;25.0;3;19.7119903564;11.0;4;25.6698577404;
29;2;23.25;12.5;7;25.0;3;18.9500007629;12.0;4;25.9663875103;
30;2;23.25;12.5;7;25.0;3;18.9500007629;12.9831933975;4;26.2751159668;
31;2;23.25;12.5;7;25.0;3;17.911901474;12.0;4;26.5946760178;
32;2;23.25;12.5;7;25.0;3;16.9838027954;13.0;4;26.9234399796;
33;2;23.25;12.5;7;25.0;3;16.0577754974;14.0;4;27.2595415115;
34;2;23.25;12.5;7;25.0;3;15.1833972931;15.0;4;27.6009097099;
35;2;23.25;12.5;7;25.0;3;14.0;17.0;5;27.9453148842;
36;2;23.25;12.5;8;25.0;3;14.0;19.0;6;28.2904214859;
37;2;23.25;12.5;8;25.0;3;14.0;21.0;6;28.633852005;
38;2;23.25;12.5;8;25.0;3;14.0;23.0;6;28.9732499123;
39;2;23.25;13.5;8;25.0;3;14.0;25.0;6;29.3063445091;
40;2;23.25;14.5;8;25.0;3;14.0;27.0;7;29.6310133934;
41;2;23.25;15.5;8;25.0;3;14.0;28.8679122925;7;29.9453339577;
42;2;23.25;16.5;9;25.0;3;14.0;30.150800705;7;30.2476272583;
43;2;23.25;17.5;9;25.0;3;14.0;31.4228649139;8;30.5364894867;
44;2;23.25;17.5;9;25.0;3;14.0;32.6828422546;9;30.8108100891;
45;2;23.25;17.5;9;25.0;3;14.0;33.9297294617;9;31.069776535;
46;2;23.25;17.5;9;25.0;3;14.0;35.1627998352;10;31.3128671646;
47;2;23.25;17.5;10;25.0;3;14.0;36.3815803528;12;31.5398340225;
48;2;23.25;17.5;10;25.0;3;14.0;37.585849762;12;31.7506799698;
49;2;23.25;17.5;10;25.0;3;14.0;38.7756118774;13;31.9456272125;
50;2;23.25;17.5;10;25.0;3;15.0;36.9510650635;14;32.1250829697;
51;2;23.25;17.5;10;25.0;3;14.0;38.112575531;14;32.289607048;
52;2;23.25;17.5;10;25.0;3;15.0;36.2606468201;15;32.4398756027;
53;2;23.25;17.5;10;25.0;3;16.0;35.3958892822;16;32.5766506195;
54;2;23.25;17.5;10;25.0;3;18.0;32.3958892822;16;32.7007513046;
55;2;23.25;17.5;10;25.0;3;20.0;30.3958873749;16;32.75;
56;2;23.25;17.5;10;25.0;3;18.9500007629;30.3958873749;17;32.75;
57;2;23.25;17.5;11;25.0;3;18.9500007629;30.3958873749;18;32.75;
58;2;23.25;17.5;11;25.0;3;18.9500007629;30.3958873749;18;32.75;
59;2;23.25;17.5;10;25.0;3;18.9500007629;30.3958873749;19;32.75;
