Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;11.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;11.0;10.0;5;20.0;1;7.0;12.3000001907;4;17.0;
3;1;11.0;10.0;6;20.0;1;7.55000019073;11.3000001907;4;17.0;
4;1;11.0;10.0;6;20.0;1;7.55000019073;10.3000001907;4;17.0;
5;1;12.0;10.0;5;20.0;2;7.55000019073;9.69999980927;3;18.0;
6;1;13.0;10.0;5;20.0;2;8.7750005722;8.5;3;18.0900000334;
7;1;14.0;10.0;5;20.3999996185;2;9.0702495575;8.5;3;18.1871190071;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;9.09210205078;8.5;3;18.2917383909;
9;2;14.7768793106;10.3632001877;4;22.8194274902;2;9.11564064026;8.5;3;18.7571438551;
10;2;15.2687425613;10.9097137451;4;23.8616036177;2;9.2203578949;8.67000007629;3;19.1807904243;
11;2;17.268743515;11.3658018112;4;24.7499927282;2;9.31567764282;8.81392192841;3;19.5693804026;
12;2;19.268743515;11.7372808456;4;25.5051221848;2;9.40311145782;8.93486309052;3;20.7122055292;
13;2;20.465719223;12.0336990356;4;26.1508610249;2;9.66024589539;9.39324569702;3;21.7555496693;
14;2;20.7678871155;12.2662630081;4;26.7112461329;2;11.5106239319;9.78903102875;3;22.7047069073;
15;2;21.0200614929;12.446267128;4;27.0402543545;2;13.5106239319;10.1240053177;3;23.5700800419;
16;2;21.1681137085;12.5;4;27.2842636108;2;15.0206890106;11.4026165009;3;24.3649902344;
17;2;23.2295589447;12.5;4;27.5518820286;2;16.0206890106;11.8721818924;3;25.1037259102;
18;2;24.34998703;12.5;3;27.8440244198;2;17.8019580841;10.8157100677;3;25.8000462055;
19;2;25.4814529419;12.5;4;28.1613030434;2;18.8920211792;10.9637317657;5;26.3035011292;
20;2;26.6242275238;12.5;4;28.5039470196;3;19.9182891846;11.0;4;26.7638249397;
21;2;26.8267765045;12.5;4;28.871723175;3;18.9500007629;11.0;4;27.251458168;
22;2;26.992275238;12.5;4;29.263862133;3;18.9500007629;12.0;5;27.7633986473;
23;2;27.1687374115;12.5;4;29.6789975166;3;18.9500007629;13.0;5;28.2957406044;
24;2;27.3555488586;12.5;4;30.1151270866;3;18.9500007629;14.0;5;28.8437380791;
25;2;27.5518074036;12.5;4;30.5695996284;3;18.9500007629;14.421869278;5;29.4019312859;
