Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;11.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;11.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;11.0;10.0;5;20.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;11.0;10.0;5;20.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;12.0;10.0;5;20.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;13.0;10.0;5;20.0;1;8.55000019073;8.5;5;17.0;
7;1;14.0;10.0;5;20.3999996185;1;8.82499980927;8.5;5;17.0;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;8.82499980927;8.5;5;17.0;
9;1;14.3268795013;10.3632001877;5;21.8194274902;1;8.82499980927;8.5;5;17.3400001526;
10;1;14.8187427521;10.9097137451;5;22.7316036224;1;8.9015007019;8.67000007629;5;17.6278438568;
11;2;16.8187427521;11.3658018112;4;24.4745616913;1;8.96626472473;8.81392192841;5;17.869726181;
12;2;18.8187427521;11.7372808456;4;25.0873980522;1;9.02068901062;8.93486309052;4;18.786491394;
13;2;20.2777423859;12.0336990356;5;25.5727219582;1;9.22696018219;9.39324569702;5;19.5780620575;
14;2;21.2868309021;12.2662630081;5;25.9531160593;1;11.0206890106;9.78903102875;5;20.2480106354;
15;2;22.296005249;12.446267128;5;26.0811508894;1;12.0206890106;10.1240053177;5;20.8052330017;
16;2;23.3052597046;12.5;5;26.1018965244;1;13.0206890106;10.4026165009;5;21.2618598938;
17;2;24.3145961761;12.5;5;26.1228116751;1;14.0206890106;10.6309299469;5;21.6314201355;
18;2;25.3240089417;12.5;5;26.1438889503;1;15.0206890106;10.8157100677;5;21.9274635315;
19;2;25.764749527;12.5;6;26.1651208401;1;16.0206890106;10.9637317657;5;22.0;
20;2;25.7743034363;12.5;6;26.1864993572;1;16.9500007629;11.0;5;22.0;
21;2;25.7839241028;12.5;6;26.2080165148;1;16.9500007629;11.0;5;22.0;
22;2;25.7936077118;12.5;6;26.2296639681;1;16.9500007629;11.0;6;22.0;
23;2;25.8033485413;12.5;6;26.2514331341;1;16.9500007629;11.0;7;22.0;
24;2;25.8131446838;12.5;6;26.2733153105;1;16.9500007629;11.0;7;22.0;
25;3;25.8229923248;12.5;5;26.2953014374;1;16.9500007629;11.0;7;22.0;
26;3;25.25;12.5;6;26.3173824549;1;16.9500007629;11.0;7;22.0;
27;3;25.8428230286;12.5;5;26.3395489454;1;16.9500007629;11.0;7;22.0;
28;3;25.8527965546;12.5;5;26.3617914915;1;16.9500007629;11.0;8;22.0;
29;3;25.8628063202;12.5;5;26.3841004372;1;16.9500007629;11.0;9;22.0;
30;3;25.872844696;12.5;5;26.4064661264;1;14.9500007629;12.0;9;22.0;
31;3;25.8829097748;12.5;4;26.428878665;1;13.9500007629;13.0;9;22.0;
32;3;25.8929958344;12.5;4;26.4513280392;1;12.9500007629;14.0;10;22.0;
33;3;25.9030971527;12.5;4;26.4738043547;1;12.0;15.0;10;22.0;
34;3;25.9132118225;12.5;5;27.4962974787;1;12.0;16.0;10;22.0;
35;3;26.9233341217;12.5;4;27.5587973595;2;12.0;17.0;7;37.0;
36;3;27.9334583282;12.5;4;27.6224777699;2;13.0;18.0;7;37.75;
37;3;28.4301147461;15.5;5;27.6873303652;2;14.0;19.0;7;38.4193744659;
38;3;28.4592971802;18.5;5;27.7533435822;2;14.0;20.0;7;39.0072898865;
39;3;28.4890041351;21.5;5;27.8205032349;2;14.0;21.0;8;39.5162696838;
40;3;28.5192260742;24.5;5;27.8887915611;2;14.0;22.0;8;39.9513263702;
41;3;28.5499572754;27.5;5;27.9581879377;2;14.0;23.0;8;40.3190898895;
42;3;28.5811843872;27.5;5;28.028668046;2;14.0;24.0;8;40.6270179749;
43;3;28.6128997803;27.5;5;28.1002042294;2;15.0;25.0;9;40.8827629089;
44;3;28.6450920105;27.5;5;28.1727651358;3;16.0;26.0;8;41.0;
45;3;28.6777439117;27.5;5;28.2463157177;3;17.0;27.0;10;41.0;
46;3;28.7108421326;27.5;6;28.3208173513;3;18.0;28.0;10;41.0;
47;3;28.7443695068;27.5;7;28.3962275982;3;18.2749996185;29.0;10;41.0;
48;3;28.7783031464;27.5;7;28.4725004435;3;18.2749996185;30.0;11;41.0;
49;3;28.812625885;27.5;7;28.5495859385;3;19.2749996185;28.0;11;41.0;
50;3;28.8473129272;27.5;8;28.6274306774;3;18.2749996185;29.0;11;41.0;
51;3;28.8823432922;27.5;9;28.7059775591;3;18.2749996185;30.0;12;41.0;
52;3;28.9176902771;27.5;9;28.7851661444;3;19.2749996185;28.0;12;41.0;
53;3;28.9533252716;27.5;10;28.8649326563;3;18.2749996185;29.0;13;41.0;
54;3;28.9892196655;27.5;11;28.9452102184;3;19.2749996185;28.0;13;41.0;
55;3;29.0253448486;27.5;9;29.0259288549;3;20.2749996185;28.0;13;41.0;
56;3;29.061668396;27.5;9;29.1070160866;3;21.2749996185;28.0;13;41.0;
57;3;29.0981578827;27.5;10;29.1883971691;3;22.2749996185;28.0;15;41.0;
58;3;29.1347789764;27.5;10;30.2980582714;3;23.2250003815;28.0;15;41.0;
59;3;29.6341266632;28.0;10;31.1861124039;4;23.2250003815;27.0;15;56.0;
60;3;30.0337505341;28.3899993896;13;31.8911633492;4;24.2250003815;27.0;15;56.75;
61;3;30.3510227203;28.6872596741;13;32.4489607811;4;25.2250003815;27.0;14;57.4193744659;
62;3;30.6020317078;28.9097423553;13;32.7443978786;4;25.2250003815;27.0;16;58.0072898865;
63;3;30.7349777222;29.0;14;32.8611886501;4;25.2250003815;27.0;16;58.5162696838;
64;4;31.7875328064;30.0;14;33.9796078205;4;25.2250003815;27.0;17;58.9513263702;
65;4;32.8408203125;31.0;13;34.2793997526;4;25.2250003815;27.0;16;59.3190898895;
66;4;32.8947296143;32.0;13;36.1435525417;4;25.2250003815;28.0;16;59.6270179749;
67;4;33.6389732361;33.7000007629;14;37.7083092928;4;25.2250003815;29.0;16;59.8827629089;
68;4;34.2329444885;35.2291984558;13;39.0348433256;5;25.2250003815;30.0;16;60.0;
69;4;29.7062797546;38.077167511;12;40.1892209053;5;25.2250003815;31.0;16;60.0;
70;4;28.7062797546;39.6923370361;12;41.060785532;5;25.2250003815;32.0;15;60.0;
71;5;27.7062797546;40.8042221069;12;41.7741825581;5;25.2250003815;33.0;16;60.0;
72;5;26.7062797546;39.2291984558;13;42.547770977;5;25.2250003815;34.0;17;60.0;
73;5;25.7062797546;41.1406173706;13;43.3835093975;5;25.2250003815;35.0;17;60.0;
74;5;24.7062797546;42.1563072205;13;44.2819814682;5;25.2250003815;36.0;17;60.0;
75;5;23.7062797546;44.1719055176;13;45.2419404984;5;25.2250003815;37.0;16;60.0;
76;7;22.7062797546;46.1873970032;13;65.2598686218;4;23.2250003815;21.0;17;41.0;
77;7;26.7062797546;42.2291984558;13;67.8996112347;4;21.2250003815;22.0;17;41.0;
78;7;30.8187007904;43.2291984558;12;69.5777255297;4;20.2250003815;23.0;17;41.0;
79;7;26.7062797546;48.2291984558;12;71.2102074623;4;19.2250003815;24.0;17;41.0;
80;7;26.7062797546;52.248085022;13;72.7945269346;4;18.2749996185;25.0;18;42.2299995422;
81;7;27.7062797546;53.2628860474;13;74.311319828;5;18.4032497406;26.0;17;43.2357959747;
82;7;28.7062797546;55.2775230408;14;76.5767629147;5;18.5102500916;27.0;17;44.0472640991;
83;7;26.7062797546;59.0544471741;14;77.8577967882;5;18.598400116;28.0;18;44.6948261261;
84;7;27.0;62.1333389282;15;79.100615859;5;18.6702575684;29.0;18;45.0;
85;8;28.0;65.2164459229;14;80.2925975323;5;18.7250003815;30.0;18;45.0;
86;8;30.0;64.1988601685;15;81.4241770506;5;18.7250003815;31.0;18;45.0;
87;8;31.0;65.2770233154;15;82.489179492;5;18.7250003815;32.0;19;45.0;
88;8;30.0;67.9767379761;16;83.484767437;5;18.7250003815;33.0;20;45.0;
89;8;31.0;68.9255142212;16;84.4110765457;5;18.7250003815;34.0;20;45.0;
90;8;31.0;68.9573669434;17;85.2706418037;5;17.7250003815;33.0;20;46.0;
91;9;30.0;71.9894332886;16;86.0677341223;5;18.7250003815;34.0;20;46.0800000429;
92;9;31.0;72.0217285156;17;86.80770576;5;19.7250003815;35.0;21;46.165536046;
93;9;31.0;72.0542297363;18;87.4760344028;5;20.2622451782;36.0;21;46.2568495274;
94;9;30.0;75.7544250488;19;88.0897996426;5;21.2827911377;37.0;21;46.3541692495;
95;9;30.0;80.7260818481;20;88.5140907764;5;21.7046871185;38.0;20;46.4577066898;
96;9;31.0;81.7260818481;19;88.8066574335;5;21.7279834747;38.0;22;46.5676511526;
97;9;30.0;85.7260818481;21;89.1048176289;5;21.7527217865;38.0;22;46.6841644049;
98;10;30.0;89.7260818481;21;89.4074513912;5;21.7789363861;38.0;23;46.8073750734;
99;11;31.0;90.7260818481;20;89.7133589983;5;21.8066596985;38.0;23;46.9373728037;
100;11;30.0;94.0935440063;19;90.0212820768;5;21.8359088898;38.0;23;47.0742022991;
