Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;6;20.0;2;9.19999980927;10.0;4;21.0;
5;1;12.0;10.0;6;20.0;2;10.3000001907;10.0;3;21.0599999428;
6;1;13.0;10.0;6;20.0;2;11.3179998398;10.0;3;21.1229639053;
7;1;14.0;10.0;6;20.3999996185;2;11.336889267;10.0;3;21.6001901627;
8;1;14.1800003052;10.1999998093;6;20.7264003754;2;11.4800567627;10.1999998093;3;22.0082015991;
9;2;14.7768793106;10.3632001877;5;22.8194274902;2;11.6024608612;10.3632001877;3;22.3582868576;
10;2;15.2687425613;10.9097137451;5;23.8616036177;2;11.7074861526;10.4951858521;3;23.5279067755;
11;2;17.268743515;11.3658018112;5;24.7499927282;2;12.0583724976;11.0209560394;3;24.5268628597;
12;2;19.268743515;11.7372808456;5;25.5051221848;2;14.0583724976;11.4571752548;2;25.3691681623;
13;2;20.465719223;12.0336990356;5;26.1508610249;2;16.0583724976;11.8107032776;3;26.0752547979;
14;2;20.7678871155;12.2662630081;5;26.7112461329;2;17.1801719666;12.0916318893;3;26.6680037975;
15;2;21.0200614929;12.446267128;5;27.0402543545;2;18.2261924744;12.3113050461;2;27.1698563099;
16;2;21.1681137085;12.5;5;27.2842636108;2;18.6125736237;12.4808797836;2;27.3801496029;
17;2;23.2295589447;12.5;5;27.5518820286;2;19.6125736237;12.5;2;27.5615134239;
18;2;24.34998703;12.5;5;27.8440244198;2;20.6125736237;12.5;2;27.7520513535;
