Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;4;20.0;2;11.3000001907;10.0;4;21.0;
7;1;14.0;10.0;4;20.3999996185;2;11.3000001907;10.0;4;21.469999671;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;11.4409999847;10.1999998093;4;21.8705514669;
9;1;14.3268795013;10.3632001877;4;21.8194274902;2;11.5611658096;10.3632001877;4;22.2129640579;
10;1;14.8187427521;10.9097137451;4;22.7316036224;2;11.6638889313;10.4951858521;4;23.3718163967;
11;1;15.8187427521;11.3658018112;4;23.4745616913;2;12.0115451813;11.0209560394;4;24.3595588207;
12;1;16.8187427521;11.7372808456;4;24.0673980713;2;14.0115451813;11.4571752548;4;25.1902494431;
13;1;17.8187427521;12.0336990356;4;24.5325260162;2;16.0115451813;11.8107032776;5;25.884378314;
14;2;19.0396366119;12.2662630081;3;25.892534256;2;17.1229076385;12.0916318893;5;26.4648982286;
15;2;20.2016410828;12.446267128;3;26.1299999952;2;18.1652603149;12.3113050461;5;26.9543362856;
16;2;20.25;12.5;3;26.2754310369;2;19.2103462219;12.4808797836;4;27.1521308422;
17;2;22.2016410828;12.5;3;26.4377241135;2;20.2582130432;12.5;4;27.3210272789;
18;2;23.2016410828;12.5;3;26.6183350086;2;21.3088817596;12.5;4;27.4992582798;
