Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;4;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;4;20.3999996185;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;14.7768793106;10.3632001877;4;22.8194274902;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;15.2687425613;10.9097137451;4;23.7816035748;2;11.597111702;10.4951858521;3;23.0419120789;
11;2;17.268743515;11.3658018112;4;24.5765366554;2;11.9125738144;11.0209560394;3;23.9543504715;
12;2;19.268743515;11.7372808456;4;25.2233480215;2;12.1863059998;11.4571752548;3;24.7025904655;
13;2;20.3389205933;12.0336990356;5;25.7444707155;2;14.9245738983;11.8107032776;4;25.3068172932;
14;2;21.364118576;12.2662630081;5;26.162507534;2;16.9245738983;12.0916318893;4;25.789717555;
15;2;22.3902301788;12.446267128;5;26.3300433159;2;17.9627056122;12.3113050461;4;26.1736010313;
16;2;23.417263031;12.5;5;26.3921557665;2;18.9761257172;12.4808797836;4;26.2577478886;
17;2;24.4452133179;12.5;5;26.4563041925;2;19.9898986816;12.5;4;26.3048160076;
18;2;25.4740791321;12.5;5;26.5224741697;2;21.0040187836;12.5;4;26.3530313969;
