Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.0;10.0;4;20.0;2;7.0;12.1999998093;3;21.0;
2;1;11.0;10.0;5;20.0;2;9.0;11.0;3;21.0599999428;
3;1;11.0;10.0;5;20.0;2;11.0;10.0;4;21.1229639053;
4;1;11.0;10.0;5;20.0;2;11.1684446335;10.0;5;21.1889609098;
5;2;12.4499998093;10.0;4;21.0;2;12.2675161362;10.0;4;21.2580518723;
6;2;13.4499998093;10.0;4;21.0900000334;2;12.7830619812;10.0;4;21.3302885294;
7;2;14.4905004501;10.0;4;21.5980186462;2;12.7993144989;10.0;4;21.8190145493;
8;2;14.7191085815;10.1999998093;4;22.0418490171;2;12.9092788696;10.1999998093;3;22.2388005257;
9;2;14.9188308716;10.3632001877;3;23.3017349243;2;13.0037298203;10.3632001877;3;23.4601941109;
10;2;15.4857807159;10.9097137451;3;24.3994617462;2;13.2785434723;10.9097137451;3;24.5095257759;
11;2;17.4857807159;11.3658018112;3;25.3481024504;2;13.5146427155;11.3658018112;3;25.3986660242;
12;2;19.4857807159;11.7372808456;3;26.1681330204;2;15.5146427155;11.7372808456;3;26.1468911171;
13;2;20.7640724182;12.0336990356;4;26.8832330704;2;17.5146427155;12.0336990356;3;26.7767255306;
14;2;21.8765602112;12.2662630081;4;27.5170819759;2;18.0247631073;12.2662630081;3;27.3107893467;
15;2;22.9997901917;12.446267128;4;27.923101902;2;18.1449279785;12.446267128;3;27.6016011238;
16;2;24.1341381073;12.5;4;28.2468910217;2;18.2103614807;12.5;3;27.7940778732;
17;2;25.2798442841;12.5;4;28.5960328579;2;20.2294883728;12.5;3;27.9954168797;
18;2;26.436958313;12.5;4;28.9701628685;2;21.2747898102;12.5;3;28.2052333355;
19;2;27.03657341;12.5;5;29.3683638573;2;22.3219985962;12.5;4;28.4230215549;
20;2;27.215763092;12.5;5;29.7891087532;2;22.6008205414;13.5;4;28.6481528282;
21;2;27.4050979614;12.5;5;30.2302284241;2;22.625;13.5944461823;4;28.8798778057;
22;2;27.603603363;12.5;5;30.6889076233;2;23.4979724884;12.5;4;29.117331028;
23;3;27.8100090027;12.5;4;31.1617178917;2;22.625;13.5;4;29.3595399857;
24;3;28.0227737427;12.5;5;31.6446905136;2;22.625;13.8078622818;4;29.6054382324;
25;4;28.2401103973;12.5;4;32.1334280968;2;22.625;13.8816318512;4;29.8538813591;
26;4;28.4600429535;12.5;4;32.6232500076;2;22.625;14.8816318512;4;30.1036677361;
27;4;28.6804618835;12.5;4;33.1093654633;2;23.625;12.8816318512;4;30.3535604477;
28;4;28.8992137909;12.5;4;33.587059021;2;23.8295516968;12.5;4;30.6023101807;
29;4;29.1141777039;12.5;4;34.0518712997;2;23.8855209351;12.5;4;30.8486824036;
30;4;29.3233413696;12.5;4;34.4997692108;2;23.940952301;12.5;4;31.0914797783;
31;4;29.5248966217;12.5;4;34.927280426;2;23.9955825806;12.5;4;31.3295664787;
32;4;29.7172775269;12.5;4;36.3315906525;2;24.0491523743;12.5;4;31.5618891716;
33;4;30.8992156982;12.8999996185;5;36.800596118;2;24.1014251709;12.5;4;31.7874941826;
34;4;32.069770813;12.9359998703;5;37.2500300407;2;24.1521873474;12.5;5;32.0055427551;
35;4;32.762512207;15.9359998703;5;37.6795767546;2;24.2012481689;12.5;5;32.2153205872;
36;4;32.9558105469;18.936000824;4;38.0895338058;2;24.2484474182;12.5;6;32.41624403;
37;4;33.1402893066;21.936000824;4;38.4807171822;2;24.2936553955;12.5;6;32.6078615189;
38;4;33.3163223267;24.936000824;4;38.854358077;2;24.336769104;12.5;6;32.7898521423;
39;4;33.4844589233;27.5;5;39.2119928598;2;24.3777160645;12.5;6;32.9620194435;
40;4;33.6453971863;27.5;5;39.5553560257;2;24.4164543152;14.5;6;33.1242837906;
41;4;33.799911499;27.5;5;39.8862802982;2;24.4529647827;16.5;6;33.2766723633;
