Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;11.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
5;1;12.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
6;2;13.4499998093;10.0;3;21.0;1;9.0;10.0;5;20.0;
7;2;14.4499998093;10.0;3;21.3999996185;1;9.5;10.0;5;20.0;
8;2;14.6300001144;10.1999998093;3;21.7264003754;1;9.5;10.0;5;20.3999996185;
9;2;14.7768793106;10.3632001877;3;22.8394274712;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;15.2777423859;10.9097137451;3;23.7717995644;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;17.2777423859;11.3658018112;3;24.5351434946;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;19.2777423859;11.7372808456;3;25.1485489607;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;19.8187427521;12.1958713531;4;25.6344225407;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;20.8187427521;12.4315471649;4;26.0153459311;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;21.8187427521;12.6146888733;4;26.1438889503;1;13.7228336334;12.0916318893;6;24.6226100922;
16;2;23.3334922791;12.5;4;26.1651208401;1;14.7228336334;12.3113050461;6;24.9617595673;
17;2;24.3430480957;12.5;4;26.1864993572;1;15.7228336334;12.4808797836;6;25.0;
18;2;25.3526668549;12.5;4;26.2080165148;1;16.7228336334;12.5;5;25.0;
19;2;25.7936077118;12.5;4;26.2296639681;2;18.625;12.6999998093;4;26.0;
