Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
5;1;12.0;10.0;5;20.0;1;8.0;10.0;3;20.0;
6;1;13.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
7;1;14.0;10.0;5;20.3999996185;2;9.5;10.1999998093;2;21.0;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;9.72500038147;10.0;2;21.4999996424;
9;2;14.7768793106;10.3632001877;4;22.8194274902;2;9.8375005722;10.1999998093;1;21.9353003502;
10;2;15.2687425613;10.9097137451;4;23.8616036177;2;9.93544197083;10.3632001877;1;22.3176362514;
11;2;17.268743515;11.3658018112;4;24.7499927282;2;10.0214681625;10.4951858521;1;23.5373773575;
12;2;19.268743515;11.7372808456;4;25.5051221848;2;10.2959108353;11.0209560394;2;24.5968167782;
13;2;20.465719223;12.0336990356;5;26.1508610249;2;12.1013889313;11.4571752548;2;25.5111111403;
14;2;21.5469932556;12.2662630081;5;26.7112461329;2;14.1013889313;11.8107032776;2;26.3018171787;
15;2;22.6371631622;12.446267128;5;27.0402543545;2;16.1013889313;12.0916318893;2;26.9928781986;
16;2;23.7368564606;12.5;5;27.2842636108;2;17.2561435699;12.3113050461;2;27.6076834202;
17;2;24.846660614;12.5;5;27.5518820286;2;18.3181667328;12.4808797836;1;27.9463441372;
18;2;25.9670906067;12.5;5;27.8440244198;2;18.7228336334;12.5;1;28.2720229626;
19;2;26.5298118591;12.5;6;28.1613030434;2;19.625;12.5;2;28.6230447292;
