Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
4;1;11.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
5;1;12.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;13.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;14.0;10.0;5;20.3999996185;1;9.5;10.0;6;20.0;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;9.5;10.0;6;20.3999996185;
9;1;14.3268795013;10.3632001877;5;21.8194274902;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;15.2687425613;10.9097137451;4;23.7316036224;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;17.268743515;11.3658018112;4;24.5045616627;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;19.268743515;11.7372808456;4;25.1279890537;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;20.2960090637;12.0336990356;5;25.6242921352;1;10.1557292938;11.4571752548;5;23.6214065552;
14;2;21.3100376129;12.2662630081;5;26.0160515308;1;10.3148164749;11.8107032776;5;24.1832637787;
15;2;22.3243255615;12.446267128;5;26.1558350325;1;11.3148164749;12.0916318893;5;24.6226100922;
16;2;23.3388690948;12.5;5;26.1887089014;1;12.3148164749;12.3113050461;5;24.9617595673;
17;2;24.3536624908;12.5;8;26.2221269608;1;12.6163959503;12.4808797836;5;25.0;
18;3;25.3687000275;12.5;5;48.2209198475;1;14.3148164749;12.5;5;25.0;
19;3;26.8152351379;12.5;5;49.8006470203;1;15.3148164749;12.5;5;25.0;
