Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;4;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;12.0;4;20.0;
4;1;11.0;10.0;5;20.0;1;8.0;11.0;4;20.0;
5;1;12.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;13.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
7;1;14.0;10.0;5;20.3999996185;1;9.5;10.0;4;20.0;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;9.5;10.0;4;20.3999996185;
9;1;14.3268795013;10.3632001877;5;21.8194274902;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;14.8187427521;10.9097137451;5;22.7316036224;1;9.66343975067;10.3632001877;3;20.9903717041;
11;1;15.8187427521;11.3658018112;5;23.4745616913;1;9.72283363342;10.4951858521;3;22.0419120789;
12;1;16.8187427521;11.7372808456;5;24.0673980713;1;9.95943069458;11.0209560394;2;22.9143505096;
13;2;18.8187427521;12.0336990356;5;25.5325260162;1;11.7228336334;11.4571752548;2;23.6214065552;
14;2;20.8187427521;12.2662630081;4;25.9825342894;1;12.7228336334;11.8107032776;2;24.1832637787;
15;2;22.3092422485;12.446267128;4;26.1871190071;1;13.7228336334;12.0916318893;3;24.6226100922;
16;2;23.3529472351;12.5;3;26.2917383909;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;24.4000244141;12.5;3;26.4042263031;1;15.7228336334;12.4808797836;5;25.0;
18;2;25.4506454468;12.5;3;26.5249304771;1;16.7228336334;12.5;5;25.0;
19;2;25.9362182617;12.5;4;26.6541694403;1;17.625;12.5;5;25.0;
20;2;25.9943771362;12.5;3;26.7922235727;2;17.625;12.5;4;25.0;
21;2;26.0565013885;12.5;3;26.9393253326;2;17.625;12.5;4;25.0;
22;2;26.1226959229;12.5;3;27.0956480503;2;17.625;12.5;4;25.0;
23;2;26.1930408478;12.5;3;27.261295557;2;17.625;12.5;5;25.0;
24;2;26.2675819397;12.5;3;27.4362905025;2;17.625;12.5;4;25.0;
25;2;25.25;13.4745159149;3;27.6205644608;2;17.625;12.5;4;25.0;
26;2;25.25;13.5482254028;3;27.8139474392;2;17.625;12.5;4;25.0;
27;2;25.25;13.6255788803;3;28.016159296;2;17.625;12.5;4;25.0;
28;2;25.25;13.7064638138;3;28.2268030643;2;17.625;12.5;4;25.0;
29;2;25.25;13.7907209396;4;28.445360899;2;17.625;12.5;4;25.0;
30;2;25.25;13.8781442642;4;28.6711919308;2;17.625;12.5;5;25.0;
31;2;25.25;13.9684772491;4;28.9035346508;2;15.625;13.5;5;25.0;
32;2;25.25;14.061413765;4;29.141512394;2;14.625;14.5;6;25.0;
33;2;25.25;14.1566047668;4;29.3841423988;2;13.625;15.5;7;25.0;
34;2;26.25;12.5;3;29.6303496361;2;12.625;16.5;8;25.0;
35;2;27.25;12.5;3;29.8789830208;2;12.0;17.5;8;25.0;
36;2;27.4455413818;12.5;3;30.1288366318;2;12.0;18.5;8;25.0;
37;2;27.557975769;14.5;4;30.3786706924;2;12.0;19.5;7;25.0;
38;2;27.6704025269;16.5;4;30.6272368431;2;12.0;20.5;7;25.0;
39;2;27.7822570801;18.5;5;30.8733024597;2;12.0;21.5;6;25.0;
