Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;12.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;13.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;14.0;10.0;5;20.3999996185;2;9.5;10.3000001907;5;21.0;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;9.72500038147;10.0;5;21.3999996185;
9;1;14.3268795013;10.3632001877;4;21.8194274902;2;9.81500053406;10.1999998093;4;21.7264003754;
10;2;15.2687425613;10.9097137451;3;23.7316036224;2;9.88844013214;10.3632001877;4;21.9903717041;
11;2;17.268743515;11.3658018112;3;24.6445616484;2;9.94783401489;10.4951858521;4;23.0819120407;
12;2;19.268743515;11.7372808456;3;25.4343090057;2;10.1934309006;11.0209560394;3;23.99553442;
13;2;20.4338531494;12.0336990356;4;26.126796484;2;11.9660997391;11.4571752548;3;24.7449600697;
14;2;21.5361652374;12.2662630081;4;26.7483564615;2;13.9660997391;11.8107032776;3;25.3503712416;
15;2;22.6538619995;12.446267128;4;27.1554293633;2;15.9660997391;12.0916318893;3;25.8344515562;
16;2;23.788684845;12.5;4;27.4969480038;2;16.9954986572;12.3113050461;3;26.2195074558;
17;2;24.9423694611;12.5;4;27.8840510845;2;18.0058269501;12.4808797836;3;26.3048160076;
18;2;26.1165657043;12.5;4;28.3200027943;2;19.0164165497;12.5;2;26.3530313969;
19;2;26.7440013885;12.5;4;28.8073790073;2;19.9294319153;12.5;2;26.4023760557;
20;2;26.9633197784;12.5;3;29.3477458954;2;19.9405345917;12.5;3;26.4528282881;
21;2;27.2064857483;12.5;5;29.9413113594;2;19.9518871307;12.5;4;26.5043625832;
22;2;27.4735908508;12.5;5;30.586581707;2;19.9634819031;12.5;4;26.5569496155;
23;2;27.763961792;12.5;5;31.2800674438;2;19.9753131866;12.5;4;26.6105561256;
24;2;28.0760307312;12.5;5;32.0160870552;2;19.9873752594;12.5;4;26.6651450396;
25;2;28.4072399139;12.5;5;32.7867279053;2;19.9996566772;12.5;6;26.72067523;
26;2;28.7540283203;12.5;7;33.5820074081;2;20.0121517181;12.5;6;26.7771017551;
27;2;29.1119041443;12.5;7;34.3902606964;2;20.024848938;12.5;6;26.8343759775;
28;2;29.4756164551;12.5;6;35.1987380981;2;20.0377349854;12.5;6;26.8924454451;
29;2;29.8394317627;12.5;5;35.9943685532;2;18.0508003235;13.5;6;26.9512542486;
30;2;30.1974658966;12.5;6;36.7645931244;2;17.064031601;14.5;8;27.0107431412;
31;2;30.5440673828;12.5;6;37.4981632233;2;16.0774173737;15.5;8;27.0708494186;
32;2;30.874174118;12.5;7;38.1857919693;2;15.0909414291;16.5;7;27.1315076351;
33;2;31.1836051941;12.5;7;38.8205833435;2;14.4795894623;17.5;7;27.1926498413;
34;2;31.4692611694;12.5;7;39.3982028961;2;14.4933462143;18.5;8;27.2542052269;
35;2;31.7291908264;14.5;7;39.9167966843;2;14.5071964264;19.5;9;27.3161010742;
36;2;31.9625587463;16.5;7;40.3767118454;2;14.5211229324;20.5;9;27.3782629967;
37;2;32.1695213318;18.5;7;40.780087471;3;14.5351085663;21.5;5;42.4406147003;
38;2;32.3510398865;20.5;8;41.1303920746;3;15.5491380692;22.5;5;43.2530794144;
39;2;32.5086746216;22.5;8;41.4319667816;3;16.5631923676;23.5;5;43.9849538803;
40;2;32.6443862915;22.5;8;41.6896247864;3;17.577255249;24.5;5;44.6353263855;
41;3;32.7603302002;22.5;4;56.9083213806;3;18.5913085938;25.5;6;45.2066421509;
42;3;33.858745575;23.5;4;57.75;3;19.6053333282;26.5;7;45.703836441;
43;3;34.9000015259;24.5;5;58.4193744659;3;20.6193141937;27.5;7;46.133462429;
44;3;34.9000015259;25.5;6;59.0072898865;3;21.633234024;28.5;8;46.5029022694;
45;3;34.9000015259;26.5;7;59.5162696838;3;22.2351799011;29.5;9;46.8197343349;
46;3;34.9000015259;27.5;7;59.9513263702;3;23.3256473541;27.5;10;46.9975619316;
47;3;34.9000015259;28.5;8;60.3190898895;3;22.3744506836;28.5;12;47.0575861931;
48;3;34.9000015259;29.5;8;60.6270179749;3;22.7000007629;28.5;11;47.1169772148;
49;3;34.9000015259;30.5;8;60.8827629089;3;24.4013214111;29.5;11;47.1756706238;
50;3;34.9000015259;31.5;9;61.0;3;25.4145240784;30.5;11;47.2336053848;
51;3;34.9000015259;32.5;9;61.0;4;26.4275627136;31.5;7;58.7907235622;
52;4;34.9000015259;33.5;10;61.0;4;28.4404144287;33.5;7;59.3069710732;
53;4;34.9000015259;34.5;10;63.25;4;30.0780677795;33.5;9;59.7856812477;
54;5;35.65599823;36.0;12;80.0925273895;5;30.0905151367;33.5;9;60.2259821892;
55;6;37.2711410522;38.3899993896;11;82.6280651093;5;29.3250007629;33.5;9;60.6280193329;
56;6;38.7633285522;40.6872596741;10;84.7665729523;5;30.1147499084;33.5;10;60.992787838;
57;6;40.1522064209;39.9097442627;11;86.3879261017;5;30.1265182495;33.5;10;61.3219485283;
58;6;39.3900947571;42.0;11;87.4145507812;5;30.13804245;34.5;10;61.6176452637;
59;6;39.5189971924;44.0;12;88.2277812958;5;30.1493148804;35.5;10;61.8823311329;
60;7;39.5999984741;44.5;11;88.7608165741;5;30.1603317261;36.5;10;62.1186203957;
61;7;39.5999984741;44.5;11;89.2032966614;5;30.1710853577;37.5;11;62.3069901466;
62;7;39.5999984741;44.5;12;89.5662899017;5;30.1815719604;38.5;10;63.3524079323;
63;7;39.5999984741;44.5;13;89.8611507416;5;31.1917915344;40.5;10;63.4366178513;
64;8;39.5999984741;46.5;12;90.0;6;32.2017402649;42.5;5;87.520796299;
65;8;39.5999984741;47.5;12;90.0;6;33.5357704163;45.5;6;89.0449416637;
66;8;39.5999984741;48.5;12;90.0;6;34.5578804016;48.5;6;90.2671726942;
67;8;39.5999984741;49.5;11;90.0;6;34.5751304626;51.5;7;91.2162913084;
68;8;39.5999984741;50.5;12;90.0;7;34.5885505676;53.5;7;91.9485857487;
69;9;39.5999984741;51.5;11;90.0;7;34.6023216248;55.5;7;93.3513972759;
70;9;39.5999984741;52.5;11;91.0;7;34.616443634;56.5499992371;7;96.4985753298;
71;9;40.5999984741;54.5;12;91.1499999762;7;35.0617370605;58.3762512207;7;99.0116984844;
72;10;42.5999984741;53.5;11;91.320775032;7;35.4298591614;60.0521659851;8;101.000982046;
73;10;41.5999984741;55.5;11;91.5146545172;8;35.731716156;61.5980529785;7;102.363455296;
74;10;41.5999984741;57.5;11;91.7340574265;8;35.9787521362;63.0352592468;8;104.192369342;
75;10;42.5999984741;56.5;11;91.9814370871;8;37.1439628601;65.3098526001;8;104.553693533;
76;10;41.5999984741;58.5;11;92.2592060566;8;38.1960067749;67.4000015259;8;104.818449974;
77;10;41.5999984741;60.5;10;92.5696389675;8;36.5853118896;70.4000015259;10;105.086631894;
78;10;40.5999984741;60.5;10;93.9147508144;8;35.6578521729;73.4000015259;10;105.358060837;
79;10;41.5999984741;62.5;11;94.3461532593;8;34.7315826416;76.4000015259;13;105.632550359;
80;9;40.5999984741;66.5;11;94.8168666363;10;34.6565284729;76.4000015259;12;105.909905553;
81;9;40.5999984741;67.5;11;95.3272203207;10;35.5999984741;77.4000015259;12;106.18991971;
82;9;38.5999984741;71.5;12;95.8766232729;10;36.7926521301;80.1999969482;13;106.472374082;
83;9;37.5999984741;75.5;13;96.4634079933;10;36.5999984741;83.1999969482;14;106.757035017;
84;10;36.5999984741;78.5;13;97.0847101212;10;37.5999984741;84.2000045776;14;107.043653369;
85;11;35.5999984741;81.5;12;97.7364073992;10;36.5999984741;87.2000045776;15;107.331962705;
86;12;36.5999984741;81.5;13;98.413140893;10;36.5999984741;90.1155853271;16;107.621678829;
87;12;37.5999984741;82.5;14;99.1084288359;10;36.5999984741;91.6520462036;17;107.912498951;
88;12;38.5999984741;83.5;14;99.8148835897;10;37.5999984741;89.7607955933;17;108.204100609;
