Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;4;20.0;1;8.0;12.0;5;20.0;
4;1;11.0;10.0;4;20.0;1;9.0;11.0;5;20.0;
5;1;12.0;10.0;3;20.0;1;10.0;10.0;4;20.0;
6;1;13.0;10.0;4;20.0;1;11.0;10.0;4;20.0;
7;2;14.0;10.0;3;20.3999996185;1;12.0;10.0;4;20.0;
8;3;14.6300001144;10.1999998093;2;21.7264003754;1;13.0;10.0;4;20.3999996185;
9;3;14.7768793106;10.3632001877;2;22.8494274616;1;14.0;10.1999998093;4;20.7264003754;
10;3;15.282242775;10.9097137451;2;23.7921946049;1;14.3268795013;10.3632001877;4;21.8194274902;
11;3;17.2822418213;11.3658018112;2;24.5663278103;1;14.8187427521;10.9097137451;3;22.7316036224;
12;3;19.2822418213;11.7372808456;2;25.1909153461;1;15.2292222977;11.3658018112;3;23.4745616913;
13;3;20.3243255615;12.0336990356;2;25.6883610487;1;16.8187427521;11.7372808456;3;24.0673980713;
14;3;20.5597629547;12.2662630081;2;26.0812431574;1;17.8187427521;12.0336990356;3;24.5325260162;
15;3;20.7365608215;12.446267128;2;26.2221269608;1;18.8187427521;12.2662630081;3;24.892534256;
16;3;20.7999572754;12.5;2;26.2560760975;1;19.8187427521;12.446267128;3;25.0;
17;3;22.7668762207;12.5;2;26.2905418873;1;20.8187427521;12.5;3;25.0;
18;3;23.7823848724;12.5;2;26.3255085945;1;21.8187427521;12.5;4;25.0;
19;3;24.7981204987;12.5;2;26.3609591722;1;22.8187427521;12.5;4;25.0;
20;3;25.8140716553;12.5;2;26.3968753815;1;23.25;12.5;4;25.0;
21;3;25.8785934448;12.5;3;26.4332377911;1;23.25;12.5;4;25.0;
22;3;25.8949565887;12.5;3;26.4700255394;1;23.25;12.5;5;25.0;
23;3;25.9115104675;12.5;3;26.5072168112;1;23.25;12.5;6;25.0;
24;3;25.9282474518;12.5;3;26.5447884798;1;23.25;12.5;7;25.0;
25;3;25.9451541901;12.5;3;26.5827163458;1;23.25;12.5;8;25.0;
26;3;25.962223053;12.5;3;26.6209751368;1;23.25;12.5;9;25.0;
27;3;25.9794387817;12.5;3;26.6595385075;1;23.25;12.5;9;25.0;
28;3;25.9967918396;12.5;4;26.6983793974;1;23.25;12.5;9;25.0;
29;4;26.0142707825;12.5;3;26.7374696732;1;23.25;12.5;9;25.0;
30;4;25.25;13.1949882507;3;26.7767804861;1;23.25;12.5;9;25.0;
31;4;25.25;13.2107124329;3;26.8162822723;1;23.25;12.5;9;25.0;
32;4;25.25;13.2265129089;3;26.8559447527;1;23.25;12.5;8;25.0;
33;4;25.25;13.2423782349;3;26.8957372904;1;23.25;12.5;7;25.0;
34;4;25.25;13.2582950592;3;26.9356285334;1;23.25;12.5;7;25.0;
35;4;25.25;13.2742509842;3;26.9755871296;2;23.25;12.5;6;25.0;
36;4;25.25;13.2902345657;3;27.015581131;2;23.25;12.5;6;25.0;
37;4;26.1570110321;15.2902345657;4;27.0555787086;3;24.25;13.1999998093;6;26.0;
38;4;26.1750106812;17.2902355194;5;27.0955479145;3;23.25;13.5;6;26.0299999714;
