Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;4;20.0;1;9.0;11.0;6;20.0;
5;1;12.0;10.0;4;20.0;2;10.0;10.3000001907;5;21.0;
6;1;13.0;10.0;4;20.0;2;11.0;10.0;5;21.0199999809;
7;2;14.4499998093;10.0;3;21.3999996185;2;12.0;10.0;5;22.0401959419;
8;2;14.6300001144;10.1999998093;3;21.7964004278;2;13.0;10.5;5;23.1209828854;
9;2;14.8083791733;10.3632001877;3;22.9849785566;2;14.0;11.0249996185;3;24.0233277082;
10;2;15.3432407379;10.9097137451;3;24.0001246929;2;15.0;11.4604873657;3;25.6998986006;
11;2;17.3432407379;11.3658018112;3;24.8538434505;2;16.0;12.2717781067;3;27.0951126814;
12;2;19.3432407379;11.7372808456;3;25.5655838251;2;16.6472434998;12.9413805008;3;28.2188105583;
13;2;20.4929256439;12.0336990356;3;26.1580847502;2;19.0;13.4742078781;3;29.1012486219;
14;2;21.5502433777;12.2662630081;3;26.6542243958;2;21.0;13.8853845596;3;29.7824494839;
15;2;22.6115036011;12.446267128;4;26.9068236351;2;22.0;14.1949214935;3;30.3037332296;
16;3;23.6768131256;12.5;3;27.0611462593;2;23.0;14.4234819412;3;30.5229537487;
17;3;24.746257782;12.5;4;27.2247776985;2;24.0;14.5;4;30.5911370516;
18;3;25.8198928833;12.5;4;27.3977591991;2;25.0;14.5;5;30.6612881422;
19;3;26.3289909363;12.5;4;27.5800426006;2;26.0;14.5;6;30.7333666086;
20;3;26.4110183716;12.5;4;27.7714805603;2;27.0;14.5;6;30.807322979;
21;3;26.4971656799;12.5;5;27.9718174934;2;27.0499992371;14.5;6;30.8830982447;
22;4;26.5873184204;12.5;4;28.1806821823;2;27.0499992371;14.5;7;30.9606235027;
23;4;26.681306839;12.5;5;28.3975830078;2;27.0499992371;14.5;7;31.0398204327;
24;4;26.7789115906;12.5;5;28.6219055653;2;27.0499992371;14.5;7;31.1206009388;
25;4;26.879858017;12.5;5;28.8529140949;3;25.0499992371;15.5;6;31.2028675079;
26;4;26.9838104248;12.5;5;29.089756012;3;24.0499992371;16.5;6;31.2865133286;
27;4;27.0903892517;12.5;5;29.3314704895;3;23.0499992371;17.5;6;31.3714227676;
28;4;27.1991615295;12.5;5;29.5770010948;3;22.0499992371;18.5;6;31.4574716091;
29;4;27.3096504211;12.5;5;29.8252120018;3;21.0499992371;19.5;6;31.5445282459;
30;4;27.4213447571;12.5;5;30.0749063492;3;20.0499992371;20.5;7;31.63245368;
31;4;27.533706665;12.5;5;30.3248500824;3;19.0499992371;21.5;7;31.7211027145;
32;4;27.6461830139;12.5;6;30.5737948418;3;18.0499992371;22.5;7;31.8103249073;
33;4;27.7582073212;12.5;6;30.8205022812;3;17.0499992371;23.5;7;31.8999650478;
34;4;27.8692264557;12.5;6;31.0637698174;3;16.0499992371;24.5;7;31.9898650646;
35;5;27.9786968231;12.5;5;31.3024535179;3;15.0499992371;25.5;7;33.0798640251;
36;5;28.0861034393;14.5;5;31.5354895592;3;15.0499992371;26.5;7;33.2998002768;
