Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;4;20.0;1;9.0;11.0;5;20.0;
5;1;12.0;10.0;4;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;4;20.0;1;11.0;10.0;5;20.0;
7;1;14.0;10.0;4;20.3999996185;1;12.0;10.0;5;20.0;
8;2;14.6300001144;10.1999998093;3;21.7264003754;1;13.0;10.0;5;20.3999996185;
9;2;14.7768793106;10.3632001877;3;22.8394274712;2;15.0;10.5;4;21.7264003754;
10;2;15.2777423859;10.9097137451;3;23.7717995644;2;16.3268795013;10.3632001877;4;22.8594274521;
11;2;17.2777423859;11.3658018112;3;24.5351434946;2;17.8187427521;10.9097137451;4;23.8127875328;
12;2;19.2777423859;11.7372808456;3;25.1485489607;2;18.7157554626;11.3658018112;4;24.5981152058;
13;2;20.3052597046;12.0336990356;4;25.6344225407;2;21.3052749634;11.7372808456;4;25.2345055342;
14;2;21.3145961761;12.2662630081;3;26.0153459311;2;23.3052749634;12.0336990356;4;25.7443674803;
15;2;22.3240089417;12.446267128;3;26.1438889503;2;24.3640708923;12.2662630081;4;26.1502821445;
16;2;23.3334922791;12.5;3;26.1651208401;2;25.3847293854;12.446267128;4;26.3048160076;
17;2;24.3430480957;12.5;3;26.1864993572;2;26.4059104919;12.5;4;26.3530313969;
18;2;25.3526668549;12.5;3;26.2080165148;2;27.4276065826;12.5;5;26.4023760557;
19;2;25.7936077118;12.5;4;26.2296639681;2;28.4498119354;12.5;5;26.4528282881;
20;2;25.8033485413;12.5;4;26.2514331341;2;28.9037723541;12.5;5;26.5043625832;
21;2;25.8131446838;12.5;4;26.2733153105;2;28.9269638062;12.5;5;26.5569496155;
22;2;25.8229923248;12.5;4;26.2953014374;2;28.9506263733;12.5;5;26.6105561256;
23;2;25.8328857422;12.5;4;26.3173824549;2;28.9747505188;12.5;6;26.6651450396;
24;2;25.8428230286;12.5;4;26.3395489454;3;28.9993152618;12.5;5;26.72067523;
25;3;25.25;13.0358200073;3;26.3617914915;3;29.0243034363;12.5;5;26.7771017551;
26;3;25.25;12.5;4;26.3841004372;3;29.0496959686;12.5;5;26.8343759775;
27;3;25.25;13.0536403656;4;26.4064661264;3;28.25;13.5;5;26.8924454451;
28;3;25.25;13.0625867844;4;26.428878665;3;29.101600647;12.5;5;26.9512542486;
29;3;25.25;13.0715513229;4;26.4513280392;3;28.25;13.5;5;27.0107431412;
30;3;25.25;13.0805311203;4;26.4738043547;3;27.1548347473;13.5;5;27.0708494186;
31;3;25.25;13.0895214081;4;26.4962974787;3;26.1818809509;14.5;5;27.1315076351;
32;3;25.25;13.0985193253;4;26.5187973976;3;25.2091789246;15.5;5;27.1926498413;
33;3;25.25;13.1075191498;5;26.5412938595;3;24.2366924286;16.5;6;27.2542052269;
34;4;25.25;13.1165180206;4;27.5637768507;3;23.2643928528;17.5;6;27.3161010742;
35;4;26.25;13.1255111694;4;27.6362360716;3;22.2922458649;18.5;6;27.3782629967;
36;4;27.25;13.1344947815;5;27.710636735;3;22.25;18.5;7;27.4406147003;
