Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;11.0;6;20.0;
5;1;12.0;10.0;5;20.0;2;10.0;10.3000001907;4;21.0;
6;1;13.0;10.0;5;20.0;2;11.0;10.0;4;21.1200000048;
7;1;14.0;10.0;5;20.3999996185;2;12.0;10.0;3;22.2530560493;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;13.0;10.5;3;23.4627816677;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;14.0;11.0249996185;3;24.5115871429;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;15.0;11.4604873657;3;26.3792722225;
11;2;16.8187427521;11.3658018112;4;24.4745616913;2;16.0;12.2717781067;3;27.9968502522;
12;2;18.8187427521;11.7372808456;4;25.1973980665;2;16.6472434998;12.9413805008;3;29.3772065639;
13;2;20.3272438049;12.0336990356;5;25.8079570532;2;19.0;13.4742078781;3;30.5534641743;
14;2;21.3926868439;12.2662630081;5;26.3302583694;2;21.0;13.8853845596;3;31.5681622028;
15;2;21.8187427521;12.6619253159;5;26.6183350086;2;22.0;14.1949214935;3;32.4645802975;
16;2;22.8187427521;12.7427501678;5;26.8187118769;2;24.0;14.4234819412;3;33.1017398834;
17;2;24.6371631622;12.5;5;27.0402543545;2;25.8457832336;14.5;4;33.2307934761;
18;2;25.7368564606;12.5;5;27.2842636108;2;27.0838565826;14.3000001907;4;33.4435853958;
19;2;26.2779178619;12.5;6;27.5518820286;2;28.3416137695;14.1199998856;4;33.7334222794;
20;2;26.3983459473;12.5;6;27.8440244198;2;29.1800384521;13.9580001831;4;34.0923609734;
21;2;25.25;13.2110061646;6;28.1613030434;2;29.3415622711;13.8122005463;4;34.5111293793;
22;2;25.25;13.2903261185;7;28.5039470196;2;29.530008316;13.6809806824;4;34.9791855812;
23;2;25.25;13.3759870529;7;28.871723175;2;29.7406349182;13.5628824234;5;35.4849290848;
24;2;26.25;12.5;7;29.263862133;2;28.0638771057;14.5628824234;5;36.0160589218;
25;2;25.25;13.5;7;29.6789975166;3;27.3889789581;15.5628824234;4;36.5600633621;
26;2;25.25;14.3715991974;7;30.1151270866;3;26.3889789581;14.5628824234;4;37.1047830582;
27;2;25.25;14.5460510254;7;30.5695996284;3;25.3889789581;14.5628824234;5;37.638967514;
28;2;25.25;14.7278404236;7;31.0391392708;3;24.3889789581;14.1276216507;4;38.1527843475;
29;2;25.25;14.9156551361;7;31.5199065208;3;23.3889789581;14.1276216507;4;38.6381921768;
30;2;25.25;15.1079626083;7;32.007601738;3;23.3889789581;15.1276216507;4;39.0891542435;
31;2;25.25;15.3030405045;7;32.4976010323;3;23.3889789581;16.127620697;4;39.5016765594;
32;2;25.25;15.4990406036;8;32.9851250648;3;23.3889789581;17.127620697;4;39.8736906052;
33;2;25.25;15.6940498352;8;33.465420723;3;23.3889789581;18.127620697;4;40.2048206329;
34;2;25.25;15.8861684799;8;33.9339466095;3;22.7485752106;19.127620697;5;41.4960689545;
35;2;25.25;16.0735778809;8;34.3865451813;3;22.9096565247;20.127620697;4;41.7994821072;
36;2;25.25;16.254617691;8;34.8195896149;3;23.0507087708;21.127620697;5;42.0697979927;
37;2;26.25;18.254617691;7;35.2300891876;3;22.9666824341;22.8990039825;6;42.3102277517;
38;2;27.25;19.5;9;35.6157541275;3;21.9666824341;22.8990039825;7;42.524161458;
39;2;28.25;20.5;9;35.9750175476;3;22.5120582581;25.8990039825;8;42.6244902611;
40;2;29.25;21.5;9;36.307009697;3;23.9666824341;25.8990039825;10;42.6491084099;
41;2;30.25;22.5;9;36.6115064621;3;25.7985210419;26.8990020752;10;42.6793147326;
42;2;30.4751777649;22.5;7;36.8888463974;3;24.2000007629;28.4149627686;11;42.7147480249;
43;2;30.599981308;22.5;6;37.1398382187;3;24.2000007629;29.6486358643;12;42.7550734282;
44;2;30.7129268646;22.5;6;37.3656587601;3;26.2000007629;28.6820297241;12;42.7999824286;
45;2;30.8145465851;22.5;6;37.5677556992;3;25.2000007629;29.718120575;13;42.8491864204;
46;2;30.9054908752;22.5;7;37.747756958;3;25.9473514557;29.594203949;14;42.9024105072;
47;3;30.9864902496;22.5;6;37.9073896408;3;27.9797821045;27.5847816467;14;42.959397316;
48;3;31.0583248138;22.5;6;38.0;3;27.0130558014;28.5847816467;16;43.0198991299;
49;3;31.1000003815;22.5;7;38.0;4;27.0471496582;29.5847816467;12;71.8336774111;
50;3;31.1000003815;22.5;7;38.0;4;30.0820293427;28.5847816467;13;73.9130020142;
51;3;31.1000003815;22.5;8;38.0;4;32.2000007629;30.5556259155;13;75.5169248581;
52;3;29.1000003815;23.5;8;38.0;4;34.1540107727;30.5500640869;13;76.7044496536;
53;3;28.1000003815;24.5;7;38.0;4;35.1910247803;31.5450572968;9;77.5602283478;
54;3;27.1000003815;25.5;8;39.0;4;36.2286605835;32.5405502319;9;78.1693334579;
55;3;27.1000003815;27.5;8;39.0499999523;4;37.2668647766;33.5364952087;10;78.2725465298;
56;3;27.25;29.5;8;39.1019749641;4;37.585144043;34.5328445435;10;78.3530275822;
57;3;27.25;30.7000007629;8;39.5459502935;4;36.4766082764;36.5295639038;9;78.4350345135;
58;3;27.25;31.8560009003;9;40.9861023426;4;36.4739456177;38.3688812256;12;78.5183575153;
59;3;28.7000007629;31.3560009003;9;42.1733424664;4;36.4715499878;39.4282722473;12;78.6027867794;
60;4;30.0510005951;31.417640686;8;43.1446781158;4;36.4693984985;40.4883308411;12;82.4195203781;
61;4;31.3185329437;30.7663249969;8;43.9389506578;4;37.131313324;42.1055450439;13;85.2922062874;
62;4;32.5187683105;30.0434265137;8;44.4443838596;5;37.6656684875;43.6172790527;15;87.4090199471;
63;4;33.5999984741;29.8355789185;8;44.7480949163;5;39.0903244019;42.9113197327;15;88.9237473011;
64;4;34.5999984741;29.896818161;8;44.9228926897;5;40.0156860352;43.9170722961;15;89.5368778706;
65;4;35.3499984741;29.9614467621;8;45.0589778423;5;40.291595459;45.0;15;89.9267711639;
66;4;35.3499984741;30.0294895172;8;45.2018918991;6;38.6999969482;47.0;15;90.1259851456;
67;4;35.3499984741;30.1009464264;8;45.3515789509;6;38.6999969482;49.0;16;90.3270864487;
68;4;35.3499984741;30.1757888794;8;45.5079219341;6;38.6999969482;51.0;15;90.5292873383;
69;4;35.3499984741;30.2539615631;8;45.6707382202;7;39.6999969482;50.0;14;90.7317786217;
70;4;35.3499984741;30.3353691101;9;45.8397762775;7;37.6999969482;50.0;15;90.9337415695;
71;4;35.3499984741;30.4198875427;9;46.0147128105;7;37.6999969482;51.0;15;91.1343603134;
72;4;36.3499984741;31.5073566437;8;47.1951520443;7;37.6999969482;52.0;16;91.3328361511;
73;4;37.3499984741;32.5975761414;8;47.4406256676;7;37.6999969482;53.0;16;91.5283999443;
74;4;37.3499984741;33.6903114319;9;47.6935596466;8;37.6999969482;54.0;15;91.7203240395;
75;4;37.3499984741;34.7852973938;9;47.9534186125;8;37.6999969482;55.0;15;91.9079322815;
76;4;37.3499984741;35.8822288513;9;48.219599247;8;37.6999969482;56.0;16;92.0906095505;
77;4;37.3499984741;36.4839935303;10;48.4914366007;8;38.5999984741;57.0;17;92.267809391;
78;4;37.3499984741;36.6126899719;10;48.7682117224;8;39.5999984741;58.0;17;92.439057827;
79;4;35.3499984741;37.7435340881;10;49.0491623878;8;40.5999984741;59.0;17;92.6039586067;
80;5;34.3499984741;38.8761444092;11;57.3334919214;8;41.5999984741;60.0;18;94.7621922493;
81;6;36.3499984741;38.9773750305;11;57.8603823185;8;44.5999984741;63.0;18;95.0135169029;
82;6;38.3499984741;41.0782699585;10;58.3764299154;8;46.5999984741;66.0;19;95.2619142532;
83;6;39.3499984741;43.1784210205;8;58.8804053068;8;45.5999984741;68.0;15;95.5073591471;
84;6;39.3499984741;42.2774276733;9;59.3712887764;8;43.5999984741;73.0;17;95.749882102;
