Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;2;10.3000001907;10.0;4;21.0;
6;1;13.0;10.0;5;20.0;2;11.3000001907;10.0;4;21.1200000048;
7;1;14.0;10.0;5;20.3999996185;2;11.3360004425;10.0;4;21.664255619;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;11.4992771149;10.1999998093;4;22.151668787;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;11.6455011368;10.3632001877;4;22.5948637724;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;11.778459549;10.4951858521;4;23.90946877;
11;1;15.8187427521;11.3658018112;5;23.4745616913;2;12.1728410721;11.0209560394;4;25.0831897259;
12;1;16.8187427521;11.7372808456;5;24.0673980713;2;14.1728401184;11.4571752548;4;26.1335980892;
13;1;17.8187427521;12.0336990356;5;24.5325260162;2;16.1728401184;11.8107032776;5;27.0845386982;
14;1;18.0396366119;12.2662630081;5;24.892534256;2;17.4829559326;12.0916318893;5;27.961940527;
15;1;18.2016410828;12.446267128;5;25.0;2;18.6143722534;12.3113050461;5;28.7906582355;
16;1;18.25;12.5;5;25.0;2;19.7612438202;12.4808797836;5;29.3714957237;
17;1;20.2016410828;12.5;5;25.0;2;20.9240226746;12.5;5;29.9672651291;
18;1;21.2016410828;12.5;5;25.0;2;22.1027526855;12.5;5;30.6146354675;
19;1;22.2016410828;12.5;6;25.0;2;21.5;13.5;6;31.310028553;
20;1;23.2016410828;12.5;6;25.0;2;22.5;12.5;6;32.0476689339;
21;1;23.25;12.5;6;25.0;2;23.5;12.5;6;32.8195528984;
22;1;23.25;12.5;6;25.0;3;23.845867157;12.5;5;33.6156187057;
23;1;23.25;12.5;6;25.0;3;24.0846862793;12.5;5;34.4241409302;
24;1;23.25;12.5;6;25.0;3;24.3272418976;12.5;6;35.2323417664;
25;1;23.25;12.5;7;25.0;4;24.5697021484;12.5;5;36.0271549225;
26;1;23.25;12.5;7;25.0;4;24.8081474304;12.5;5;36.7960615158;
27;1;23.25;12.5;7;25.0;4;25.0388183594;12.5;5;37.5278816223;
